fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2016-12-31,CNY,-2201564000,None,None,None,None,46087000,654455000,0,0,None,117843000,2292704000,None,None,None,None,0,0,None,None,None,None,-8408000,None,76684000,0,0,-2573254000
2017-12-31,CNY,-4574719000,None,None,None,None,167858000,1113893000,0,-89464000,None,-1190273000,12867334000,None,None,None,None,0,0,None,None,None,None,12232659000,None,90296000,0,0,-5021174000
2018-12-31,CNY,-7911768000,None,None,None,None,474223000,2643964000,0,-1375862000,None,-7940843000,11603092000,None,None,None,None,2872226000,2872226000,None,None,None,None,-7490000,None,679468000,0,0,-9638979000
2019-12-31,CNY,-8721706000,None,None,None,None,1520973000,1706787000,0,569163000,None,3382069000,3094953000,None,None,None,None,0,0,None,None,None,None,50790000,None,333495000,0,0,-11295652000
2020-12-31,CNY,1950894000,None,None,None,None,1545721000,1127686000,None,-197828000,None,-5071060000,41357435000,None,None,None,None,None,None,None,None,None,None,34762000000,None,187094000,None,None,-5304082000
2021-12-31,CNY,1966386000,None,None,None,None,2351914000,4078764000,None,-990550000,None,-39764704000,18128743000,None,None,None,None,None,None,None,None,None,None,12822116000,None,1010140000,None,None,-10572309000
2022-12-31,CNY,-3866008000,None,None,None,None,3994055000,6972854000,None,-6257514000,None,10385017000,-1616384000,None,None,None,None,None,None,None,None,None,None,78726000,None,2295896000,None,None,-14559445000
2023-12-31,CNY,-1381546000,None,None,None,None,4907441000,14340771000,None,2895477000,None,-10885375000,27662881000,None,None,None,None,None,None,None,None,None,None,21049109000,None,2369041000,None,None,-21146967000
2024-12-31,CNY,-7849168000,None,None,None,None,7700681000,9142293000,None,-1785940000,None,-4958493000,1772483000,None,None,None,None,None,None,None,None,None,None,111347000,None,1928512000,None,None,-22657692000
2025-12-31,USD,2992612000,None,None,None,None,9375280000,6065226000,None,-3115254000,None,-11459690000,6844360000,None,None,None,None,None,None,None,None,None,None,11953779000,None,1790727000,None,None,-14942601000
