fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2016-12-31,CNY,0,0,0,0,-2602540000,368205000,211054000,2602540000,None,None,None,8000,None,None,None,None,-3550173000,622000,None,-3554487000,None,-2602540000,None,-3517549000
2017-03-31,CNY,0,0,0,0,-952575000,359489000,509313000,900599000,None,None,None,0,None,None,None,29238000,-3490173000,2182000,None,0,None,-952575000,-923337000,-2043452000
2017-06-30,CNY,0,0,0,0,-1043041000,389567000,521940000,-58945000,None,None,None,1871000,None,None,None,37281000,-2540553000,2143000,None,0,None,-1043041000,-1005760000,-1087140000
2017-09-30,CNY,0,0,0,0,-1287857000,462384000,747209000,1287857000,None,None,None,2304000,None,None,None,43023000,-1299419000,1256000,None,-1653567000,None,-1297115000,-1254092000,-1295573000
2017-12-31,CNY,0,0,0,0,-1670123000,491643000,824427000,1670123000,None,None,None,3099000,None,None,None,58316000,-1697652000,2325000,None,-5944542000,None,-1694553000,-1636237000,-1697910000
2018-03-31,CNY,0,0,0,0,-1463868000,124158586.10,694139000,1463868000,None,None,None,5200000,None,None,None,64428000,-1529139000,1883000,None,-629273306.27,None,-1588367000,-1523939000,-1522780000
2018-06-30,CNY,-153188000,45991000,199179000,199179000,-1874961000,775586000,765205000,1721773000,None,None,None,14442000,None,0,None,80700000,-1792022000,2485000,None,-917465656.87,None,-1858280000,-1777580000,-1787471000
2018-09-30,CNY,-116318000,1469573000,1585891000,1585891000,-2809853000,1670100000,1023435000,2693535000,None,None,None,27582000,None,0,None,139838000,-2809062000,1374000,None,-4386483.40,None,-2781480000,-2641642000,-2833835000
2018-12-31,CNY,13630000,3435607000,3421977000,3421977000,-3446926000,1945393000,1515163000,3460556000,None,None,None,76419000,None,0,None,189311000,-3486712000,16302000,None,-1579078.21,None,-3423764000,-3234453000,-3516485000
2019-03-31,CNY,-219301000,1631161000,1850462000,1850462000,-2617686000,1050718000,1078448000,2398385000,None,-5380000,3268000,68118000,None,0,None,189311000,-2622278000,1341000,None,-2623619000,None,-3410293000,-2554160000,-2652029000
2019-06-30,CNY,-504184000,1508570000,2012754000,2012754000,-3226107000,972401000,1300531000,2721923000,None,-50365000,78579000,96884000,None,0,None,219054000,-3282086000,3679000,None,-3285765000,None,-3226107000,-3185202000,-3313656000
2019-09-30,CNY,-221584000,1836844000,2058428000,2058428000,-2409220000,1025318000,1023193000,2187636000,None,-74542000,112961000,103211000,None,0,None,280243000,-2521114000,536000,None,-2521650000,None,-2409220000,-2417903000,-2553615000
2019-12-31,CNY,-167479000,1371952000,1539431000,1539431000,-1570268000,1546015000,522359000,1402789000,None,-79970000,79927000,110496000,None,0,None,276188000,-1690334000,1474000,None,-2864618000,None,-1570268000,-1294080000,-1722837000
2020-03-31,CNY,-167479000,1371952000,1539431000,1539431000,-1570268000,1316078000,522359000,1402789000,None,-92847000,106862000,110496000,None,None,None,522383000,-1690334000,1474000,None,-1691808000,None,-2759963000,-1579838000,-1691276000
2020-06-30,CNY,313141000,3718930000,3405789000,3405789000,-1160003000,733798000,545185000,1473144000,None,-92333000,96741000,112917000,None,None,None,254685000,-1174637000,2017000,None,-1176654000,None,-1160003000,-1061720000,-1207847000
2020-09-30,CNY,585812000,4525960000,3940148000,3940148000,-945988000,482794000,590783000,1531800000,None,-57109000,70747000,108761000,None,None,None,233856000,-1045784000,1213000,None,-1046997000,None,-945988000,-937023000,-1187937000
2020-12-31,CNY,1141945000,6641091000,5499146000,5499146000,-931386000,945186000,829443000,2073331000,None,-16822000,77019000,93841000,None,None,None,431539000,-1386959000,1664000,None,-1388623000,None,-1293118000,-861579000,-1386364000
2021-03-31,CNY,1554806000,7982333000,6427527000,6427527000,-295924000,857059000,686548000,1850730000,None,-304138000,119618000,423756000,None,None,None,431539000,-447091000,3957000,None,-451048000,None,-1293118000,-23335000,-4874960000
2021-06-30,CNY,1573921000,8448047000,6874126000,6874126000,-763323000,886143000,883666000,2337244000,None,132507000,193034000,60527000,None,None,None,325526000,-585359000,1811000,None,-587170000,None,-850358000,-524832000,-659277000
2021-09-30,CNY,1993162000,9805301000,7812139000,7812139000,-991925000,1824875000,1193122000,2985087000,None,162930000,127299000,77190000,None,None,None,493870000,-832052000,3250000,None,-835302000,None,-1248732000,-754862000,-2858850000
2021-12-31,CNY,1699544000,9900742000,8201198000,8201198000,-2445131000,1798836000,1828516000,4144675000,None,283124000,359061000,75937000,None,None,None,767204000,-2110182000,33247000,None,-2143429000,None,-2801449000,-2034245000,-2179222000
2022-03-31,CNY,1446839000,9910588000,8463749000,8463749000,-2188665000,1798836000,1761687000,3635504000,None,323349000,400688000,77339000,None,None,None,767204000,-1752201000,30459000,None,-1782660000,None,-2034245000,-1674862000,-1825038000
2022-06-30,CNY,1340303000,10292364000,8952061000,8952061000,-2845560000,2282461000,2149479000,4185863000,None,228151000,292863000,64712000,None,None,None,562786000,-2759311000,-1791000,None,-2757520000,None,-2845560000,-2694599000,-2745008000
