fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-02-28,USD,1574100000,3612800000,2038700000,2038700000,487500000,1086600000,0,1086600000,None,None,None,12100000,None,None,None,90600000,506600000,180800000,None,0,None,487500000,578100000,325800000
2006-05-31,USD,1753400000,4005400000,2252000000,2252000000,521300000,1232100000,0,1232100000,None,None,None,36800000,None,None,None,57200000,511200000,178400000,None,0,None,521300000,578500000,332800000
2006-08-31,USD,1849200000,4194100000,2344900000,2344900000,559500000,1223700000,0,1289700000,None,None,None,15300000,None,None,None,74000000,575800000,198600000,None,0,None,559500000,633500000,377200000
2006-11-30,USD,1657100000,3821700000,2164600000,2164600000,433400000,1243300000,0,1223700000,None,None,None,13000000,None,None,None,68300000,447300000,121700000,None,0,None,433400000,501700000,325600000
2007-02-28,USD,1735200000,3926900000,2191700000,2191700000,491900000,1243300000,0,1243300000,None,None,None,15800000,None,None,None,46900000,518000000,167200000,None,0,None,491900000,538800000,350800000
2007-05-31,USD,1919000000,4383200000,2464200000,2464200000,647000000,1272000000,0,1272000000,None,None,None,5600000,None,None,None,81000000,658800000,220900000,None,0,None,647000000,728000000,437900000
2007-08-31,USD,2087000000,4655100000,2568100000,2568100000,652300000,1434700000,0,1434700000,None,None,None,0,None,None,None,71600000,670300000,100600000,None,0,None,652300000,723900000,569700000
2007-11-30,USD,1921100000,4339500000,2418400000,2418400000,491600000,1403200000,0,1429500000,None,None,None,0,None,None,None,85800000,515600000,156200000,None,0,None,491600000,577400000,359400000
2008-02-29,USD,2047900000,4544400000,2496500000,2496500000,644700000,1403200000,0,1403200000,None,None,None,0,None,None,None,91500000,668700000,204900000,None,0,None,644700000,736200000,463800000
2008-05-31,USD,2331400000,5088000000,2756600000,2756600000,645100000,1686300000,0,1686300000,None,None,None,38700000,None,None,None,72600000,648300000,157800000,None,0,None,645100000,717700000,490500000
2008-08-31,USD,2562100000,5432200000,2870100000,2870100000,705700000,1856400000,0,1856400000,None,None,None,0,None,None,None,85300000,714200000,203700000,None,0,None,705700000,791000000,510500000
2008-11-30,USD,2050000000,4590100000,2540100000,2540100000,503200000,1546800000,0,1546800000,None,None,None,0,None,None,None,89600000,520600000,129600000,None,0,None,503200000,592800000,391000000
2009-02-28,USD,1948500000,4440800000,2492300000,2492300000,596400000,1352100000,0,1352100000,None,None,None,3000000,None,None,None,79900000,235400000,-8400000,None,0,None,596400000,676300000,243800000
2009-05-31,USD,2043800000,4713000000,2669200000,2669200000,649500000,1394300000,0,1394300000,None,None,None,3000000,None,None,None,128500000,486300000,144900000,None,0,None,649500000,778000000,341400000
2009-08-31,USD,2216000000,4799000000,2583000000,2583000000,670000000,1546100000,0,1546000000,None,None,None,1000000,None,None,None,81000000,681000000,168000000,None,513000000,None,670000000,751000000,513000000
2009-11-30,USD,1960000000,4405000000,2445000000,2445000000,481000000,1478600000,0,1479000000,None,None,None,2000000,None,None,None,94000000,491000000,116000000,None,375400000,None,493000000,587000000,375000000
2010-02-28,USD,2218000000,4733000000,2515000000,2515000000,655000000,1563800000,0,1563000000,None,None,None,900000,None,None,None,87000000,662000000,165000000,None,496400000,None,655000000,742000000,497000000
2010-05-31,USD,2406200000,5076900000,2670700000,2670700000,668300000,1737900000,0,1737900000,None,None,None,9700000,None,None,None,133200000,682800000,160900000,None,521900000,None,668300000,801500000,521900000
2010-08-31,USD,2434000000,5175000000,2741000000,2741000000,761000000,1673000000,0,1673000000,None,None,None,1000000,None,None,None,62000000,755000000,196000000,None,559000000,None,761000000,823000000,559000000
2010-11-30,USD,2193000000,4842000000,2649000000,2649000000,582000000,1611000000,0,1611000000,None,None,None,1000000,None,None,None,113000000,609000000,152000000,None,457000000,None,610000000,723000000,457000000
2011-02-28,USD,2327000000,5079000000,2752000000,2752000000,690000000,1637000000,0,1637000000,None,None,None,7000000,None,None,None,85000000,707000000,184000000,None,523000000,None,707000000,792000000,523000000
2011-05-31,USD,2554000000,5766000000,3212000000,3212000000,782000000,1772000000,0,1772000000,None,None,None,4000000,None,None,None,98000000,773000000,179000000,None,594000000,None,815000000,913000000,594000000
2011-08-31,USD,2693000000,6081000000,3388000000,3388000000,870000000,1823000000,0,1823000000,None,None,None,8000000,None,-18000000,None,111000000,852000000,207000000,None,645000000,None,870000000,981000000,645000000
2011-11-30,USD,2376000000,5546000000,3170000000,3170000000,645000000,1820000000,0,1731000000,None,None,None,3000000,None,-9000000,None,87000000,632000000,152000000,None,469000000,None,645000000,732000000,469000000
2012-02-29,USD,2485000000,5656000000,3171000000,3171000000,777000000,1116000000,0,1708000000,None,None,None,7000000,None,11000000,None,122000000,787000000,218000000,None,560000000,None,777000000,899000000,560000000
2012-05-31,USD,2767000000,6470000000,3703000000,3703000000,781000000,1986000000,0,1986000000,None,None,None,6000000,None,-38000000,None,85000000,743000000,194000000,None,549000000,None,797000000,882000000,549000000
2012-08-31,USD,2828000000,6474000000,3646000000,3646000000,769000000,1188000000,0,2059000000,None,None,None,3000000,None,29000000,None,137000000,800000000,215000000,None,567000000,None,769000000,906000000,567000000
2012-11-30,USD,2530000000,5955000000,3425000000,3425000000,694000000,1223000000,0,1836000000,None,None,None,1000000,None,17000000,None,129000000,712000000,191000000,None,521000000,None,694000000,823000000,384000000
2013-02-28,USD,2736000000,6187000000,3451000000,3451000000,873000000,1244000000,0,1863000000,None,None,None,2000000,None,-17000000,None,93000000,858000000,196000000,None,662000000,None,873000000,966000000,866000000
2013-05-31,USD,2940000000,6697000000,3757000000,3757000000,918000000,1380000000,0,2022000000,None,None,None,3000000,None,-14000000,None,154000000,902000000,206000000,None,714000000,None,918000000,1072000000,668000000
2013-08-31,USD,3132000000,6971000000,3839000000,3839000000,1074000000,1327000000,0,2058000000,None,None,None,8000000,None,-28000000,None,152000000,1038000000,259000000,None,780000000,None,1074000000,1226000000,779000000
2013-11-30,USD,2826000000,6431000000,3605000000,3605000000,735000000,1400000000,0,2091000000,None,None,None,8000000,None,-13000000,None,145000000,714000000,180000000,None,537000000,None,735000000,880000000,534000000
2014-02-28,USD,3103000000,6972000000,3869000000,3869000000,934000000,1436000000,0,2169000000,None,None,None,9000000,None,-45000000,None,134000000,880000000,198000000,None,685000000,None,934000000,1068000000,682000000
2014-05-31,USD,3385000000,7425000000,4040000000,4040000000,929000000,1580000000,0,2456000000,None,None,None,8000000,None,-17000000,None,152000000,904000000,213000000,None,691000000,None,929000000,1081000000,691000000
2014-08-31,USD,3721000000,7982000000,4261000000,4261000000,1241000000,1583000000,0,2480000000,None,None,None,9000000,None,-3000000,None,155000000,1229000000,267000000,None,962000000,None,1241000000,1396000000,962000000
2014-11-30,USD,3327000000,7380000000,4053000000,4053000000,889000000,1672000000,0,2438000000,None,None,None,9000000,None,-2000000,None,161000000,878000000,223000000,None,655000000,None,889000000,1050000000,655000000
2015-02-28,USD,3426000000,7460000000,4034000000,4034000000,1047000000,1648000000,0,2379000000,None,None,None,6000000,None,5000000,None,165000000,1046000000,255000000,None,791000000,None,1047000000,1212000000,791000000
2015-05-31,USD,3593000000,7779000000,4186000000,4186000000,998000000,1776000000,0,2595000000,None,None,None,4000000,None,58000000,None,168000000,1052000000,187000000,None,865000000,None,998000000,1166000000,865000000
2015-08-31,USD,3995000000,8414000000,4419000000,4419000000,1418000000,1745000000,0,2577000000,None,None,None,4000000,None,31000000,None,165000000,1445000000,266000000,None,1179000000,None,1418000000,1583000000,1179000000
2015-11-30,USD,3501000000,7686000000,4185000000,4185000000,941000000,1791000000,0,2560000000,None,None,None,5000000,None,34000000,None,157000000,970000000,185000000,None,785000000,None,941000000,1098000000,785000000
2016-02-29,USD,3689000000,8032000000,4343000000,4343000000,1123000000,1762000000,0,2566000000,None,None,None,5000000,None,17000000,None,177000000,1135000000,185000000,None,950000000,None,1123000000,1300000000,950000000
2016-05-31,USD,3786000000,8244000000,4458000000,4458000000,1020000000,1893000000,0,2766000000,None,None,None,5000000,None,58000000,None,163000000,1073000000,227000000,None,846000000,None,1020000000,1183000000,846000000
2016-08-31,USD,4123000000,9061000000,4938000000,4938000000,1226000000,1856000000,0,2897000000,None,None,None,11000000,None,62000000,None,180000000,1281000000,32000000,None,1249000000,None,1226000000,1406000000,1249000000
2016-11-30,USD,3616000000,8180000000,4564000000,4564000000,1111000000,1743000000,0,2505000000,None,None,None,20000000,None,18000000,None,178000000,1114000000,272000000,None,842000000,None,1111000000,1289000000,842000000
