fiscalDateEnding,reportedEPS
1996-12-31,0.23
1997-12-31,0.27
1998-12-31,0.37
1999-12-31,0.47
2000-12-31,0.51
2001-12-31,0.45
2002-12-31,0.22
2003-12-31,0.27
2004-12-31,0.32
2005-12-31,0.44
2006-12-31,0.43
2007-12-31,0.44
2008-12-31,0.1
2009-12-31,1.07
2010-12-31,0.84
2011-12-31,0.24
2012-12-31,0.33
2013-12-31,0.4
2014-12-31,0.5
2015-12-31,0.62
2016-12-31,0.71
2017-12-31,0.83
2018-12-31,1.08
2019-12-31,1.19
2020-12-31,1.56
2021-12-31,2.08
2022-12-31,2.24
2023-12-31,2.56
2024-12-31,2.7
2025-12-31,2.96
2026-03-31,0
