fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-02-28,USD,5278000,None,None,None,None,6458000,8095000,None,727000,None,-7814000,5691000,None,None,None,None,2309000,2309000,None,None,None,None,500000,None,None,None,None,14601000
2006-05-31,USD,87158000,None,None,None,None,6548000,8362000,None,19081000,None,27345000,-114440000,None,None,None,None,2643000,2643000,None,None,None,None,-1100000,None,None,None,None,11709000
2006-08-31,USD,2532000,None,None,None,None,5911000,3556000,None,-15614000,None,-24730000,22369000,None,None,None,None,5304000,5304000,None,None,None,None,900000,None,21571000,None,None,11155000
2006-11-30,USD,20516000,None,None,None,None,6060000,11712000,None,938000,None,-11707000,-11249000,None,None,None,None,2666000,2666000,None,None,None,None,1300000,None,12047000,None,None,12145000
2007-02-28,USD,25868000,None,None,None,None,6728000,7804000,None,-21876000,None,-8855000,-9810000,None,None,None,None,3205000,3205000,None,None,None,None,2000000,None,-6382000,None,None,9726000
2007-05-31,USD,39006000,None,None,None,None,6891000,8240000,None,23743000,None,-6175000,-12136000,None,None,None,None,3212000,3212000,None,None,None,None,400000,None,-1432000,None,None,19294000
2007-08-31,USD,-54000,None,None,None,None,6064000,6896000,None,-17513000,None,-28498000,7184000,None,None,None,None,3216000,3216000,None,None,None,None,None,None,501000,None,None,4776000
2007-11-30,USD,6632000,None,None,None,None,6126000,9514000,None,14572000,None,-7449000,6241000,None,None,None,None,3237000,3237000,None,None,None,None,None,None,-729000,None,None,12603000
2008-02-29,USD,37500000,None,None,None,None,5100000,5829000,None,-7020000,None,-38900000,-4400000,None,None,None,None,2889000,2889000,None,None,None,None,100000,None,-526000,None,None,42046000
2008-05-31,USD,36246000,None,None,None,None,6228000,8722000,None,36257000,None,-8944000,-35919000,None,None,None,None,2889000,2889000,None,None,None,None,257000,None,187000,None,None,9517000
2008-08-31,USD,25898000,None,None,None,None,9908000,3558000,None,-7350000,None,-3778000,-23484000,None,None,None,None,5812000,5812000,None,None,None,None,-200000,None,105000,None,None,1473000
2008-11-30,USD,-858000,None,None,None,None,4408000,5000000,None,18179000,None,-5208000,9923000,None,None,None,None,2856000,2856000,None,None,None,None,200000,None,-424000,None,None,4775000
2009-02-28,USD,29077000,None,None,None,None,4312000,3455000,None,-23061000,None,-3309000,-30222000,None,None,None,None,2857000,2857000,None,None,None,None,None,None,313053000,None,None,-281577000
2009-05-31,USD,2530000,None,None,None,None,4931000,3771000,None,26359000,None,-3771000,6209000,None,None,None,None,1430000,1430000,None,None,None,None,100000,None,671000,None,None,6512000
2009-08-31,USD,32576000,None,None,None,None,4951000,2069000,None,8030000,None,-2069000,-33865000,None,None,None,None,1489000,1489000,None,None,None,None,100000,None,966000,None,None,533000
2009-11-30,USD,6882000,None,None,None,None,5154000,2579000,None,13193000,None,-2579000,-3351000,None,None,None,None,1487000,1487000,None,None,None,None,48618000,None,1150000,None,None,4238000
2010-02-28,USD,39581000,None,None,None,None,5700000,2904000,None,-3143000,None,-2893000,-34019000,None,None,None,None,1483000,1483000,None,None,None,None,177995000,None,1578000,None,None,3341000
2010-05-31,USD,11117000,None,None,None,None,4616000,1561000,None,20144000,None,-1561000,1177000,None,None,None,None,1821000,1821000,None,None,None,None,100000,None,1657000,None,None,12497000
2010-08-31,USD,14419000,None,None,None,None,4637000,1809000,None,-19787000,None,-1731000,-3413000,None,None,None,None,1817000,1817000,None,None,None,None,200000,None,1110000,None,None,7219000
2010-11-30,USD,-31718000,None,None,None,None,4471000,6065000,None,-5906000,None,-6098000,13914000,None,None,None,None,1822000,1822000,None,None,None,None,200000,None,796000,None,None,-5194000
2011-02-28,USD,21943000,None,None,None,None,5089000,3893000,None,-12371000,None,40627000,-22901000,None,None,None,None,1815000,1815000,None,None,None,None,-200000,None,986000,None,None,1713000
2011-05-31,USD,6803000,None,None,None,None,5107000,3634000,None,23003000,None,-3634000,-508000,None,None,None,None,2142000,2142000,None,None,None,None,500000,None,864000,None,None,17060000
2011-08-31,USD,41170000,None,None,None,None,5329000,9092000,None,-14961000,None,-5746000,-44603000,None,None,None,None,2143000,2143000,None,None,None,None,500000,None,612000,None,None,3520000
2011-11-30,USD,-14804000,None,None,None,None,5725000,9722000,None,-13553000,None,-9722000,-8186000,None,None,None,None,2140000,2140000,None,None,None,None,600000,None,159000,None,None,1611000
2012-02-29,USD,25211000,None,None,None,None,10993000,12862000,-26638000,-12821000,None,-12862000,-3919000,None,None,None,None,2143000,2143000,None,None,None,None,-700000,None,545000,-7756000,62000,7052000
2012-05-31,USD,43103000,None,None,None,None,5694000,17631000,24499000,-2198000,None,-21814000,-22435000,None,None,None,None,2481000,2481000,None,None,None,None,700000,None,903000,-1146000,28000,5028000
2012-08-31,USD,43100000,None,None,None,None,5600000,17631000,-6763000,-2198000,None,-20519000,-24900000,None,None,None,None,2500000,2500000,None,None,None,None,900000,None,None,978000,82000,5000000
2012-11-30,USD,-5315000,None,None,None,None,6477000,20389000,None,-13425000,None,-20519000,26812000,None,None,None,None,2482000,2482000,None,None,None,None,200000,None,551000,None,None,3010000
2013-02-28,USD,32776000,None,None,None,None,8136000,13049000,5876000,-7674000,None,-10549000,-20314000,None,None,None,None,2486000,2486000,None,None,None,None,30444000,None,541000,1913000,-17000,5277000
2013-05-31,USD,-4580000,None,None,None,None,7226000,13860000,-19707000,13600000,None,-13860000,39296000,None,None,None,None,3024000,3024000,None,None,None,None,116171000,None,782000,20856000,-48000,13623000
2013-08-31,USD,53764000,None,None,None,None,8532000,12160000,19795000,-2505000,None,-30048000,-42329000,None,None,None,None,2964000,2964000,None,None,None,None,47257000,None,457000,-18613000,-7000,15806000
2013-11-30,USD,-27929000,None,None,None,None,8963000,10723000,-8465000,-21131000,None,-10723000,38374000,None,None,None,None,2961000,2961000,None,None,None,None,300000,None,311000,-278000,-117000,889000
2014-02-28,USD,31479000,None,None,None,None,9181000,6629000,-3540000,-19452000,None,-4499000,-28403000,None,None,None,None,2966000,2966000,None,None,None,None,78153000,None,109000,-1423000,596000,14973000
2014-05-31,USD,12551000,None,None,None,None,9136000,6704000,-14125000,15853000,None,-6704000,-5427000,None,None,None,None,3463000,3463000,None,None,None,None,85407000,None,595000,85000,-335000,14969000
2014-08-31,USD,47363000,None,None,None,None,9304000,12872000,32577000,-13014000,None,-12872000,-36629000,None,None,None,None,3468000,3468000,None,None,None,None,400000,None,1142000,-2152000,-14000,15069000
2014-11-30,USD,-19233000,None,None,None,None,9324000,16973000,-23829000,-5759000,None,-16973000,36065000,None,None,None,None,3468000,3468000,None,None,None,None,200000,None,1111000,-141000,-288000,-74000
2015-02-28,USD,54728000,None,None,None,None,9882000,13806000,None,-4181000,None,-13806000,-41628000,None,None,None,None,3474000,3474000,None,None,None,None,None,None,1255000,None,None,15794000
2015-05-31,USD,5071000,None,None,None,None,9428000,11907000,-12512000,12637000,None,-11907000,10405000,None,None,None,None,4153000,4153000,None,None,None,None,108492000,None,1182000,3632000,63000,17256000
2015-08-31,USD,67660000,None,None,None,None,8403000,29518000,-2499000,4001000,None,29818000,-93206000,None,None,None,None,4160000,4160000,None,None,None,None,400000,None,1276000,-7103000,-8000,-2021000
2015-11-30,USD,-4119000,None,None,None,None,9097000,21792000,365000,-15830000,None,-22892000,19916000,None,None,None,None,4161000,4161000,None,None,None,None,300000,None,1300000,-235000,550000,-2144000
2016-02-29,USD,36761000,None,None,None,None,9499000,9865000,-16562000,-8866000,None,-8965000,-28581000,None,None,None,None,4166000,4166000,None,None,None,None,300000,None,1483000,651000,272000,17471000
2016-05-31,USD,1697000,None,None,None,None,9954000,10582000,21932000,2767000,None,-104483000,103165000,None,None,None,None,4531000,4531000,None,None,None,None,-1234000,None,1575000,1218000,26000,20177000
2016-08-31,USD,71178000,None,None,None,None,10444000,14061000,-7574000,10218000,None,-17149000,-52837000,None,None,None,None,4531000,4531000,None,None,None,None,43000,None,1902000,-2841000,1000,23875000
2016-11-30,USD,-19568000,None,None,None,None,10416000,15501000,9581000,-2867000,None,-15501000,32227000,None,None,None,None,4528000,4528000,None,None,None,None,316000,None,1855000,981000,269000,-1597000
2017-02-28,USD,65258000,None,None,None,None,11405000,9271000,-20474000,-5896000,None,-9358000,-55188000,None,None,None,None,4529000,4529000,None,None,None,None,1000,None,1113000,222000,-27000,10006000
2017-05-31,USD,13611000,None,None,None,None,10190000,8545000,19138000,15000000,None,-8770000,-4592000,None,None,None,None,4552000,4552000,None,None,None,None,-2206000,None,1739000,-571000,182000,17197000
2017-08-31,USD,69524000,None,None,None,None,10378000,9982000,-15891000,8731000,None,-10371000,-59906000,None,None,None,None,4544000,4544000,None,None,None,None,300000,None,1336000,94000,-122000,22689000
2017-11-30,USD,-17857000,None,None,None,None,10944000,7830000,None,-6714000,None,-12271000,30343000,None,None,None,None,4546000,4546000,None,None,None,None,400000,None,1541000,None,None,1072000
2018-02-28,USD,53315000,None,None,None,None,10890000,12391000,8957000,2487000,None,-22865000,-30557000,None,None,None,None,4546000,4546000,None,None,None,None,300000,None,1797000,266000,374000,24132000
2018-05-31,USD,-7144000,None,None,None,None,10126000,12838000,-13795000,-5763000,None,-13140000,18689000,None,None,None,None,5758000,5758000,None,None,None,None,90700000,None,1718000,-1681000,-86000,20567000
2018-08-31,USD,64676000,None,None,None,None,11471000,9511000,11335000,5782000,None,-9511000,-52621000,None,None,None,None,5764000,5764000,None,None,None,None,54355000,None,1880000,2392000,-152000,27184000
2018-11-30,USD,7086000,None,None,None,None,10336000,8565000,174000,-14365000,None,-8617000,1867000,None,None,None,None,5764000,5764000,None,None,None,None,319000,None,1912000,359000,23000,1861000
2019-02-28,USD,31759000,None,None,None,None,10557000,6129000,726000,-22172000,None,-6129000,-24700000,None,None,None,None,5768000,5768000,None,None,None,None,286000,None,1817000,914000,-16000,16679000
2019-05-31,USD,-6088000,None,None,None,None,10137000,8282000,-17088000,3208000,None,-8282000,11579000,None,None,None,None,6297000,6297000,None,None,None,None,95059000,None,1876000,-2826000,-35000,21657000
2019-08-31,USD,73355000,None,None,None,None,9849000,7694000,27219000,4472000,None,-7694000,-40668000,None,None,None,None,6304000,6304000,None,None,None,None,-894000,None,1915000,25028000,None,29836000
