fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-01-31,USD,1938738000,1228847000,191767000,191767000,938091000,29122000,709891000,None,None,None,None,None,None,None,12763000,57104000,None,1102566000,878983000,474614000,None,None,50000000,223583000,None,None,None,None,50000000,328783000,None,836172000,None,359757000,1448000,578700000
2006-04-30,USD,1973637000,1267410000,145230000,145230000,979995000,36035000,706227000,None,None,None,None,None,None,None,43072000,63078000,None,1112915000,890487000,546329000,None,None,None,222428000,None,None,None,None,None,305935000,None,860722000,None,374528000,1437000,576772000
2006-07-31,USD,1936147000,1131045000,59351000,59351000,959792000,33904000,805102000,None,None,None,None,None,None,None,7417000,70581000,None,1079098000,860591000,537928000,None,None,None,218507000,None,None,None,None,None,322663000,None,857049000,None,366254000,1421000,570792000
2006-10-31,USD,2132128000,1300638000,122069000,122069000,1065549000,36823000,831490000,None,None,None,None,None,None,None,4857000,71340000,None,1273392000,1047526000,670578000,None,None,None,225866000,None,None,None,None,None,376948000,None,858736000,None,358091000,1406000,563548000
2007-01-31,USD,2358591000,1514956000,367388000,367388000,1051729000,30105000,843635000,None,None,None,None,None,None,None,5247000,60487000,None,1448761000,1083257000,698063000,None,None,None,365504000,None,None,None,None,150000000,351617000,None,909830000,None,384920000,1402000,560700000
2007-04-30,USD,2290146000,1424954000,199123000,199123000,1101525000,36940000,865192000,None,None,None,None,None,None,None,6821000,80545000,None,1354137000,952985000,608789000,None,None,None,365504000,None,None,None,None,150000000,310619000,None,909830000,None,384920000,1387000,558304000
2007-07-31,USD,2268879000,1377856000,132808000,132808000,1070376000,42071000,891023000,None,None,None,None,None,None,None,31263000,101338000,None,1331831000,930789000,598953000,None,None,None,401042000,None,None,None,None,150000000,331836000,None,937048000,None,393671000,1373000,553120000
2007-10-31,USD,2343642000,1414349000,151548000,151548000,1119070000,47515000,929293000,None,None,None,None,None,None,None,6177000,90039000,None,1412739000,1012904000,654341000,None,None,None,399835000,None,None,None,None,150000000,358563000,None,930903000,None,386035000,1354000,544860000
2008-01-31,USD,2371322000,1398001000,257580000,257580000,1025295000,37468000,973321000,None,None,9907000,9907000,2889000,None,None,6098000,71560000,None,1400673000,1010605000,637158000,None,None,None,390068000,None,None,None,None,150000000,351629000,None,970649000,None,416091000,1341000,537800000
2008-04-30,USD,2444393000,1466921000,305804000,305804000,1028576000,48892000,977472000,None,None,None,None,None,None,None,2237000,81412000,None,1450168000,1048175000,661847000,None,None,None,401993000,None,None,None,None,150000000,364510000,None,970649000,None,416091000,1328000,533256000
2008-07-31,USD,2478417000,1464630000,309554000,309554000,1018726000,49423000,1013787000,None,None,None,None,None,None,None,2821000,84106000,None,1472297000,1070065000,682565000,None,None,None,402232000,None,None,None,None,150000000,387500000,None,1006120000,None,416358000,1316000,529732000
2008-10-31,USD,2482639000,1456656000,231241000,231241000,1093082000,47104000,1025983000,None,None,None,None,None,None,None,2833000,82396000,None,1496749000,1098755000,686401000,None,None,None,397994000,None,None,None,None,150000000,412354000,None,985890000,None,390717000,1296000,524396000
