fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-06-30,USD,596603000,None,None,None,None,65115000,133876000,None,-49075000,None,-180955000,-426826000,None,None,None,None,58362000,58362000,None,None,None,None,-600271000,None,69190000,None,None,494277000
2007-06-30,USD,779102000,None,None,None,None,80887000,140872000,None,-57698000,None,-375926000,10392000,None,None,None,None,56878000,56878000,None,None,None,None,-149999000,None,56726000,None,None,663665000
2008-06-30,USD,923361000,None,None,None,None,100704000,174720000,None,-32080000,None,445440000,-1230261000,None,None,None,None,None,None,None,None,None,None,-1336599000,None,56726000,None,None,783055000
2009-06-30,USD,809152000,None,None,None,None,123014000,240329000,None,4070000,None,-264729000,-440083000,None,None,None,None,None,None,None,None,None,None,-453786000,None,67542000,None,None,623369000
2010-06-30,USD,990877000,None,None,None,None,126744000,81116000,4344000,-33878000,None,-182244000,-1019899000,None,None,None,None,94324000,94324000,None,None,None,None,-1149998000,None,81420000,-203892000,7374000,734940000
2011-06-30,USD,1033271000,None,None,None,None,125106000,147744000,-31831000,-64720000,None,-59631000,-875126000,None,None,None,None,178115000,178115000,None,None,None,None,-1098000000,None,95830000,103312000,4798000,880800000
2012-06-30,USD,1221689000,None,None,None,None,132909000,184309000,-26565000,-71680000,None,-259426000,-741881000,None,None,None,None,260276000,260276000,None,None,None,None,-700000000,None,107511000,217433000,-2949000,1038910000
2013-06-30,USD,1413974000,None,None,None,None,162987000,241353000,-14231000,-38630000,None,-570500000,-689106000,None,None,None,None,339724000,339724000,None,None,None,None,-400000000,None,120460000,145570000,-8798000,1034420000
2014-06-30,USD,985410000,None,None,None,None,189360000,219587000,-23713000,-64074000,None,-707708000,-748049000,None,None,None,None,376498000,376498000,None,None,None,None,-524926000,None,95106000,-470862000,-515000,781336000
2015-06-30,USD,937400000,None,None,None,None,191800000,209800000,300000,29200000,None,-612900000,389300000,None,None,None,None,371800000,371800000,None,None,None,None,-15600000,None,88900000,699900000,-13900000,402400000
2016-06-30,USD,758600000,None,None,None,None,210600000,405300000,-28300000,40700000,None,-810000000,-384900000,None,None,None,None,374500000,374500000,None,None,None,None,-15500000,None,86800000,-432800000,3500000,460500000
2017-06-30,USD,853800000,None,None,None,None,212800000,283100000,-29400000,-20000000,None,593000000,369500000,None,None,None,None,378000000,378000000,None,None,None,None,-21500000,None,73600000,1813900000,-2400000,591000000
2018-06-30,USD,996700000,None,None,None,None,260300000,267400000,-5600000,30400000,None,-2164800000,-249900000,None,None,None,None,384100000,384100000,None,None,None,None,-31500000,None,81300000,-1429500000,-11500000,397500000
2019-06-30,USD,791700000,None,None,None,None,268200000,274200000,25700000,-104700000,None,-574200000,-484900000,None,None,None,None,390700000,390700000,None,None,None,None,-100000000,None,84800000,-274200000,-6800000,643400000
2020-06-30,USD,407000000,None,None,None,None,248300000,205400000,61900000,-58600000,None,44300000,5900000,None,None,None,None,380300000,380300000,None,None,None,None,-300000000,None,53100000,457200000,None,-652100000
2021-06-30,USD,1323700000,None,None,None,None,218700000,116000000,-9600000,32200000,None,-91000000,-666000000,None,None,None,None,53700000,53700000,None,None,None,None,-7500000,None,64100000,566700000,None,834200000
2022-06-30,USD,853200000,None,None,None,None,195300000,93900000,-96000000,-311700000,None,-253600000,-1778100000,None,None,None,None,264400000,264400000,None,None,None,None,-1600000000,None,72200000,-1178500000,None,856300000
2023-06-30,USD,975200000,None,None,None,None,182200000,184200000,44100000,49900000,None,5700000,-1035900000,None,None,None,None,283300000,283300000,None,None,None,None,-703500000,None,78800000,-55000000,None,936000000
2024-06-30,USD,1255600000,None,None,None,None,229000000,108900000,None,85800000,None,-1041900000,5214400000,None,None,None,None,321400000,321400000,None,None,None,None,-32700000,None,85900000,None,None,816000000
2025-06-30,USD,1216600000,None,None,None,None,224900000,122700000,None,-108200000,None,914000000,-7175200000,None,None,None,None,299300000,299300000,None,None,None,None,-2018700000,None,87300000,None,None,183200000
