fiscalDateEnding,reportedEPS
1996-12-31,0.1
1997-12-31,0.09
1998-12-31,0.12
1999-12-31,0.12
2000-12-31,0.12
2001-12-31,0.1674
2002-12-31,0.24
2003-12-31,0.3508
2004-12-31,0.41
2005-12-31,0.53
2006-12-31,0.5532
2007-12-31,0.6
2008-12-31,0.6
2009-12-31,0.7932
2010-12-31,1.13
2011-12-31,1.51
2012-12-31,1.92
2013-12-31,2.33
2014-12-31,2.66
2015-12-31,3
2016-12-31,3.27
2017-12-31,3.34
2018-12-31,4.32
2019-12-31,4.66
2020-12-31,6.87
2021-12-31,8.62
2022-12-31,9.71
2023-12-31,10.09
2024-12-31,6.65
2025-12-31,2.07
2026-03-31,0.31
