fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,32231000,None,None,None,None,5805000,39155000,None,-56559000,None,-25642000,-2305000,None,None,None,None,636000,636000,None,None,None,None,None,None,1199000,None,None,15336000
2006-03-31,USD,-84410000,None,None,None,None,6047000,14842000,None,-21392000,None,-24065000,110420000,None,None,None,None,641000,641000,None,None,None,None,None,None,None,None,None,3835000
2006-06-30,USD,77271000,None,None,None,None,6045000,20536000,None,93280000,None,-11585000,-66033000,None,None,None,None,686000,686000,None,None,None,None,None,None,1199000,None,None,10347000
2006-09-30,USD,26970000,None,None,None,None,6171000,36195000,None,5797000,None,-19997000,25326000,None,None,None,None,687000,687000,None,None,None,None,None,None,-551000,None,None,8387000
2006-12-31,USD,-82734000,None,None,None,None,6474000,30313000,None,-135984000,None,-13507000,71866000,None,None,None,None,794000,794000,None,None,None,None,None,None,2891000,None,None,13778000
2007-03-31,USD,-89016000,None,None,None,None,6328000,4400000,None,-29607000,None,-22029000,115096000,None,None,None,None,843000,843000,None,None,None,None,None,None,1004000,None,None,9239000
2007-06-30,USD,124651000,None,None,None,None,6419000,43280000,None,110139000,None,-25524000,-97631000,None,None,None,None,846000,846000,None,None,None,None,None,None,-2074000,None,None,25488000
2007-09-30,USD,-99064000,None,None,None,None,6710000,10845000,None,-90983000,None,-1876000,94352000,None,None,None,None,849000,849000,None,None,None,None,None,None,-10848000,None,None,10565000
2007-12-31,USD,-100905000,None,None,None,None,6796000,17835000,None,-195996000,None,-14168000,115016000,None,None,None,None,1391000,1391000,None,None,None,None,None,None,4374000,None,None,23492000
2008-03-31,USD,-222533000,None,None,None,None,6845000,31180000,None,-55126000,None,-49927000,284925000,None,None,None,None,1399000,1399000,None,None,None,None,None,None,1606000,None,None,7823000
2008-06-30,USD,-33528000,None,None,None,None,7055000,31776000,None,157569000,None,1132000,31010000,None,None,None,None,1402000,1402000,None,None,None,None,None,None,-1157000,None,None,45626000
2008-09-30,USD,418377000,None,None,None,None,7930000,32346000,None,27756000,None,-46420000,-376795000,None,None,None,None,1541000,1541000,None,None,None,None,None,None,1165000,None,None,12840000
2008-12-31,USD,116348000,None,None,None,None,7937000,23023000,None,-127125000,None,-12746000,-50461000,None,None,None,None,1543000,1543000,None,None,None,None,None,None,4050000,None,None,-33389000
2009-03-31,USD,-50564000,None,None,None,None,7894000,8749000,None,52670000,None,-9805000,20972000,None,None,None,None,1555000,1555000,None,None,None,None,-229000,None,872000,None,None,3913000
2009-06-30,USD,181841000,None,None,None,None,8318000,10425000,None,176222000,None,-4714000,-39660000,None,None,None,None,1594000,1594000,None,None,None,None,None,None,646000,None,None,15646000
2009-09-30,USD,59896000,None,None,None,None,9202000,13662000,None,19746000,None,-42111000,-16959000,None,None,None,None,1598000,1598000,None,None,None,None,2353000,None,618000,None,None,1617000
2009-12-31,USD,-10932000,None,None,None,None,10606000,8689000,None,-216411000,None,-6779000,-16938000,None,None,None,None,1599000,1599000,None,None,None,None,229000,None,611000,None,None,18390000
2010-03-31,USD,-63518000,None,None,None,None,9750000,4859000,None,32951000,None,-7398000,-554000,None,None,None,None,1605000,1605000,None,None,None,None,994000,None,768000,None,None,12656000
2010-06-30,USD,168710000,None,None,None,None,9063000,19342000,None,140281000,None,-24813000,-14039000,None,None,None,None,1658000,1658000,None,None,None,None,1466000,None,597000,None,None,25779000
2010-09-30,USD,-251831000,None,None,None,None,9116000,12823000,None,-195051000,None,-8185000,81431000,None,None,None,None,1659000,1659000,None,None,None,None,103255000,None,580000,None,None,368000
2010-12-31,USD,-92646000,None,None,None,None,10984000,12227000,None,-192352000,None,-48609000,144742000,None,None,None,None,1659000,1659000,None,None,None,None,154371000,None,644000,None,None,26078000
2011-03-31,USD,-221754000,None,None,None,None,9884000,14976000,-70469000,-127828000,None,-5972000,220827000,None,None,None,None,2033000,2033000,None,None,None,None,241857000,None,791000,-6899000,None,17388000
2011-06-30,USD,284993000,None,None,None,None,10067000,29751000,-20158000,305185000,None,-21399000,-267298000,None,None,None,None,2042000,2042000,None,None,None,None,-140000,None,1072000,-3704000,None,46035000
2011-09-30,USD,158776000,None,None,None,None,10137000,23318000,81966000,11292000,None,-19888000,-118994000,None,None,None,None,2043000,2043000,None,None,None,None,-2607000,None,895000,19894000,None,11231000
2011-12-31,USD,68250000,None,None,None,None,10749000,40278000,-7047000,-303076000,None,-38738000,-47632000,None,None,None,None,2035000,2035000,None,None,None,None,-293000,None,1313000,-18120000,None,22171000
2012-03-31,USD,-187007000,None,None,None,None,10495000,48428000,-35215000,-25093000,None,-73130000,271621000,None,None,None,None,2780000,2780000,None,None,None,None,6935000,None,1791000,11484000,None,17728000
2012-06-30,USD,52917000,None,None,None,None,12005000,66771000,-1062000,201859000,None,-99290000,38429000,None,None,None,None,2794000,2794000,None,None,None,None,99943000,None,1084000,-7944000,None,28471000
2012-09-30,USD,95363000,None,None,None,None,12830000,39336000,4755000,-85731000,None,1824000,-40747000,None,None,None,None,2796000,2796000,None,None,None,None,18198000,None,428000,56440000,None,15191000
2012-12-31,USD,367209000,None,None,None,None,13647000,25963000,9785000,31393000,None,-119961000,-189400000,None,None,None,None,2796000,2796000,None,None,None,None,102989000,None,687000,57848000,None,14175000
2013-03-31,USD,-335983000,None,None,None,None,14801000,50435000,11815000,23299000,None,-17805000,273854000,None,None,None,None,2989000,2989000,None,None,None,None,293135000,None,768000,-79934000,None,12312000
2013-06-30,USD,276314000,None,None,None,None,13383000,25013000,-19332000,308297000,None,-8082000,-250596000,None,None,None,None,2996000,2996000,None,None,None,None,-230963000,None,667000,17636000,None,30732000
2013-09-30,USD,188630000,None,None,None,None,13451000,27461000,36985000,16576000,None,-49215000,-80894000,None,None,None,None,2996000,2996000,None,None,None,None,-32597000,None,902000,58521000,None,18039000
2013-12-31,USD,208227000,None,None,None,None,13672000,36461000,5978000,-185729000,None,-31159000,-2424000,None,None,None,None,3005000,3005000,None,None,None,None,14209000,None,2002000,174644000,None,34619000
2014-03-31,USD,-498613000,None,None,None,None,13856000,19528000,-19390000,-110661000,None,37258000,195963000,None,None,None,None,3107000,3107000,None,None,None,None,229698000,None,1462000,-265392000,None,26029000
2014-06-30,USD,239028000,None,None,None,None,14578000,31508000,2260000,292588000,None,-27985000,-207546000,None,None,None,None,3126000,3126000,None,None,None,None,-195986000,None,4591000,3497000,None,49370000
2014-09-30,USD,361859000,None,None,None,None,15873000,27882000,27291000,36533000,None,-21831000,-60272000,None,None,None,None,3126000,3126000,None,None,None,None,-31925000,None,1489000,279756000,None,19279000
2014-12-31,USD,-112345000,None,None,None,None,17698000,70824000,-11864000,-390500000,None,-77180000,-22717000,None,None,None,None,3126000,3126000,None,None,None,None,1618000,None,1039000,-212242000,None,27967000
2015-03-31,USD,-286659000,None,None,None,None,17523000,30197000,-28366000,51698000,None,-17522000,243938000,None,None,None,None,4059000,4059000,None,None,None,None,-27783000,None,736000,-60243000,None,3945000
2015-06-30,USD,227261000,None,None,None,None,19073000,51773000,-13843000,260643000,None,-160615000,-80334000,None,None,None,None,3985000,3985000,None,None,None,None,-6377000,None,1252000,-13688000,None,32399000
2015-09-30,USD,117171000,None,None,None,None,20769000,72763000,36206000,-19381000,None,-34298000,-82988000,None,None,None,None,3967000,3967000,None,None,None,None,-14929000,None,610000,-115000,None,-950000
