fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,14347000000,8393000000,365000000,365000000,3684000000,1879000000,5954000000,3446000000,None,99000000,99000000,236000000,None,None,3000000,2465000000,None,8269000000,4515000000,2328000000,None,None,610000000,3754000000,None,2874000000,None,None,3484000000,1577000000,None,5668000000,None,2350000000,1000000,121728972
2007-12-31,USD,21991000000,14518000000,981000000,981000000,5924000000,2909000000,7473000000,4216000000,None,139000000,139000000,354000000,None,None,5000000,4704000000,None,14046000000,8834000000,4061000000,None,None,1112000000,5212000000,None,3435000000,None,None,4547000000,3661000000,None,7945000000,None,2962000000,1000000,130753807
2008-12-31,USD,20230000000,13176000000,1004000000,1004000000,5653000000,2868000000,7054000000,3969000000,None,107000000,107000000,325000000,None,None,None,3651000000,None,12794000000,8074000000,4158000000,None,None,551000000,4720000000,None,3032000000,None,None,3583000000,3365000000,None,7436000000,None,3844000000,1000000,137591266
2009-12-31,USD,21286000000,11783000000,553000000,553000000,4862000000,2363000000,9503000000,5347000000,None,170000000,170000000,427000000,None,622000000,15000000,4005000000,None,10921000000,6207000000,3275000000,None,None,197000000,4714000000,None,3618000000,None,None,3815000000,2482000000,913000000,9494000000,0,3996000000,1000000,127669822
2010-12-31,USD,26001000000,15815000000,578000000,578000000,6635000000,2901000000,10186000000,5312000000,None,186000000,186000000,934000000,None,609000000,39000000,5701000000,None,13447000000,10004000000,3637000000,None,None,2330000000,3443000000,None,2551000000,None,None,4881000000,3714000000,808000000,12554000000,0,6153000000,1000000,156274814
2011-12-31,USD,25221000000,15074000000,835000000,835000000,5733000000,2987000000,10147000000,5517000000,None,220000000,220000000,893000000,None,600000000,1996000000,3523000000,None,13146000000,8893000000,3173000000,None,None,2679000000,4253000000,None,3348000000,None,None,6027000000,2758000000,771000000,11707000000,-120000000,6917000000,1000000,155209045
2012-12-31,USD,27280000000,17264000000,569000000,569000000,6590000000,2936000000,10016000000,5888000000,None,295000000,295000000,351000000,None,273000000,3153000000,4016000000,None,16025000000,11561000000,3319000000,None,None,5365000000,4464000000,None,3532000000,None,None,8897000000,2654000000,810000000,10862000000,-120000000,6792000000,1000000,147000000
2013-12-31,USD,26781000000,17772000000,742000000,742000000,5796000000,2586000000,9009000000,6075000000,None,326000000,326000000,392000000,None,241000000,4632000000,4016000000,None,16656000000,12535000000,3522000000,None,None,5935000000,4121000000,None,3179000000,None,None,9114000000,2748000000,757000000,9857000000,-120000000,6891000000,1000000,148257309
2014-12-31,USD,21485000000,13166000000,362000000,362000000,5502000000,1971000000,8319000000,5626000000,None,256000000,256000000,349000000,None,294000000,1343000000,3988000000,None,12651000000,8790000000,3333000000,None,None,2346000000,3861000000,None,2855000000,408000000,None,5201000000,2719000000,969000000,8834000000,-420000000,7180000000,1000000,147000000
2015-12-31,USD,17914000000,10916000000,411000000,411000000,4466000000,1971000000,6998000000,4736000000,None,326000000,326000000,418000000,None,329000000,559000000,3509000000,None,11262000000,7340000000,2675000000,None,None,1842000000,3922000000,None,2934000000,872000000,None,4768000000,2392000000,750000000,6441000000,-720000000,7725000000,1000000,152000000
