fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,1571000000,26274000000,24703000000,24703000000,593000000,978000000,22000000,978000000,None,None,None,280000000,None,None,None,324000000,485000000,-36000000,None,None,None,593000000,917000000,521000000
2007-12-31,USD,2515000000,37842000000,35327000000,35327000000,1156000000,1359000000,34000000,1359000000,None,None,None,353000000,None,None,None,385000000,1201000000,310000000,None,None,None,1554000000,1939000000,778000000
2008-12-31,USD,4036000000,52574000000,48538000000,48538000000,2423000000,1613000000,35000000,1613000000,None,None,None,361000000,None,None,None,439000000,1571000000,245000000,None,None,None,1898000000,2337000000,1064000000
2009-12-31,USD,1204000000,41926000000,40722000000,40722000000,-138000000,1342000000,26000000,1342000000,None,None,None,283000000,None,646000000,None,443000000,225000000,-110000000,None,255000000,None,428000000,871000000,361000000
2010-12-31,USD,2511000000,45707000000,43196000000,43196000000,953000000,1558000000,24000000,1558000000,None,None,None,298000000,None,2422000000,None,443000000,3050000000,689000000,None,2361000000,None,1022000000,1465000000,2354000000
2011-12-31,USD,2627000000,56097000000,53470000000,53470000000,1191000000,1553000000,22000000,1436000000,None,None,None,295000000,None,111000000,None,526000000,1020000000,55000000,None,896000000,None,1315000000,1841000000,942000000
2012-12-31,USD,2573000000,60991000000,58418000000,58418000000,1010000000,1563000000,19000000,1563000000,None,None,None,294000000,None,170000000,None,570000000,372000000,-6000000,None,378000000,None,666000000,1236000000,64000000
2013-12-31,USD,2760000000,61347000000,58587000000,58587000000,1201000000,1559000000,19000000,1559000000,None,None,None,363000000,None,176000000,None,568000000,1014000000,904000000,None,110000000,None,1377000000,1945000000,306000000
2014-12-31,USD,2621000000,57161000000,54540000000,54540000000,930000000,1691000000,20000000,1691000000,None,None,None,347000000,None,151000000,None,607000000,734000000,249000000,None,485000000,None,1081000000,1688000000,515000000
2015-12-31,USD,2693000000,43455000000,40762000000,40762000000,1258000000,1435000000,16000000,1435000000,None,None,178000000,258000000,None,64000000,None,545000000,1051000000,296000000,None,755000000,None,1309000000,1854000000,791000000
2016-12-31,USD,2410000000,42679000000,40269000000,40269000000,1126000000,1286000000,17000000,1284000000,None,-183000000,51000000,234000000,None,177000000,None,547000000,996000000,220000000,None,776000000,None,1230000000,1777000000,745000000
2017-12-31,USD,1765000000,45794000000,44029000000,44029000000,328000000,1445000000,20000000,1437000000,None,-225000000,38000000,263000000,None,191000000,None,609000000,230000000,56000000,None,174000000,None,493000000,1102000000,160000000
2018-12-31,USD,2266000000,45743000000,43477000000,43477000000,843000000,1423000000,15000000,1423000000,None,-308000000,31000000,339000000,None,-48000000,None,622000000,456000000,179000000,None,277000000,None,795000000,1417000000,267000000
2019-12-31,USD,542000000,41140000000,40598000000,40598000000,-809000000,1351000000,15000000,1351000000,None,-308000000,31000000,339000000,None,87000000,None,548000000,-1205000000,86000000,None,-1291000000,None,-866000000,-318000000,-1280000000
2020-12-31,USD,2785000000,41404000000,38619000000,38619000000,1427000000,1358000000,24000000,1358000000,None,-243000000,140000000,265000000,None,298000000,None,435000000,1413000000,248000000,None,1165000000,None,1678000000,2113000000,1145000000
2021-12-31,USD,3363000000,59152000000,55789000000,55789000000,2129000000,1234000000,33000000,1234000000,None,-195000000,48000000,243000000,None,519000000,None,424000000,2565000000,398000000,None,2167000000,None,2808000000,3232000000,2078000000
2022-12-31,USD,3682000000,67232000000,63550000000,63550000000,2313000000,1369000000,33000000,1369000000,None,-332000000,71000000,403000000,None,51000000,None,408000000,2066000000,388000000,None,1678000000,None,2469000000,2877000000,1610000000
2023-12-31,USD,4845000000,59540000000,54695000000,54695000000,3130000000,1610000000,35000000,1715000000,None,-329000000,142000000,516000000,None,None,None,451000000,3051000000,714000000,None,2051000000,None,3567000000,4018000000,2243000000
2024-12-31,USD,3393000000,53108000000,49715000000,49715000000,1617000000,1776000000,30000000,1776000000,None,-308000000,163000000,471000000,None,None,None,468000000,1524000000,336000000,None,1188000000,None,1995000000,2463000000,1137000000
2025-12-31,USD,3174000000,70325000000,67151000000,67151000000,1060000000,2113000000,28000000,2114000000,None,-426000000,451000000,542000000,None,None,None,703000000,1134000000,288000000,None,846000000,None,1060000000,1763000000,819000000
