fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-09-30,USD,-41469,132075,173544,173544,-246070,204601,None,204601,None,None,None,186335,None,None,None,54,-407152,182101,None,None,None,-220817,-220763,-407152
2021-12-31,USD,-126564,73044,199608,199608,-473070,83882,None,346506,None,None,None,214446,None,None,None,161,169646,214446,None,None,None,-473070,-472909,169646
2022-03-31,USD,-40355,238145,278500,278500,-484652,392965,None,444297,None,-1615315,2973,1618288,None,None,None,81,-2099967,2973,None,-2099967,None,-481679,-481598,-2099967
2022-06-30,USD,-118432,305574,424006,424006,-673180,409897,None,554748,None,-207108,4050,211158,None,None,None,81,-880288,4050,None,-880288,None,-669130,-669049,-880288
2022-09-30,USD,9100,181930,172830,172830,-601872,495786,None,610972,None,-650826,2937,217346,None,None,None,37252,-816281,653763,None,-1196881,None,-598935,-561683,-816281
2022-12-31,USD,-76702,26529,103231,103231,-646381,246849,None,569679,None,-512729,3667,516396,None,None,None,55839,-1856401,3667,None,-1856401,None,-1340005,-1284166,-1856401
2023-03-31,USD,-29642,97340,126982,126982,-606493,540182,None,576851,None,-170600,2845,173445,None,None,None,55823,-777093,2845,None,-777093,None,-603648,-547825,-777093
2023-06-30,USD,-18396,343065,361461,361461,-753870,709783,None,735474,None,-219640,2911,222551,None,None,None,55758,-973510,2911,None,-973510,None,-750959,-695201,-973510
2023-09-30,USD,-27607,906996,934603,934603,-698990,628341,None,671383,None,-7003,3001,10004,None,None,None,55939,-705993,3001,None,-705993,None,-695989,-640050,-705993
2023-12-31,USD,-188105,1478454,1666559,1666559,-849240,604489,None,661135,None,-26309,2962,29271,None,None,None,56336,-1469114,4,None,-1469114,None,-849236,-792900,-1469114
2024-03-31,USD,283588,1467016,1183428,1183428,-1025100,1251629,None,1308688,None,-25867,2877,28744,None,None,None,56336,-1050967,4,None,-1050967,None,-1022223,-965887,-1050967
2024-06-30,USD,148759,1362986,1214227,1214227,-826415,934029,None,975174,None,-116139,2818,118957,None,None,None,56335,-942554,-5,None,-942554,None,-823597,-767262,-942554
2024-09-30,USD,336340,2181495,1845155,1845155,-903155,1113898,0,1239495,None,-367650,2882,370532,None,None,None,60614,-1270805,None,None,-1270805,None,-900273,-839659,-1270805
2024-12-31,USD,94933,1504840,1409907,1409907,-1147771,1242704,None,2652611,None,-339419,5579,344998,None,None,None,None,-1487190,None,None,-1487190,None,None,None,-1487190
2025-03-31,USD,552515,3193522,2641007,2641007,-682540,920813,None,1235055,None,-235842,5136,240978,None,None,None,152355,-918382,-4,None,-918382,None,-677404,-525049,-918382
2025-06-30,USD,606459,3299738,2693279,2693279,-1346021,1544097,None,1952480,None,-257135,6600,263735,None,None,None,153205,-1603156,None,None,-1603156,None,-1339421,-1186216,-1603156
2025-09-30,USD,569550,3220027,2650477,2650477,-1427504,1146152,190875,1997054,None,-145048,3916,148964,None,None,None,153606,-1572552,None,None,-1572552,None,-1423588,-1269982,-1572552
2025-12-31,USD,305923,4011276,3705353,3705353,-1505890,1229349,61729,1811813,None,-91071,3748,94819,None,None,None,157415,-2030582,None,None,-2030582,None,-1935763,-1778348,-2030582
