fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2016-09-30,USD,40800000,None,None,None,None,25000000,4400000,None,-7200000,None,-2600000,-34800000,None,None,None,None,None,None,None,None,None,None,None,None,25600000,None,None,19900000
2017-09-30,USD,80400000,None,None,None,None,25300000,3900000,None,2300000,None,2100000,-84000000,None,None,None,None,None,None,None,None,None,None,None,None,30700000,None,None,35200000
2018-09-30,USD,141200000,None,None,None,None,25900000,5000000,None,24100000,None,-5000000,-133000000,None,None,None,None,None,None,None,None,None,None,None,None,1900000,None,None,96100000
2019-09-30,USD,98300000,None,None,None,None,25300000,3200000,None,-77200000,None,-3200000,-100200000,None,None,None,None,100200000,100200000,None,None,None,None,None,None,3500000,None,None,123100000
2020-09-30,USD,97200000,None,None,None,None,25300000,2100000,None,-11500000,None,-2100000,-52600000,None,None,None,None,32100000,32100000,None,None,None,None,881000000,None,2500000,None,None,100100000
2021-09-30,USD,226100000,None,None,None,None,53700000,1600000,-21000000,32400000,None,-1600000,-120900000,None,None,None,None,24600000,24600000,None,None,None,None,0,None,4600000,103900000,300000,114400000
2022-09-30,USD,21000000,None,None,None,None,21300000,1800000,-70700000,-83900000,None,-1800000,-135000000,None,None,None,None,None,None,None,None,None,None,-42800000,None,9800000,-115800000,None,116000000
2023-09-30,USD,215600000,None,None,None,None,28300000,1800000,None,6400000,None,-1800000,-201700000,None,None,None,None,None,None,None,None,None,None,-125500000,None,14200000,None,None,165500000
2024-09-30,USD,199600000,None,None,None,None,36500000,1800000,None,-90900000,None,-1800000,-175100000,None,None,None,None,None,None,None,None,None,None,-146600000,None,21000000,None,None,246500000
2025-09-30,USD,260600000,None,None,None,None,18600000,4700000,None,-43100000,None,-4700000,-238300000,None,None,None,None,None,None,None,None,None,None,-474900000,None,22100000,None,None,216200000
