fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2010-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1384614
2010-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1692306
2010-12-31,USD,10000,10000,10000,10000,None,None,None,None,None,None,None,None,None,None,None,None,None,270000,270000,150000,None,None,110000,260000,None,None,None,None,110000,10000,None,-260000,None,-300000,None,1999998
2011-03-31,USD,36344,None,None,None,None,None,36344,None,None,36344,36344,None,None,None,None,None,None,100185,100185,None,None,None,None,None,None,None,None,None,None,100185,None,-63841,None,-64841,37,2866059
2011-06-30,USD,9618,9618,9618,9618,None,None,None,None,None,None,None,None,None,None,None,None,None,291639,291639,None,None,None,110200,110200,None,None,None,None,110200,181439,None,-282021,None,-322021,7,2866059
2011-09-30,USD,63534,63534,63534,63534,None,None,None,None,None,None,None,None,None,None,None,None,None,285380,285380,110200,None,None,12411,114219,None,None,None,None,None,171161,None,-221846,None,-262351,7,2866059
2011-12-31,USD,503,503,503,503,None,None,None,None,None,None,None,None,None,None,None,None,None,283583,283583,110200,None,None,None,110200,None,None,None,None,None,173383,None,-283080,None,-314082,7,2869237
2012-03-31,USD,608282,424976,420976,420976,None,None,183306,149000,None,34165,34165,None,None,None,None,4000,None,22676,22676,10896,None,None,None,10896,None,None,None,None,None,11780,None,585606,None,-410721,47,3708589
2012-06-30,USD,445923,230620,230620,230620,None,None,215303,181000,None,33620,33620,None,None,None,None,None,None,68559,68559,39211,None,None,None,39211,None,None,None,None,None,29348,None,377364,None,-690965,49,3708589
2012-09-30,USD,688670,374408,348110,348110,1808,3814,314262,248000,None,33075,33075,None,None,None,None,41352,None,248585,248585,53352,None,None,158578,211930,None,None,None,None,158578,36655,None,440085,None,-1079925,49,3749940
2012-12-31,USD,531480,211510,196775,196775,5800,7515,319970,253000,None,32530,32530,None,None,None,None,1420,None,470824,470824,82719,None,None,280913,363632,None,None,None,None,280913,107192,None,60656,None,-1755122,49,3742947
2013-03-31,USD,700000,None,86000,86000,13000,None,None,311000,None,32000,32000,None,None,None,None,226000,None,792000,792000,248000,None,None,None,None,None,None,None,None,None,222000,None,None,None,None,None,None
2013-06-30,USD,560369,192032,19061,19061,37844,33502,368337,320000,None,31439,31439,None,None,None,None,101625,None,883569,883569,240211,None,None,422932,663143,None,None,None,None,422932,220426,None,-323200,None,-2960343,52,3959730
2013-09-30,USD,1493280,1137630,1021716,1021716,52035,12628,355650,308000,None,30894,30894,None,None,None,None,51251,None,467412,312122,126904,None,None,None,155290,None,155000,None,None,155290,185218,None,1025868,None,-3518908,59,4418705
2013-12-31,USD,1793162,750032,664484,664484,61427,4984,1043130,315000,None,713327,713327,None,None,None,None,19137,None,999670,826986,124101,None,None,483796,172684,None,173000,None,None,656480,219089,None,793492,None,-4049516,59,4584046
2014-03-31,USD,3867365,2790172,2632612,2632612,76913,68640,1077193,362000,None,700654,700654,None,None,None,None,24014,None,1158342,965283,175851,None,None,544746,193059,None,193000,None,None,737805,244686,None,2709023,None,-5030159,65,5034086
2014-06-30,USD,3371776,2193064,2023923,2023923,73769,83402,1178712,465000,None,696853,696853,None,None,None,None,11970,None,1255560,1037877,149011,None,None,614682,217683,None,218000,None,None,832365,274184,None,2116216,None,-5826967,66,5034086
2014-09-30,USD,2795996,1574021,1297640,1297640,147551,108301,1221975,524000,None,681459,681459,None,None,None,None,20529,None,1363387,1115891,175823,None,None,695023,247496,None,247000,None,None,942519,245045,None,1432609,None,-6741241,66,5096466
2014-12-31,USD,2311303,1088966,821309,821309,151169,105523,1222337,539000,None,666486,666486,None,None,None,None,10965,None,1203724,1188295,76048,None,None,906420,15429,None,15000,None,None,921849,205827,None,1107579,None,-7502812,67,5120690
