fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-11-30,USD,4874000,None,None,None,None,3777000,2330000,None,1780000,None,-1662000,-187000,None,None,None,None,None,None,None,None,None,None,-187000,None,None,None,None,1240000
2007-11-30,USD,12232000,None,None,None,None,3389000,1587000,None,1211000,None,-1561000,-515000,None,None,None,None,None,None,None,None,None,None,-515000,None,None,None,None,-292000
2008-11-30,USD,-394000,None,None,None,None,3283000,1880000,None,2281000,None,-1811000,-3039000,None,None,None,None,None,None,None,None,None,None,-3039000,None,-27000,None,None,-12447000
2009-11-30,USD,9436000,None,None,None,None,2733000,1303000,None,457000,None,-979000,-638000,None,None,None,None,None,None,None,None,None,None,-638000,None,148000,None,None,6787000
2010-11-30,USD,4714000,None,None,None,None,2168000,1769000,None,-712000,None,-1729000,-1210000,None,None,None,None,933000,933000,None,None,None,None,-277000,None,-31000,None,None,4319000
2011-11-30,USD,-2320000,None,None,None,None,1802000,1852000,-2219000,-581000,None,-1798000,-2244000,None,None,None,None,932000,932000,None,None,None,None,-1312000,None,None,-6362000,None,-443000
2012-11-30,USD,1842000,None,None,None,None,1716000,1040000,-1975000,-467000,None,-1018000,-404000,None,None,None,None,0,0,None,None,None,None,-321000,None,None,420000,None,3651000
2013-11-30,USD,3760000,None,None,None,None,2236000,4378000,-411000,-1564000,None,-4306000,-873000,None,None,None,None,458000,458000,None,None,None,None,-209000,None,None,-1419000,None,2916000
2014-11-30,USD,-4021000,None,None,None,None,2827000,3877000,1816000,-2373000,None,-3714000,-398000,None,None,None,None,0,0,None,None,None,None,-184000,None,None,-8133000,None,-4344000
2015-11-30,USD,7460000,None,None,None,None,3050000,1404000,-7090000,1315000,None,-1352000,-458000,None,None,None,None,0,0,None,None,None,None,-283000,None,None,5650000,None,15442000
2016-11-30,USD,4527000,None,None,None,None,3043000,3265000,-2587000,-4104000,None,-3241000,-143000,None,None,None,None,0,0,None,None,None,None,-40000,None,None,1143000,None,7770000
2017-11-30,USD,16769000,None,None,None,None,3366000,11574000,-2326000,1065000,None,-11516000,-129000,None,None,None,None,0,0,None,None,None,None,0,None,None,5124000,None,8829000
2018-11-30,USD,8265000,None,None,None,None,3940000,18147000,-1263000,-397000,None,-12112000,-83000,None,None,None,None,None,None,None,None,None,None,None,None,None,-3930000,None,6517000
2019-11-30,USD,7247000,None,None,None,None,4153000,25739000,-774000,-2954000,None,-25678000,13730000,None,None,None,None,None,None,None,None,None,None,None,None,-518000,-4701000,None,6484000
2020-11-30,USD,9917000,None,None,None,None,5514000,24482000,-1512000,-2929000,None,-23318000,15350000,None,None,None,None,None,None,None,None,None,None,None,None,None,1949000,None,7323000
2021-11-30,USD,-5992000,None,None,None,None,6669000,6239000,None,-7475000,None,-6469000,7409000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5503000
2022-11-30,USD,-7830000,None,None,None,None,6682000,3770000,None,-3762000,None,56345000,-32557000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45066000
2023-11-30,USD,3985000,None,None,None,None,6558000,2603000,None,-40000,None,-2376000,-2234000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3474000
2024-11-30,USD,-497000,None,None,None,None,6540000,3902000,None,7235000,None,-3833000,-1148000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3381000
2025-11-30,USD,-5692000,None,None,None,None,6382000,3597000,None,-3734000,None,-3392000,-270000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-13359000
