fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-05-31,USD,20931000,None,None,None,None,20569000,12372000,None,2136000,None,-22866000,-4991000,None,None,None,None,1170000,1170000,None,None,None,None,-9344000,None,None,None,None,-1013000
2007-05-31,USD,59724000,None,None,None,None,21476000,23472000,None,47000,None,-49271000,-8716000,None,None,None,None,1172000,1172000,None,None,None,None,300000,None,None,None,None,36656000
2008-05-31,USD,158416000,None,None,None,None,25320000,31686000,None,-14558000,None,-31335000,-47255000,None,None,None,None,19650000,19650000,None,None,None,None,None,None,1650000,None,None,151861000
2009-05-31,USD,111282000,None,None,None,None,28076000,26112000,None,-2911000,None,-122494000,-16763000,None,None,None,None,35268000,35268000,None,None,None,None,400000,None,-2722000,None,None,79500000
2010-05-31,USD,116668000,None,None,None,None,31785000,20786000,None,5311000,None,-61551000,-22547000,None,None,None,None,19039000,19039000,None,None,None,None,300000,None,-533000,None,None,65532000
2011-05-31,USD,62310000,None,None,None,None,30754000,20742000,None,-16112000,None,-30605000,-73479000,None,None,None,None,24883000,24883000,None,None,None,None,100000,None,-2392000,None,None,58268000
2012-05-31,USD,98058000,None,None,None,None,30752000,26845000,None,-7137000,None,-27049000,-31560000,None,None,None,None,19937000,19937000,None,None,None,None,11941000,None,-702000,39449000,None,89967000
2013-05-31,USD,57538000,None,None,None,None,34173000,26290000,None,-6377000,None,-88338000,-41344000,None,None,None,None,30524000,30524000,None,None,None,None,11200000,None,411000,-72144000,None,50761000
2014-05-31,USD,123920000,None,None,None,None,37203000,59188000,None,8909000,None,-99383000,-35000000,None,None,None,None,24534000,24534000,None,None,None,None,10745000,None,1273000,-10463000,None,109807000
2015-05-31,USD,195330000,None,None,None,None,40708000,82263000,None,-143000,None,-141632000,-59552000,None,None,None,None,48910000,48910000,None,None,None,None,531000,None,2268000,-5854000,None,162281000
2016-05-31,USD,381838000,None,None,None,None,44592000,76125000,None,-8539000,None,-212549000,-148910000,None,None,None,None,120942000,120942000,None,None,None,None,-1760000,None,3071000,20379000,None,318047000
2017-05-31,USD,-49316000,None,None,None,None,49113000,66657000,None,2386000,None,56132000,-18298000,None,None,None,None,41713000,41713000,None,None,None,None,-1715000,None,3427000,-11482000,None,-74427000
2018-05-31,USD,200415000,None,None,None,None,54026000,19671000,None,-7952000,None,-163850000,-5698000,None,None,None,None,41713000,41713000,None,None,None,None,-1128000,None,3467000,30867000,None,126196000
2019-05-31,USD,115085000,None,None,None,None,54650000,67989000,None,-2285000,None,-47817000,-46452000,None,None,None,None,41713000,41713000,None,None,None,None,-985000,None,3619000,20816000,None,55062000
2020-05-31,USD,73609000,None,None,None,None,58103000,124178000,None,-9704000,None,-61365000,-3361000,None,None,None,None,1652000,1652000,None,None,None,None,-910000,None,3617000,8883000,None,18328000
2021-05-31,USD,26136000,None,None,None,None,59477000,95069000,None,-31159000,None,-44191000,-2723000,None,None,None,None,1652000,1652000,None,None,None,None,-871000,None,3778000,-20778000,None,2060000
2022-05-31,USD,126209000,None,None,None,None,68395000,72399000,None,-36152000,None,-117021000,-7456000,None,None,None,None,6117000,6117000,None,None,None,None,-1127000,None,4063000,1732000,None,132441000
2023-05-31,USD,863010000,None,None,None,None,72234000,136569000,None,-21102000,None,-375111000,-254159000,None,None,None,None,252292000,252292000,None,None,None,None,-1643000,None,4205000,233740000,None,756732000
2024-05-31,USD,451398000,None,None,None,None,80241000,147116000,None,28800000,None,-412586000,-93758000,None,None,None,None,91856000,91856000,None,None,None,None,-1688000,None,4358000,None,None,277888000
2025-05-31,USD,1228784000,None,None,None,None,94021000,161255000,None,-12224000,None,-579519000,-386724000,None,None,None,None,330290000,330290000,None,None,None,None,-53953000,None,4527000,None,None,1220048000
