fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,8507100000,2757100000,340700000,340700000,855800000,1309400000,5750000000,2544100000,None,783200000,783200000,1845700000,None,None,None,251200000,None,7157000000,2743000000,876100000,None,None,528200000,4414000000,None,2918000000,None,None,3446200000,1123200000,None,1350100000,-7581000000,8968100000,732900000,1088573542
2006-03-31,USD,8695800000,2949700000,382800000,382800000,949500000,1320800000,5746100000,2519600000,None,782200000,782200000,1878700000,None,None,None,296600000,None,7408000000,2663300000,851400000,None,None,290400000,4744700000,None,3201200000,None,None,3491600000,1296500000,None,1287800000,-7703600000,8976200000,732900000,1074915254
2006-06-30,USD,8961200000,3119600000,430400000,430400000,986700000,1380700000,5841600000,2504500000,None,829900000,829900000,2000100000,None,None,None,321800000,None,7365700000,2660200000,872400000,None,None,457400000,4705500000,None,3156000000,None,None,3613400000,1182800000,None,1595500000,-7694100000,9246300000,732900000,1084313725
2006-09-30,USD,9168500000,3255300000,502900000,502900000,1001600000,1446300000,5913200000,2526400000,None,825200000,825200000,2059300000,None,None,None,304500000,None,7533900000,2860900000,915000000,None,None,451700000,4673000000,None,3126200000,None,None,3577900000,1307400000,None,1634600000,-7880300000,9422900000,732900000,1070476190
2006-12-31,USD,9138000000,3301000000,489500000,489500000,1008400000,1523200000,5837000000,2696100000,None,831100000,831100000,2081800000,None,None,None,279900000,None,7727100000,3469100000,1039700000,None,None,950800000,4258000000,None,2720400000,None,None,3671200000,1317100000,None,1410900000,-8073900000,9643700000,732900000,1079759387
2007-03-31,USD,9357600000,3492700000,474400000,474400000,1095400000,1589700000,5864900000,2715000000,None,820700000,820700000,2099500000,None,None,17400000,333200000,None,7939800000,3818900000,1005200000,None,None,948100000,4120900000,None,2660600000,None,None,3608700000,1561700000,None,1417800000,-8255900000,9775000000,732900000,1077528090
2007-06-30,USD,9680600000,3703900000,546900000,546900000,1135400000,1666500000,5976700000,2774800000,None,813100000,813100000,2141600000,None,None,30400000,355100000,None,7909300000,3455700000,993400000,None,None,767800000,4453600000,None,2973100000,None,None,3740900000,1447500000,None,1771300000,-8429600000,10177900000,732900000,1076315789
2007-09-30,USD,10083700000,3935800000,628400000,628400000,1167000000,1758000000,6147900000,2831700000,None,840800000,840800000,2231200000,None,None,52800000,382400000,None,8061600000,3785100000,1036000000,None,None,858100000,4276500000,None,2750100000,None,None,3608200000,1616100000,None,2022100000,-8547900000,10411800000,732900000,1073246753
2007-12-31,USD,10112000000,3618500000,428700000,428700000,1171000000,1680700000,6493500000,3015200000,None,844800000,844800000,2272000000,None,None,22600000,338100000,None,7715900000,3162700000,1066800000,None,None,294000000,4553200000,None,3221900000,None,None,3515900000,1539200000,None,2396100000,-8903700000,10627500000,732900000,1059425926
2008-03-31,USD,10809400000,4088200000,642100000,642100000,1287000000,1784800000,6721200000,3082300000,None,874400000,874400000,2378500000,None,None,13600000,374300000,None,8557200000,3611200000,1130900000,None,None,299000000,4946000000,None,3407800000,None,None,3706800000,1824500000,None,2252200000,-9093700000,10704700000,732900000,1079000000
2008-06-30,USD,11070300000,4257200000,622800000,622800000,1340500000,1872500000,6813100000,3149300000,None,863100000,863100000,2401500000,None,None,20700000,421400000,None,8403700000,3320300000,1167600000,None,None,254600000,5083400000,None,3475900000,None,None,3730500000,1636500000,None,2666600000,-9285500000,11185600000,732900000,1073200000
2008-09-30,USD,10555200000,4087200000,634700000,634700000,1306000000,1761100000,6468000000,3047200000,None,831400000,831400000,2216700000,None,None,21700000,385400000,None,8087300000,3255800000,1096000000,None,None,233500000,4831500000,None,3284400000,None,None,3517900000,1664100000,None,2467900000,-9475900000,11480900000,732900000,1068600000
2008-12-31,USD,9979300000,3710000000,554900000,554900000,1197100000,1592000000,6269300000,3119500000,None,833500000,833500000,2152000000,None,None,12200000,366200000,None,8057200000,2952000000,1061000000,None,None,198000000,4983000000,None,3585300000,None,None,3783000000,1420600000,None,1922100000,-9696700000,11759500000,732900000,1059800000
2009-03-31,USD,9933300000,3816900000,702200000,702200000,1199400000,1565400000,6116400000,3054700000,None,810500000,810500000,2092500000,None,None,24700000,349900000,None,7994400000,3056100000,959000000,None,None,166500000,4938300000,None,3490500000,None,None,3657000000,1565600000,None,1938900000,-9833400000,11844500000,732900000,1052400000
2009-06-30,USD,10730100000,4217800000,896000000,896000000,1223800000,1727800000,6512300000,3245400000,None,818200000,818200000,2209100000,None,None,32500000,370200000,None,8031100000,3240200000,1038000000,None,None,433900000,4790900000,None,3367900000,None,None,3801800000,1513800000,None,2699000000,-9964100000,12392400000,732900000,1049800000
2009-09-30,USD,11067000000,4204000000,847000000,847000000,1241000000,1780000000,6863000000,3351000000,-3115000000,826000000,826000000,2296000000,None,None,38000000,336000000,None,7956000000,3591000000,1084000000,None,None,380000000,4365000000,None,2883000000,None,None,3263000000,1838000000,1357000000,3111000000,-10143000000,12761000000,733000000,1049200000
2009-12-31,USD,11134000000,3810000000,600000000,600000000,1209000000,1626000000,7324000000,3516000000,None,821000000,821000000,2302000000,None,None,41000000,375000000,None,7877000000,3599000000,1172000000,None,None,361000000,4278000000,None,2821000000,None,None,3182000000,1679000000,1375000000,3257000000,-10478000000,13157000000,733000000,1046800000
2010-03-31,USD,10823000000,3931000000,561000000,561000000,1259000000,1709000000,6892000000,3466000000,-3233000000,808000000,808000000,2257000000,None,None,48000000,402000000,None,8059000000,3818000000,1129000000,None,None,362000000,4241000000,None,2755000000,None,None,3117000000,1917000000,1362000000,2764000000,-10876000000,13032000000,733000000,1038000000
2010-06-30,USD,10586000000,3256000000,555000000,555000000,1246000000,1594000000,7330000000,3410000000,-3221000000,796000000,796000000,2207000000,None,None,54000000,416000000,None,7782000000,6286000000,1105000000,None,None,3373000000,1496000000,None,3331000000,None,None,6704000000,2913000000,1331000000,2804000000,-11302000000,13622000000,733000000,1030769231
2010-09-30,USD,11390000000,4091000000,654000000,654000000,1278000000,1690000000,7299000000,3572000000,-3426000000,818000000,818000000,2336000000,None,None,55000000,469000000,None,8544000000,6505000000,1096000000,None,None,3388000000,2039000000,None,3329000000,None,None,6717000000,3117000000,1927000000,2846000000,-11618000000,13980000000,733000000,1019000000
2010-12-31,USD,11172000000,3730000000,490000000,490000000,1222000000,1610000000,7442000000,3693000000,None,831000000,831000000,2362000000,None,None,74000000,408000000,None,8355000000,3728000000,1165000000,None,None,609000000,4627000000,None,2815000000,None,None,3424000000,1682000000,None,2817000000,-11305000000,14329000000,733000000,999000000
