fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,102897000,None,None,None,None,67884000,63179000,None,-8822000,None,-63306000,-17376000,None,None,None,None,9103000,9103000,None,None,None,None,-860000,None,929000,None,None,23243000
2007-12-31,USD,95498000,None,None,None,None,68326000,48226000,None,3521000,None,-43037000,-104413000,None,None,None,None,9124000,9124000,None,None,None,None,6471000,None,1171000,None,None,19856000
2008-12-31,USD,96629000,None,None,None,None,68562000,47866000,None,-1963000,None,-46912000,-14181000,None,None,None,None,9144000,9144000,None,None,None,None,None,None,1130000,None,None,9091000
2009-12-31,USD,79503000,None,None,None,None,61368000,43339000,None,6375000,None,-39557000,-67583000,None,None,None,None,9162000,9162000,None,None,None,None,122030000,None,2161000,None,None,40543000
2010-12-31,USD,98127000,None,None,None,None,62826000,44751000,None,-7887000,None,-41988000,-28037000,None,None,None,None,9180000,9180000,None,None,None,None,-1316000,None,2223000,None,None,39542000
2011-12-31,USD,109650000,None,None,None,None,62118000,53156000,None,-1288000,None,-50884000,-13880000,None,None,None,None,9203000,9203000,None,None,None,None,0,None,2342000,44886000,None,32023000
2012-12-31,USD,83172000,None,None,None,None,61859000,53271000,None,234000,None,-49570000,-113961000,None,None,None,None,9224000,9224000,None,None,None,None,18579000,None,2623000,-80359000,None,31459000
2013-12-31,USD,96374000,None,None,None,None,58671000,61432000,None,3937000,None,-55296000,-39716000,None,None,None,None,9245000,9245000,None,None,None,None,58702000,None,2919000,1362000,None,32102000
2014-12-31,USD,91903000,None,None,None,None,61130000,84364000,None,-5287000,None,-124251000,29682000,None,None,None,None,9266000,9266000,None,None,None,None,189861000,None,3542000,-2666000,None,36082000
2015-12-31,USD,108290000,None,None,None,None,80896000,163887000,None,-13849000,None,-217343000,155456000,None,None,None,None,9287000,9287000,None,None,None,None,681688000,None,7300000,46403000,None,65044000
2016-12-31,USD,161995000,None,None,None,None,116623000,172586000,None,-8301000,None,-452026000,256383000,None,None,None,None,9307000,9307000,None,None,None,None,706274000,None,7154000,-33648000,None,56663000
2017-12-31,USD,307816000,None,None,None,None,168841000,176601000,None,2527000,None,-458895000,146131000,None,None,None,None,9328000,9328000,None,None,None,None,0,None,7922000,-4948000,None,102847000
2018-12-31,USD,168879000,None,None,None,None,187256000,138235000,None,-26415000,None,-143945000,-28288000,None,None,None,None,9353000,9353000,None,None,None,None,None,None,5606000,-3354000,None,-15156000
2019-12-31,USD,290370000,None,None,None,None,179916000,171374000,None,-15893000,None,-173677000,-120627000,None,None,None,None,9369000,9369000,None,None,None,None,None,None,2045000,-3934000,None,18560000
2020-12-31,USD,494461000,None,None,None,None,179017000,202034000,None,169000,None,-200419000,-248863000,None,None,None,None,9374000,9374000,None,None,None,None,None,None,13217000,None,None,182097000
2021-12-31,USD,521755000,None,None,None,None,180565000,155693000,None,-77094000,None,-161943000,-272291000,None,None,None,None,9374000,9374000,None,None,None,None,None,None,9800000,None,None,189580000
2022-12-31,USD,554506000,None,None,None,None,171590000,329260000,None,-44694000,None,-324985000,-174187000,None,None,None,None,9374000,9374000,None,None,None,None,0,None,10100000,None,None,430158000
2023-12-31,USD,810690000,None,None,None,None,176966000,282304000,None,25613000,None,-295350000,-77719000,None,None,None,None,46868000,46868000,None,None,None,None,0,None,10300000,None,None,408375000
2024-12-31,USD,876357000,None,None,None,None,193791000,371015000,None,-8463000,None,-682201000,306399000,None,None,None,None,185635000,185635000,None,None,None,None,-625654000,None,None,None,None,633125000
2025-12-31,USD,937031000,None,None,None,None,218530000,312315000,None,-6006000,None,-19017000,-1766793000,None,None,None,None,86673000,86673000,None,None,None,None,-2606031000,None,None,None,None,570582000
