fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,7778000,None,None,None,None,4998000,6926000,None,-590000,None,None,-1365000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2162000
2006-03-31,USD,4908000,None,None,None,None,4133000,2503000,None,277000,None,None,-1274000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,366000
2006-06-30,USD,2219000,None,None,None,None,5049000,3093000,None,-2027000,None,-82855000,49179000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3149000
2006-09-30,USD,8212000,None,None,None,None,5682000,2628000,None,883000,None,-2471000,-5321000,None,None,None,None,None,None,None,None,None,None,None,None,-19000,None,None,1801000
2006-12-31,USD,13493000,None,None,None,None,5822000,3576000,None,1734000,None,-3455000,-10908000,None,None,None,None,None,None,None,None,None,None,None,None,19000,None,None,6089000
2007-03-31,USD,14155000,None,None,None,None,5744000,2385000,None,-2582000,None,-2328000,-11837000,None,None,None,None,None,None,None,None,None,None,None,None,-39000,None,None,9580000
2007-06-30,USD,11827000,None,None,None,None,5795000,3357000,None,-3175000,None,-3311000,-7626000,None,None,None,None,None,None,None,None,None,None,None,None,23000,None,None,9482000
2007-09-30,USD,13452000,None,None,None,None,5647000,4466000,None,-3438000,None,-4677000,-9063000,None,None,None,None,None,None,None,None,None,None,300000,None,62000,None,None,12100000
2007-12-31,USD,26273000,None,None,None,None,6028000,5606000,None,1467000,None,-5281000,-10530000,None,None,None,None,None,None,None,None,None,None,None,None,-51000,None,None,14371000
2008-03-31,USD,27741000,None,None,None,None,5792000,4708000,None,-6479000,None,-4074000,-1121000,None,None,None,None,None,None,None,None,None,None,100000,None,-33000,None,None,21461000
2008-06-30,USD,14165000,None,None,None,None,5845000,8756000,None,-4147000,None,-8673000,223000,None,None,None,None,None,None,None,None,None,None,200000,None,21000,None,None,24079000
2008-09-30,USD,24708000,None,None,None,None,5799000,7568000,None,1943000,None,-24844000,-1246000,None,None,None,None,None,None,None,None,None,None,None,None,-62000,None,None,22994000
2008-12-31,USD,25336000,None,None,None,None,6997000,16583000,None,8285000,None,-14799000,-2937000,None,None,None,None,None,None,None,None,None,None,None,None,-67000,None,None,-13972000
