fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,313140000,243324000,19028000,19028000,49261000,18762000,69816000,46909000,None,None,None,None,None,None,151648000,7508000,None,45826000,15507000,4301000,None,None,None,30319000,None,None,None,None,None,11206000,None,267314000,None,272989000,16075000,13875017
2006-03-31,USD,317630000,248294000,13212000,13212000,48885000,16188000,69336000,46868000,None,None,None,None,None,None,165867000,4142000,None,48113000,17308000,5229000,None,None,None,30805000,None,None,None,None,None,12079000,None,269517000,None,274015000,16075000,13910523
2006-06-30,USD,317237000,246808000,5333000,5333000,45008000,13250000,70429000,46385000,None,None,None,None,None,None,176336000,6881000,None,48014000,16578000,4197000,None,None,None,31436000,None,None,None,None,None,12381000,None,269223000,None,271733000,16075000,13910523
2006-09-30,USD,321352000,249524000,6281000,6281000,48528000,14355000,71828000,47849000,None,None,None,None,None,None,174230000,6130000,None,51509000,19461000,5977000,None,None,None,32048000,None,None,None,None,None,13484000,None,269843000,None,271203000,16075000,14020523
2006-12-31,USD,324444000,252652000,5565000,5565000,46434000,14958000,71792000,47872000,None,None,None,None,None,None,178033000,7662000,None,52012000,18807000,5185000,None,None,None,33205000,None,None,None,None,None,13622000,None,272432000,None,272623000,16075000,14075523
2007-03-31,USD,331461000,257657000,8347000,8347000,44577000,17021000,73804000,49942000,None,None,None,None,None,None,179861000,7851000,None,57466000,23141000,8627000,None,None,None,34325000,None,None,None,None,None,14514000,None,273995000,None,272602000,16075000,14138358
2007-06-30,USD,337609000,239362000,12586000,12586000,44996000,17651000,98247000,52667000,None,16959000,16959000,16959000,None,None,158050000,6079000,None,71393000,27096000,8702000,None,None,9390000,44297000,None,None,None,None,None,18394000,None,266216000,None,272406000,16075000,14138358
2007-09-30,USD,336932000,232103000,31683000,31683000,50214000,18217000,104829000,55517000,None,16067000,16067000,16067000,None,None,125655000,6334000,None,72173000,27076000,9344000,None,None,None,45097000,None,None,None,None,None,17732000,None,264759000,None,269720000,16075000,14197414
2007-12-31,USD,337466000,231031000,9870000,9870000,53551000,20711000,106435000,55394000,None,15420000,15420000,15420000,None,None,139177000,7722000,None,73139000,27019000,9730000,None,None,None,46120000,None,None,None,None,None,17289000,None,264327000,None,267890000,16075000,14255374
2008-03-31,USD,327740000,227823000,27927000,27927000,59141000,19321000,99917000,58664000,None,15159000,15159000,15159000,None,None,114211000,7223000,None,49635000,30675000,10401000,None,None,None,18960000,None,None,None,None,None,20274000,None,278105000,None,263578000,16075000,14455974
2008-06-30,USD,312984000,217750000,9973000,9973000,54253000,22735000,95234000,69065000,None,17568000,17568000,17568000,None,None,113286000,17503000,None,46529000,28909000,12169000,None,None,None,17620000,None,None,None,None,None,16740000,None,266455000,None,257693000,16075000,14313274
2008-09-30,USD,306998000,196810000,48055000,48055000,57371000,23732000,110188000,79058000,None,16848000,16848000,16848000,None,None,50383000,17269000,None,47103000,29449000,11120000,None,None,None,17654000,None,None,None,None,None,18329000,None,259895000,None,249859000,16075000,14429074
2008-12-31,USD,305131000,192607000,40826000,40826000,55872000,28078000,112524000,85162000,None,16346000,16346000,16346000,None,None,43972000,23859000,None,45738000,25919000,8362000,None,None,None,19819000,None,None,None,None,2300000,17557000,None,259393000,None,247951000,16075000,14480971
2009-03-31,USD,348665000,195335000,24985000,24985000,72945000,42493000,153330000,107124000,None,28839000,28839000,42493000,None,None,39036000,15876000,None,91082000,70640000,23161000,None,None,26219000,20442000,None,None,None,None,26219000,21260000,None,257583000,None,244808000,16075000,14532868
2009-06-30,USD,330017000,186546000,20038000,20038000,68961000,49907000,143471000,112063000,None,28758000,28758000,49907000,None,None,42926000,4714000,None,133528000,76457000,34627000,None,None,17090000,57071000,None,344000,None,None,17090000,24740000,None,196489000,None,217792000,16078000,14532868
2009-09-30,USD,327347000,181564000,1396000,1396000,79274000,46886000,145783000,115202000,None,27944000,27944000,46886000,None,None,50710000,3298000,None,128942000,69746000,33044000,None,None,8915000,59196000,None,205000,None,None,9120000,27787000,None,198405000,None,218285000,16078000,14748564
2009-12-31,USD,343584000,198243000,1791000,1791000,79934000,57305000,145341000,115634000,None,27089000,27089000,57305000,None,None,52674000,6539000,None,144142000,82767000,34662000,None,None,23117000,61375000,None,102000,None,None,23219000,24988000,None,199442000,None,217992000,16167000,14723380
2010-03-31,USD,349103000,205704000,4042000,4042000,83919000,50704000,143399000,114971000,None,25822000,25822000,50704000,None,None,54788000,5613000,None,156968000,93627000,32021000,None,None,34282000,63341000,None,24000,None,None,34306000,27324000,None,192135000,None,209726000,16162000,14889513
2010-06-30,USD,339121000,189956000,4149000,4149000,83712000,48436000,149165000,120372000,None,25242000,25242000,48436000,None,None,50942000,2717000,None,173526000,98546000,34053000,None,None,37887000,74980000,None,3137000,None,None,37887000,26606000,None,165595000,None,186900000,16164000,14889513
2010-09-30,USD,322739000,172370000,3999000,3999000,79567000,42839000,150369000,122601000,None,42839000,42839000,None,None,None,44059000,1906000,None,167771000,87293000,27154000,None,None,32640000,80478000,None,5876000,None,None,32640000,27499000,None,154968000,None,175195000,16157000,14975216
2010-12-31,USD,322089000,174009000,3619000,3619000,89241000,42881000,148080000,121269000,None,42881000,42881000,None,None,None,34492000,3776000,None,175822000,90990000,34186000,None,None,31732000,84832000,None,7364000,None,None,39096000,25072000,None,146267000,None,165313000,16210000,15078026
2011-03-31,USD,311942000,166952000,3685000,3685000,88001000,43961000,144990000,119026000,None,43961000,43961000,None,None,None,26899000,4406000,None,177882000,92912000,34695000,None,None,31231000,84970000,None,7459000,None,None,38690000,26986000,None,134060000,None,152120000,16207000,15101746
2011-06-30,USD,290053000,157410000,6081000,6081000,79759000,43949000,132643000,114107000,None,43949000,43949000,5310000,None,None,24874000,2747000,None,161938000,103462000,42473000,None,None,32932000,58476000,None,7066000,None,None,32932000,28057000,None,128115000,None,129784000,16186000,15101746
2011-09-30,USD,277949000,151117000,4552000,4552000,83408000,44715000,126832000,108711000,None,44715000,44715000,5300000,None,None,16193000,2249000,None,156628000,101283000,38414000,None,None,34986000,55345000,6664000,6664000,None,None,41650000,27883000,46866000,121321000,0,122200000,16187000,15182147
2011-12-31,USD,271826000,149318000,4121000,4121000,78185000,44935000,122508000,104798000,None,44935000,44935000,5300000,None,None,18881000,3196000,None,153929000,95389000,39818000,None,None,27645000,58540000,6254000,6254000,None,None,33899000,10183000,50471000,117897000,0,118089000,16262000,15247215
