fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,-36341000,None,None,None,None,2492000,9527000,None,3315000,None,-13194000,48599000,None,None,None,None,None,None,None,None,None,None,40000,None,None,None,None,-5913000
2006-06-30,USD,28597000,None,None,None,None,2437000,2225000,None,41783000,None,-14016000,-14658000,None,None,None,None,None,None,None,None,None,None,10000,None,258000,None,None,-7336000
2006-09-30,USD,18188000,None,None,None,None,3042000,1616000,None,22028000,None,-652000,-18121000,None,None,None,None,None,None,None,None,None,None,10000,None,117000,None,None,-4821000
2006-12-31,USD,4827000,None,None,None,None,3636000,836000,None,-23422000,None,-10782000,8806000,None,None,None,None,None,None,None,None,None,None,30000,None,-1000,None,None,1236000
2007-03-31,USD,-20733000,None,None,None,None,3292000,662000,None,-2453000,None,-4139000,22561000,None,None,None,None,None,None,None,None,None,None,40000,None,-60000,None,None,-6182000
2007-06-30,USD,20192000,None,None,None,None,3614000,33246000,None,34078000,None,-3209000,-16811000,None,None,None,None,None,None,None,None,None,None,10000,None,355000,None,None,-3909000
2007-09-30,USD,13745000,None,None,None,None,3816000,3335000,None,12163000,None,-3499000,-4319000,None,None,None,None,None,None,None,None,None,None,30000,None,119000,None,None,-3545000
2007-12-31,USD,21595000,None,None,None,None,4219000,5247000,None,-24653000,None,-5181000,-4573000,None,None,None,None,None,None,None,None,None,None,40000,None,-86000,None,None,3673000
2008-03-31,USD,-23699000,None,None,None,None,3821000,2315000,None,4988000,None,-10266000,15826000,None,None,None,None,None,None,None,None,None,None,None,None,-5000,None,None,-8750000
2008-06-30,USD,17976000,None,None,None,None,3886000,672000,None,14629000,None,7284000,-26532000,None,None,None,None,None,None,None,None,None,None,None,None,369000,None,None,2665000
2008-09-30,USD,5282000,None,None,None,None,3943000,900000,None,4050000,None,-1009000,-4315000,None,None,None,None,None,None,None,None,None,None,None,None,55000,None,None,-384000
2008-12-31,USD,15606000,None,None,None,None,4147000,1608000,None,-5314000,None,-1607000,-8094000,None,None,None,None,None,None,None,None,None,None,40000,None,None,None,None,5839000
2009-03-31,USD,-2933000,None,None,None,None,3638000,1461000,None,2594000,None,-1256000,-1299000,None,None,None,None,None,None,None,None,None,None,None,None,164000,None,None,-2489000
2009-06-30,USD,25459000,None,None,None,None,4194000,1943000,None,19413000,None,-2148000,-23539000,None,None,None,None,None,None,None,None,None,None,None,None,102000,None,None,3951000
2009-09-30,USD,24032000,None,None,None,None,3778000,2329000,None,6825000,None,-2329000,-21555000,None,None,None,None,None,None,None,None,None,None,90000,None,87000,None,None,4766000
2009-12-31,USD,12076000,None,None,None,None,4055000,2361000,None,-22231000,None,-2358000,-6228000,None,None,None,None,None,None,None,None,None,None,30000,None,90000,None,None,8820000
2010-03-31,USD,-19454000,None,None,None,None,3875000,1542000,None,-2879000,None,-1404000,17111000,None,None,None,None,None,None,None,None,None,None,40000,None,147000,None,None,-1900000
2010-06-30,USD,25403000,None,None,None,None,4117000,2384000,None,20859000,None,-35149000,10429000,None,None,None,None,None,None,None,None,None,None,None,None,167000,None,None,2739000
2010-09-30,USD,5732000,None,None,None,None,4347000,1489000,None,-1418000,None,-1604000,-4691000,None,None,None,None,None,None,None,None,None,None,30000,None,152000,None,None,1079000
2010-12-31,USD,-3602000,None,None,None,None,4329000,1638000,None,-45013000,None,-1745000,8174000,None,None,None,None,None,None,None,None,None,None,None,None,178000,None,None,5172000
2011-03-31,USD,-33539000,None,None,None,None,4100000,719000,None,2746000,None,-570000,31206000,None,None,None,None,None,None,None,None,None,None,50000,None,194000,None,None,-5625000
2011-06-30,USD,38645000,None,None,None,None,4192000,1349000,None,29110000,None,-1258000,-36864000,None,None,None,None,None,None,None,None,None,None,None,None,206000,None,None,2209000
2011-09-30,USD,12298000,None,None,None,None,4354000,1940000,-10000000,15488000,None,-1849000,-10061000,None,None,None,None,0,0,None,None,None,None,10000,None,205000,388000,None,2442000
2011-12-31,USD,17327000,None,None,None,None,4308000,2387000,-1707000,-42488000,None,-2395000,-13086000,None,None,None,None,0,0,None,None,None,None,30000,None,197000,1846000,None,9354000
2012-03-31,USD,-41852000,None,None,None,None,4297000,1705000,9690000,-20930000,None,-1453000,42425000,None,None,None,None,0,0,None,None,None,None,90000,None,255000,-880000,None,1440000
2012-06-30,USD,28132000,None,None,None,None,4158000,1499000,-8819000,30484000,None,-1489000,-26859000,None,None,None,None,0,0,None,None,None,None,320000,None,163000,-216000,None,3886000
2012-09-30,USD,10284000,None,None,None,None,4171000,1586000,-14060000,11767000,None,-784000,-9488000,None,None,None,None,0,0,None,None,None,None,20000,None,184000,12000,None,7534000
2012-12-31,USD,46295000,None,None,None,None,4226000,3621000,17928000,-33425000,None,-3513000,-29977000,None,None,None,None,0,0,None,None,None,None,290000,None,266000,12805000,None,8301000
2013-03-31,USD,-42578000,None,None,None,None,4210000,1199000,-5356000,1288000,None,-1267000,30075000,None,None,None,None,10889000,10889000,None,None,None,None,170000,None,232000,-13770000,None,342000
2013-06-30,USD,21752000,None,None,None,None,4110000,801000,1846000,8048000,None,-815000,-21609000,None,None,None,None,21778000,21778000,None,None,None,None,740000,None,223000,-672000,None,5583000
2013-09-30,USD,7402000,None,None,None,None,4001000,3062000,-989000,640000,None,-3117000,-3924000,None,None,None,None,0,0,None,None,None,None,30000,None,216000,361000,None,6775000
2013-12-31,USD,22234000,None,None,None,None,4032000,3095000,-6393000,-29522000,None,4745000,-18350000,None,None,None,None,16599000,16599000,None,None,None,None,340000,None,345000,8629000,None,9224000
2014-03-31,USD,-40530000,None,None,None,None,4103000,1995000,4445000,-10479000,None,-1969000,33872000,None,None,None,None,16599000,16599000,None,None,None,None,150000,None,272000,-8627000,None,3681000
