fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2005-07-31,2005-07-31,-0.084,None,0,None,pre-market
2005-10-31,2005-10-31,0.13,None,0,None,pre-market
2006-01-31,2006-01-31,0.0929,None,0,None,pre-market
2006-04-30,2006-04-30,-0.0514,None,0,None,pre-market
2006-07-31,2006-07-31,0.0325,None,0,None,pre-market
2006-10-31,2006-10-31,0.0516,None,0,None,pre-market
2007-01-31,2007-01-31,0.0553,None,0,None,pre-market
2007-04-30,2007-04-30,0.0613,None,0,None,pre-market
2007-07-31,2007-07-31,0.067,None,0,None,pre-market
2007-10-31,2007-10-31,-0.0146,None,0,None,pre-market
2008-01-31,2008-03-14,0.0327,None,0,None,pre-market
2008-04-30,2008-06-13,-0.3719,None,0,None,pre-market
2008-07-31,2008-09-11,0.1009,None,0,None,pre-market
2008-10-31,2009-01-29,-0.23,None,0,None,pre-market
2009-01-31,2009-03-11,0.072,None,0,None,pre-market
2009-04-30,2009-06-02,0.0736,None,0,None,pre-market
2009-07-31,2009-09-10,0.147,None,0,None,pre-market
2009-10-31,2009-12-30,0.3122,None,0,None,pre-market
2010-01-31,2010-03-17,0.1026,None,0,None,pre-market
2010-04-30,2010-06-11,0.1471,None,0,None,pre-market
2010-07-31,2010-09-14,0.0772,None,0,None,pre-market
2010-10-31,2010-12-29,0.111,None,0,None,pre-market
2011-01-31,2011-03-16,0.1893,None,0,None,pre-market
2011-04-30,2011-06-09,0.216,None,0,None,pre-market
2011-07-31,2011-09-13,0.0306,None,0,None,pre-market
2011-10-31,2012-01-26,-0.3,0.23,-0.53,-230.4348,pre-market
2012-01-31,2012-03-09,0.24,0.24,0,0,pre-market
2012-04-30,2012-06-13,-0.06,0.23,-0.29,-126.087,pre-market
2012-07-31,2012-09-12,0.19,0.01,0.18,1800,pre-market
2012-10-31,2013-01-28,0.007,None,0,None,pre-market
2013-01-31,2013-03-15,0.14,0.23,-0.09,-39.1304,pre-market
2013-04-30,2013-06-13,-0.06,0.14,-0.2,-142.8571,pre-market
2013-07-31,2013-09-11,-0.33,0.25,-0.58,-232,pre-market
2013-10-31,2014-01-24,0.02,-0.05,0.07,140,pre-market
2014-01-31,2014-03-14,0.2066,None,0,None,pre-market
2014-04-30,2014-06-10,0.19,None,0,None,pre-market
2014-07-31,2014-09-10,0.1148,None,0,None,pre-market
2014-10-31,2015-01-23,0.2535,None,0,None,pre-market
2015-01-31,2015-03-12,0.0116,None,0,None,pre-market
2015-04-30,2015-06-08,-0.3302,None,0,None,pre-market
2015-07-31,2015-09-08,0.0224,None,0,None,pre-market
2015-10-31,2016-01-26,0.0695,None,0,None,pre-market
2016-01-31,2016-03-11,0.0713,None,0,None,post-market
2016-04-30,2016-06-03,0.1355,None,0,None,pre-market
2016-07-31,2016-09-14,0.1247,None,0,None,pre-market
2016-10-31,2017-01-27,0.032,None,0,None,pre-market
2017-01-31,2017-03-17,0.0641,None,0,None,pre-market
2017-04-30,2017-06-13,0.0003,None,0,None,pre-market
2017-07-31,2017-09-13,0.01,None,0,None,pre-market
2017-10-31,2018-01-29,0.01,0.02,-0.01,-50,post-market
2018-01-31,2018-03-07,0.07,0.06,0.01,16.6667,post-market
2018-04-30,2018-06-07,0.09,0.05,0.04,80,pre-market
2018-07-31,2018-09-14,0.0028,0.07,-0.0672,-96,pre-market
2018-10-31,2019-01-29,0.03,0.01,0.02,200,pre-market
2019-01-31,2019-03-13,0.06,0.12,-0.06,-50,pre-market
2019-04-30,2019-06-19,-0.04,0.06,-0.1,-166.6667,pre-market
2019-07-31,2019-09-13,0.02,-0.04,0.06,150,pre-market
2019-10-31,2020-01-29,-0.04,0.07,-0.11,-157.1429,pre-market
2020-01-31,2020-03-16,-0.11,0.06,-0.17,-283.3333,post-market
2020-04-30,2020-06-15,0.09,0.02,0.07,350,pre-market
2020-07-31,2020-09-11,0.07,0.08,-0.01,-12.5,post-market
2020-10-31,2021-01-31,0.1186,0,0.1186,None,pre-market
2021-01-31,2021-03-17,-0.07,0.01,-0.08,-800,pre-market
2021-04-30,2021-06-14,0.06,None,0,None,pre-market
2021-07-31,2021-09-13,-0.02,0.07,-0.09,-128.5714,post-market
2021-10-31,2022-01-31,0.06,None,0,None,pre-market
2022-01-31,2022-03-17,0.05,None,0,None,post-market
2022-04-30,2022-06-14,-0.06,None,0,None,post-market
2022-07-31,2022-09-14,0.02,None,0,None,post-market
2022-10-31,2023-01-30,-0.66,0,-0.66,None,pre-market
2023-01-31,2023-04-28,-0.66,None,0,None,post-market
2023-04-30,2023-06-15,-0.063,None,0,None,post-market
2023-07-31,2023-09-14,-0.0196,None,0,None,post-market
2023-10-31,2024-01-03,0.0295,0,0.0295,None,pre-market
2024-01-31,2024-02-09,0.0615,None,0,None,post-market
2024-04-30,2024-06-17,-0.0038,None,0,None,post-market
2024-07-31,2024-09-16,0.1098,None,0,None,pre-market
2024-10-31,2025-01-01,0.2211,None,0,None,pre-market
2025-01-31,2025-03-17,0.202,None,0,None,post-market
2025-04-30,2025-06-13,0.11,None,0,None,pre-market
2025-07-31,2025-09-12,-0.21,None,0,None,pre-market
2025-10-31,2026-01-29,0.1422,None,0,None,pre-market
2026-01-31,2026-03-25,0.2887,0,0.2887,None,pre-market
