fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-01-31,USD,143000000,None,None,None,None,296000000,295000000,None,300000000,None,-307000000,137000000,None,None,None,None,None,None,None,None,None,None,-50000000,None,None,None,None,282000000
2006-04-30,USD,984000000,None,None,None,None,388000000,420000000,None,32000000,None,-370000000,-165000000,None,None,None,None,47000000,47000000,None,None,None,None,-134000000,None,61000000,None,None,306000000
2006-07-31,USD,862000000,None,None,None,None,290000000,343000000,None,3000000,None,-332000000,-386000000,None,None,None,None,47000000,47000000,None,None,None,None,-161000000,None,-7000000,None,None,209000000
2006-10-31,USD,-15000000,None,None,None,None,295000000,415000000,None,-570000000,None,-390000000,-257000000,None,None,None,None,47000000,47000000,None,None,None,None,-232000000,None,76000000,None,None,215000000
2007-01-31,USD,520000000,None,None,None,None,299000000,505000000,None,362000000,None,-495000000,23000000,None,None,None,None,46000000,46000000,None,None,None,None,-106000000,None,-110000000,None,None,385000000
2007-04-30,USD,1109000000,None,None,None,None,404000000,608000000,None,-109000000,None,-601000000,-509000000,None,None,None,None,46000000,46000000,None,None,None,None,-132000000,None,8000000,None,None,337000000
2007-07-31,USD,1046000000,None,None,None,None,311000000,467000000,None,98000000,None,-569000000,-501000000,None,None,None,None,53000000,53000000,None,None,None,None,-578000000,None,75000000,None,None,267000000
2007-10-31,USD,122000000,None,None,None,None,315000000,553000000,None,-648000000,None,-544000000,424000000,None,None,None,None,52000000,52000000,None,None,None,None,-442000000,None,-50000000,None,None,254000000
2008-01-31,USD,304000000,None,None,None,None,326000000,498000000,None,276000000,None,-504000000,276000000,None,None,None,None,51000000,51000000,None,None,None,None,-269000000,None,71000000,None,None,323000000
2008-04-30,USD,1342000000,None,None,None,None,432000000,577000000,None,-52000000,None,-633000000,-709000000,None,None,None,None,50000000,50000000,None,None,None,None,-381000000,None,25000000,None,None,386000000
2008-07-31,USD,784000000,None,None,None,None,327000000,476000000,None,92000000,None,-451000000,-370000000,None,None,None,None,59000000,59000000,None,None,None,None,-158000000,None,48000000,None,None,277000000
2008-10-31,USD,296000000,None,None,None,None,335000000,560000000,None,-707000000,None,-568000000,347000000,None,None,None,None,59000000,59000000,None,None,None,None,-87000000,None,69000000,None,None,237000000
2009-01-31,USD,474000000,None,None,None,None,348000000,536000000,None,519000000,None,-527000000,-37000000,None,None,None,None,59000000,59000000,None,None,None,None,-11000000,None,-64000000,None,None,349000000
