fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1998-01-31,1998-03-31,0.0972,None,0,None,pre-market
1998-04-30,1998-06-30,0.0889,None,0,None,pre-market
1998-07-31,1998-09-30,0.111,None,0,None,pre-market
1998-10-31,1998-12-31,0.1421,None,0,None,pre-market
1999-04-30,1999-05-31,0.1199,None,0,None,pre-market
1999-07-31,1999-08-31,0.0267,None,0,None,pre-market
1999-10-31,1999-10-31,0.0753,None,0,None,pre-market
2000-01-31,2000-01-31,0.144,None,0,None,pre-market
2000-04-30,2000-05-31,0.0624,None,0,None,pre-market
2000-07-31,2000-08-31,0.1275,None,0,None,pre-market
2000-10-31,2000-10-31,0.1189,None,0,None,pre-market
2001-01-31,2001-01-31,0.2175,None,0,None,pre-market
2001-04-30,2001-05-31,0.1825,None,0,None,pre-market
2001-07-31,2001-08-31,0.1548,None,0,None,pre-market
2001-10-31,2001-11-30,0.081,None,0,None,pre-market
2002-01-31,2002-03-12,0.2121,None,0,None,pre-market
2002-04-30,2002-05-31,0.2237,None,0,None,pre-market
2002-07-31,2002-08-31,0.165,None,0,None,pre-market
2002-10-31,2002-12-10,0.1637,None,0,None,pre-market
2003-01-31,2003-03-11,0.2477,None,0,None,pre-market
2003-04-30,2003-05-31,0.2313,None,0,None,pre-market
2003-07-31,2003-08-31,0.1257,None,0,None,pre-market
2003-10-31,2003-12-09,0.0729,None,0,None,pre-market
2004-01-31,2004-03-09,-0.2271,None,0,None,pre-market
2004-04-30,2004-05-31,0.1756,None,0,None,pre-market
2004-07-31,2004-08-31,0.0954,None,0,None,pre-market
2004-10-31,2004-12-06,0.0964,None,0,None,pre-market
2005-01-31,2005-04-15,-0.4628,None,0,None,pre-market
2005-04-30,2005-05-31,0.2008,None,0,None,pre-market
2005-07-31,2005-08-31,0.1342,None,0,None,pre-market
2005-10-31,2005-12-06,0.1264,None,0,None,pre-market
2006-01-31,2006-03-07,0.1932,None,0,None,pre-market
2006-04-30,2006-05-31,0.2099,None,0,None,pre-market
2006-07-31,2006-08-31,0.1441,None,0,None,pre-market
2006-10-31,2006-12-05,0.1493,None,0,None,pre-market
2007-01-31,2007-03-13,0.2692,None,0,None,pre-market
2007-04-30,2007-05-31,0.2357,None,0,None,pre-market
2007-07-31,2007-08-31,0.1883,None,0,None,pre-market
2007-10-31,2007-11-30,0.1854,None,0,None,pre-market
2008-01-31,2008-03-11,0.2389,None,0,None,pre-market
2008-04-30,2008-05-31,0.2907,None,0,None,pre-market
2008-07-31,2008-08-31,0.2102,None,0,None,pre-market
2008-10-31,2008-12-09,0.1806,None,0,None,pre-market
2009-01-31,2009-03-10,0.2664,None,0,None,pre-market
2009-04-30,2009-05-31,0.3318,None,0,None,pre-market
2009-07-31,2009-08-31,0.1943,None,0,None,pre-market
2009-10-31,2009-12-08,-0.6772,None,0,None,pre-market
2010-01-31,2010-03-09,0.1968,None,0,None,pre-market
2010-04-30,2010-05-31,0.2876,None,0,None,pre-market
2010-07-31,2010-08-31,0.2031,None,0,None,pre-market
2010-10-31,2010-12-02,0.158,None,0,None,pre-market
2011-01-31,2011-03-03,0.2195,None,0,None,pre-market
2011-04-30,2011-05-31,0.3505,None,0,None,pre-market
2011-07-31,2011-08-31,0.2325,None,0,None,pre-market
2011-10-31,2011-12-01,0.1655,None,0,None,pre-market
2012-01-31,2012-03-01,-0.2717,None,0,None,pre-market
2012-04-30,2012-05-31,0.39,None,0,None,pre-market
2012-07-31,2012-08-31,0.256,None,0,None,pre-market
2012-10-31,2012-11-29,0.3008,None,0,None,pre-market
2013-01-31,2013-03-07,0.4459,None,0,None,pre-market
2013-04-30,2013-05-31,0.4587,None,0,None,pre-market
2013-07-31,2013-08-31,0.3023,None,0,None,pre-market
2013-10-31,2013-12-05,0.285,None,0,None,pre-market
2014-01-31,2014-03-06,0.4052,None,0,None,pre-market
2014-04-30,2014-05-31,0.4901,None,0,None,pre-market
2014-07-31,2014-08-31,0.3493,None,0,None,pre-market
2014-10-31,2014-12-04,0.3638,None,0,None,pre-market
