fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2008-10-31,USD,140990000,7693000,90000,90000,1146000,5337000,133297000,109002000,None,1737000,1737000,None,None,None,None,1120000,None,86204000,7345000,2311000,None,None,382000,78859000,None,65200000,None,None,65582000,4652000,None,54786000,None,20226000,11000,11160000
2009-10-31,USD,141868000,7618000,603000,603000,858000,5254000,134250000,106942000,None,1724000,1724000,None,None,None,None,903000,None,90107000,5189000,1669000,None,None,465000,84918000,None,69251000,None,None,69716000,3055000,None,51761000,None,16386000,11000,11242000
2010-10-31,USD,159691000,7393000,258000,258000,1244000,4664000,152298000,121695000,None,1711000,1711000,None,None,None,None,2471000,None,107595000,6338000,2031000,None,None,626000,101257000,None,85312000,None,None,85938000,3681000,None,52096000,None,15044000,112000,11213000
2011-10-31,USD,159028000,6452000,21000,21000,926000,4120000,152576000,49187000,None,2829000,2829000,0,None,26084000,0,1385000,None,106976000,6789000,2650000,None,None,736000,100187000,None,82135000,None,None,82871000,3403000,7892000,52052000,0,14980000,112000,11208000
2012-10-31,USD,172622000,9387000,11000,11000,2254000,5006000,163235000,53380000,None,2973000,2973000,0,None,None,480000,2116000,None,119920000,11604000,5755000,None,None,760000,108316000,None,88875000,None,None,89635000,4829000,8953000,52702000,0,16398000,112000,11202000
2013-10-31,USD,209914000,13597000,82000,82000,4124000,6419000,196317000,169629000,None,2012000,2012000,680000,None,None,3430000,7096000,None,99261000,13872000,4908000,None,None,569000,85389000,None,61563000,None,None,62132000,6699000,None,110653000,0,19098000,140000,12775000
2014-10-31,USD,247638000,16011000,92000,92000,2879000,8379000,231627000,105433000,None,2066000,2066000,680000,None,None,138000,7540000,None,116978000,21133000,11702000,None,None,583000,95845000,None,67771000,1392000,None,68354000,8348000,None,130660000,0,23308000,140000,14055000
2015-10-31,USD,269526000,13762000,39000,39000,3916000,7420000,255764000,128951000,None,1982000,1982000,680000,None,22144000,4031000,6303000,None,135973000,19672000,11911000,None,None,589000,116301000,None,89235000,1356000,None,89824000,6451000,7641000,133553000,0,27216000,141000,14119000
2016-10-31,USD,305448000,18499000,38000,38000,3844000,12108000,286949000,177096000,None,1877000,1877000,680000,None,23999000,4327000,6353000,None,166719000,23751000,13612000,None,None,2508000,142968000,None,88164000,2508000,None,90672000,7111000,29476000,138729000,0,31812000,142000,14168000
2017-10-31,USD,339031000,23120000,492000,492000,4124000,11523000,315911000,188225000,None,2888000,2888000,876000,None,36171000,4686000,11105000,None,191428000,23614000,14540000,None,None,3030000,167814000,None,102083000,3030000,None,105113000,5445000,34316000,147016000,0,34692000,144000,14315000
2018-10-31,USD,421339000,31044000,609000,609000,7731000,17291000,390295000,225681000,None,6225000,6225000,1431000,None,42948000,5026000,18332000,None,191389000,27074000,17437000,None,None,3127000,164315000,None,76966000,3127000,None,80093000,5725000,3647000,229376000,0,50354000,176000,16209000
2019-10-31,USD,399867000,35070000,616000,616000,11591000,19259000,364797000,248114000,None,12407000,12407000,1839000,None,75569000,None,19554000,None,167369000,31664000,20373000,None,None,3152000,135705000,None,105892000,3023000,None,108915000,7487000,5467000,217076000,None,53089000,178000,17580000
2020-10-31,USD,389600000,42520000,501000,501000,10653000,16261000,347080000,242649000,None,11309000,11309000,1535000,None,61214000,61214000,27838000,None,183030000,31461000,15310000,None,None,4236000,151569000,959000,122571000,3277000,None,125848000,11232000,6568000,192829000,None,30797000,179000,17666000
2021-10-31,USD,392276000,42089000,439000,439000,10021000,17483000,350187000,242420000,None,8329000,8329000,1527000,None,64072000,None,14146000,None,193031000,35324000,19334000,None,None,3209000,157707000,604000,130353000,2472000,None,132825000,12105000,4501000,187280000,None,21552000,179000,17555000
2022-10-31,USD,368518000,37535000,857000,857000,12789000,20014000,330983000,222628000,None,7317000,7317000,1506000,None,72855000,16971000,8238000,None,176654000,39274000,21403000,None,None,3892000,137380000,7088000,104076000,1732000,None,105808000,13315000,9807000,180255000,None,15500000,177000,17513000
2023-10-31,USD,301210000,30225000,3631000,3631000,4792000,17710000,270985000,None,None,6657000,6657000,1512000,None,78816000,7679000,4092000,None,100713000,33358000,19521000,None,None,2531000,67355000,4466000,40628000,381000,None,45475000,10758000,4555000,189288000,None,19017000,179000,17603000
2024-10-31,USD,298815000,25846000,2996000,2996000,None,17436000,272969000,None,None,5221000,5221000,1504000,None,93997000,None,5414000,None,96314000,34804000,16220000,None,None,2854000,61510000,3113000,40031000,559000,None,43703000,14454000,577000,191952000,None,20826000,180000,17715000
2025-10-31,USD,318220000,40482000,1509000,1509000,None,20347000,277738000,None,None,2621000,2621000,1506000,None,79490000,None,18626000,None,127383000,30091000,14781000,None,None,902000,97292000,871000,72450000,31000,None,74497000,13926000,2381000,171522000,None,-1070000,180000,17834000
