fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2013-05-31,USD,302600000,None,None,None,None,77900000,112500000,None,-42700000,None,-106400000,-203600000,None,None,None,None,None,None,None,None,None,None,None,None,5500000,None,None,298300000
2014-05-31,USD,386400000,None,None,None,None,79200000,194600000,None,24500000,None,-173200000,-199600000,None,None,None,None,27400000,27400000,None,None,None,None,None,None,4800000,None,None,270300000
2015-05-31,USD,353700000,None,None,None,None,96400000,114700000,None,-43800000,None,-171200000,-177700000,None,None,None,None,27400000,27400000,None,None,None,None,None,None,6900000,None,None,277600000
2016-05-31,USD,382300000,None,None,None,None,95900000,152300000,None,-10700000,None,-144300000,-232800000,None,None,None,None,27400000,27400000,None,None,None,None,None,None,3200000,None,None,294600000
2017-05-31,USD,446900000,None,None,None,None,109100000,287400000,1200000,-26100000,None,-285300000,-142000000,None,None,None,None,850900000,850900000,None,None,None,None,-200000,None,5700000,20700000,1100000,340200000
2018-05-31,USD,481200000,None,None,None,None,143300000,306800000,-40400000,-23600000,None,-306800000,-178900000,None,None,None,None,110200000,110200000,None,None,None,None,-2700000,None,13500000,-1500000,3000000,433700000
2019-05-31,USD,680900000,None,None,None,None,162400000,334200000,-25100000,-15800000,None,-423000000,-299600000,None,None,None,None,113300000,113300000,None,None,None,None,-36400000,None,18800000,-41700000,None,487200000
2020-05-31,USD,680900000,None,None,None,None,162400000,334200000,1100000,-15800000,None,-346000000,-299600000,None,None,None,None,113300000,113300000,None,None,None,None,-36400000,None,18800000,1353000000,None,487200000
2021-05-31,USD,574000000,None,None,None,None,184000000,167700000,-21000000,15300000,None,-162500000,1125000000,None,None,None,None,121300000,121300000,None,None,None,None,-28900000,None,22800000,-583300000,None,365900000
2022-05-31,USD,553200000,None,None,None,None,188800000,147200000,-76300000,-22000000,None,-310500000,-974000000,None,None,None,None,135300000,135300000,None,None,None,None,-36100000,None,20600000,-255800000,None,317800000
2023-05-31,USD,418100000,None,None,None,None,192100000,290100000,-53600000,-63000000,None,-1340900000,-363400000,None,None,None,None,138400000,138400000,None,None,None,None,-158400000,None,21300000,-238400000,None,200900000
2024-05-31,USD,798200000,None,None,None,None,306800000,929500000,None,-203300000,None,-984100000,-48000000,None,None,None,None,174000000,174000000,None,None,None,None,-225300000,None,46800000,None,None,725500000
2025-05-31,USD,868300000,None,None,None,None,407500000,638200000,None,112600000,None,-648000000,-225000000,None,None,None,None,206900000,206900000,None,None,None,None,-294400000,None,39500000,None,None,357200000
