fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2023-10-31,2023-10-31,0.0545,None,0,None,pre-market
2024-01-31,2024-01-31,-0.2788,None,0,None,pre-market
2024-04-30,2024-04-30,-1.4107,None,0,None,pre-market
2024-07-31,2024-07-31,0.4017,None,0,None,pre-market
2024-10-31,2024-10-31,-0.1467,None,0,None,pre-market
2025-01-31,2025-03-17,0.06,None,0,None,pre-market
2025-04-30,2025-07-02,-0.02,None,0,None,pre-market
2025-07-31,2025-09-22,-0.04,-0.01,-0.03,-300,post-market
2025-10-31,2025-12-22,-0.08,0,-0.08,None,post-market
2026-01-31,2026-03-17,-0.13,0.02,-0.15,-750,post-market
