fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,6084000000,None,None,None,None,1406000000,2068000000,None,-186000000,None,-194000000,-5983000000,None,None,None,None,1854000000,1854000000,None,None,None,None,-3010000000,None,270000000,None,None,5642000000
2007-12-31,USD,6934000000,None,None,None,None,1426000000,2430000000,None,-204000000,None,-3744000000,-4006000000,None,None,None,None,2204000000,2204000000,None,None,None,None,-4312000000,None,260000000,None,None,5658000000
2008-12-31,USD,6999000000,None,None,None,None,1543000000,2446000000,None,-345000000,None,-2667000000,-3025000000,None,None,None,None,2541000000,2541000000,None,None,None,None,-4726000000,None,238000000,None,None,5142000000
2009-12-31,USD,6796000000,None,None,None,None,1635000000,2128000000,188000000,17000000,None,-2401000000,-2497000000,None,None,None,None,2732000000,2732000000,None,None,None,None,-7000000,None,227000000,1879000000,-19000000,5979000000
2010-12-31,USD,8448000000,None,None,None,None,2327000000,3253000000,-268000000,276000000,None,-7668000000,1386000000,None,None,None,None,2978000000,2978000000,None,None,None,None,-4983000000,None,299000000,2000000000,-166000000,6338000000
2011-12-31,USD,8944000000,None,None,None,None,2737000000,3339000000,-666000000,-331000000,None,-5618000000,-5135000000,None,None,None,None,3157000000,3157000000,None,None,None,None,-2496000000,None,326000000,-1876000000,-67000000,6462000000
2012-12-31,USD,8479000000,None,None,None,None,2689000000,2714000000,-250000000,144000000,None,-3005000000,-3306000000,None,None,None,None,3305000000,3305000000,None,None,None,None,-3226000000,None,273000000,2230000000,62000000,6178000000
2013-12-31,USD,9688000000,None,None,None,None,2663000000,2795000000,-88000000,4000000,None,-2625000000,-3789000000,None,None,None,None,3434000000,3434000000,None,None,None,None,-3008000000,None,303000000,3078000000,-196000000,6787000000
2014-12-31,USD,10506000000,None,None,None,None,2625000000,2859000000,-343000000,-111000000,None,-4937000000,-8264000000,None,None,None,None,3730000000,3730000000,None,None,None,None,-5012000000,None,294000000,-3241000000,-546000000,6513000000
2015-12-31,USD,10580000000,None,None,None,None,2416000000,2758000000,-461000000,-244000000,None,-3569000000,-3828000000,None,None,None,None,4040000000,4040000000,None,None,None,None,-5005000000,None,295000000,2962000000,-221000000,5501000000
2016-12-31,USD,10404000000,None,None,None,None,2368000000,3040000000,-349000000,-75000000,None,-7148000000,-2942000000,None,None,None,None,4227000000,4227000000,None,None,None,None,-3007000000,None,284000000,62000000,-252000000,6379000000
2017-12-31,USD,9994000000,None,None,None,None,2369000000,2969000000,-202000000,-168000000,None,-4403000000,-4186000000,None,None,None,None,4472000000,4472000000,None,None,None,None,-2005000000,None,292000000,1452000000,47000000,4908000000
2018-12-31,USD,9415000000,None,None,None,None,2399000000,3282000000,-253000000,-174000000,None,4564000000,-13769000000,None,None,None,None,4930000000,4930000000,None,None,None,None,-2000000000,None,256000000,112000000,-98000000,12559000000
2019-12-31,USD,9649000000,None,None,None,None,2432000000,4232000000,-650000000,-190000000,None,-6437000000,-8489000000,None,None,None,None,5304000000,5304000000,None,None,None,None,-3000000000,None,237000000,-5199000000,78000000,7353000000
2020-12-31,USD,10613000000,None,None,None,None,2548000000,4240000000,-420000000,-516000000,None,-11619000000,3819000000,None,None,None,None,5509000000,5509000000,None,None,None,None,-2000000000,None,264000000,2684000000,-129000000,7175000000
2021-12-31,USD,11616000000,None,None,None,None,3215000000,4625000000,None,-582000000,None,-3269000000,-10780000000,None,None,None,None,5815000000,5815000000,None,None,None,None,-106000000,None,301000000,None,None,7679000000
2022-12-31,USD,10811000000,None,None,None,None,3280000000,5207000000,-1763000000,-1142000000,None,-2430000000,-8523000000,None,None,None,None,6172000000,6172000000,None,None,None,None,-1500000000,None,343000000,-142000000,None,8978000000
2023-12-31,USD,13442000000,None,None,None,None,3518000000,5518000000,None,-261000000,None,-5495000000,-3009000000,None,None,None,None,6682000000,6682000000,None,None,None,None,-1000000000,None,380000000,None,None,9155000000
2024-12-31,USD,12507000000,None,None,None,None,3815000000,5318000000,None,-314000000,None,-5472000000,-7556000000,None,None,None,None,7229000000,7229000000,None,None,None,None,-1000000000,None,362000000,None,None,9626000000
2025-12-31,USD,12087000000,None,None,None,None,4178000000,4415000000,None,-150000000,None,-6879000000,-4979000000,None,None,None,None,7638000000,7638000000,None,None,None,None,-1000000000,None,288000000,None,None,8295000000
