fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2010-06-30,USD,79400000,None,None,None,None,41600000,18100000,None,None,None,-18100000,-62400000,None,None,None,None,None,None,None,None,None,None,-62400000,None,None,None,None,73900000
2010-09-30,USD,56200000,None,None,None,None,13800000,6200000,None,400000,None,-6200000,-50000000,None,None,None,None,None,None,None,None,None,None,None,None,300000,None,None,18100000
2010-12-31,USD,37700000,None,None,None,None,14600000,3300000,None,-10600000,None,-3300000,-35400000,None,None,None,None,None,None,None,None,None,None,None,None,500000,None,None,24600000
2011-03-31,USD,22600000,None,None,None,None,14500000,3700000,None,-5000000,None,-3700000,-14700000,None,None,None,None,None,None,None,None,None,None,None,None,500000,None,None,29100000
2011-06-30,USD,57800000,None,None,None,None,14700000,2800000,None,-2700000,None,-2800000,-56500000,None,None,None,None,None,None,None,None,None,None,None,None,29600000,None,None,1600000
2011-09-30,USD,25700000,None,None,None,None,14900000,5100000,None,22000000,None,-5100000,-25500000,None,None,None,None,None,None,None,None,None,None,None,None,700000,None,None,-416600000
2011-12-31,USD,26200000,None,None,None,None,14900000,9100000,-1200000,-12500000,None,-9100000,-6000000,None,None,None,None,0,0,None,None,None,None,0,None,800000,11200000,100000,12800000
2012-03-31,USD,26200000,None,None,None,None,14900000,9100000,-14700000,-12500000,None,-6700000,-6000000,None,None,None,None,0,0,None,None,None,None,0,None,None,51200000,300000,12800000
2012-06-30,USD,28200000,None,None,None,None,16000000,6500000,None,-6900000,None,-6500000,-2200000,None,None,None,None,0,0,None,None,None,None,0,None,1000000,None,None,15800000
2012-09-30,USD,48700000,None,None,None,None,16300000,8600000,None,-600000,None,-8600000,-65600000,None,None,None,None,0,0,None,None,None,None,-53400000,None,2300000,None,None,10800000
2012-12-31,USD,23600000,None,None,None,None,16200000,5000000,-10700000,-19000000,None,-14200000,243400000,None,None,None,None,0,0,None,None,None,None,0,None,2500000,252700000,-100000,7600000
2013-03-31,USD,-5000000,None,None,None,None,16200000,6000000,-6800000,2600000,None,-6000000,65700000,None,None,None,None,0,0,None,None,None,None,234100000,None,2900000,54500000,-200000,5100000
2013-06-30,USD,47600000,None,None,None,None,21800000,6800000,6700000,3600000,None,-166800000,-2300000,None,None,None,None,2000000,2000000,None,None,None,None,-100000,None,2500000,-121800000,-300000,3400000
2013-09-30,USD,53000000,None,None,None,None,22600000,15000000,1100000,2000000,None,-236800000,342000000,None,None,None,None,2200000,2200000,None,None,None,None,286600000,None,2600000,158400000,200000,-900000
2013-12-31,USD,24900000,None,None,None,None,21100000,16500000,-2000000,800000,None,-345700000,804600000,None,None,None,None,2300000,2300000,None,None,None,None,290800000,None,3400000,482900000,-900000,-2400000
2014-03-31,USD,-6400000,None,None,None,None,30100000,10200000,-32600000,9200000,None,-704900000,658600000,None,None,None,None,3600000,3600000,None,None,None,None,322900000,None,4000000,-59000000,-6300000,-18300000
2014-06-30,USD,56000000,None,None,None,None,42700000,52000000,1000000,6400000,None,-2537000000,2032100000,None,None,None,None,4300000,4300000,None,None,None,None,289900000,None,3600000,-448600000,300000,-35100000
2014-09-30,USD,108600000,None,None,None,None,61900000,36800000,-16700000,14300000,None,-206000000,-11100000,None,None,None,None,4200000,4200000,None,None,None,None,6900000,None,3500000,-108900000,-400000,-287400000
2014-12-31,USD,57200000,None,None,None,None,63100000,23700000,21600000,-18200000,None,-136700000,-11600000,None,None,None,None,4300000,4300000,None,None,None,None,0,None,6300000,-91700000,-600000,-97300000
2015-03-31,USD,101200000,None,None,None,None,63200000,21900000,56100000,-31300000,None,-23900000,325900000,None,None,None,None,4200000,4200000,None,None,None,None,341400000,None,10400000,402300000,-900000,30500000
2015-06-30,USD,103300000,None,None,None,None,70400000,28700000,-8700000,66500000,None,-1078100000,669900000,None,None,None,None,4300000,4300000,None,None,None,None,0,None,3500000,-304700000,200000,24000000
2015-09-30,USD,189900000,None,None,None,None,76100000,33600000,20500000,13500000,None,-10000000,388200000,None,None,None,None,4300000,4300000,None,None,None,None,1215500000,None,2500000,567100000,-1000000,-72500000
2015-12-31,USD,88700000,None,None,None,None,74800000,18500000,10700000,-16000000,None,-107900000,-19400000,None,None,None,None,4300000,4300000,None,None,None,None,-10900000,None,3500000,-39000000,-400000,25500000
