fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2015-03-31,2015-06-25,-2968,-88,-2880,-3272.7273,post-market
2015-06-30,2015-08-10,-152,-88,-64,-72.7273,post-market
2015-09-30,2015-11-05,-88,-56,-32,-57.1429,post-market
2015-12-31,2016-03-08,-64,-56,-8,-14.2857,post-market
2016-03-31,2016-05-10,-96,-56,-40,-71.4286,post-market
2016-06-30,2016-08-09,-80,-56,-24,-42.8571,post-market
2016-09-30,2016-11-10,-72,-56,-16,-28.5714,post-market
2016-12-31,2017-03-08,-104,-80,-24,-30,post-market
2017-03-31,2017-05-10,-80,-56,-24,-42.8571,post-market
2017-06-30,2017-08-10,-72,-88,16,18.1818,post-market
2017-09-30,2017-11-09,-72,-64,-8,-12.5,post-market
2017-12-31,2018-03-20,-1.39,-2,0.61,30.5,post-market
2018-03-31,2018-05-09,-4.86,-1.4,-3.46,-247.1429,post-market
2018-06-30,2018-08-08,-80.8,-51.6,-29.2,-56.5891,post-market
2018-09-30,2018-11-07,37.2,-45.2,82.4,182.3009,post-market
2018-12-31,2019-03-27,-5.6,-30.4,24.8,81.5789,post-market
2019-03-31,2019-05-08,-105.6,-32.4,-73.2,-225.9259,post-market
2019-06-30,2019-08-14,33.6,-36.2,69.8,192.8177,post-market
2019-09-30,2019-11-06,-81.6,-30.8,-50.8,-164.9351,post-market
2019-12-31,2020-03-25,-20,-23,3,13.0435,post-market
2020-03-31,2020-05-13,11.6,-21.8,33.4,153.211,post-market
2020-06-30,2020-08-13,-41.2,-23.47,-17.73,-75.5432,post-market
2020-09-30,2020-11-12,-24,-21.73,-2.27,-10.4464,pre-market
2020-12-31,2021-03-30,35.2,-16.4,51.6,314.6341,post-market
2021-03-31,2021-05-17,4.8,-13.73,18.53,134.9599,post-market
2021-06-30,2021-08-16,-9.6,-10.93,1.33,12.1683,post-market
2021-09-30,2021-11-15,-4,-11.8,7.8,66.1017,post-market
2021-12-31,2022-03-30,-11.2,-12,0.8,6.6667,post-market
2022-03-31,2022-05-12,-8,-13.6,5.6,41.1765,post-market
2022-06-30,2022-08-11,-8,-12,4,33.3333,post-market
2022-09-30,2022-11-10,-4.8,-8.4,3.6,42.8571,post-market
2022-12-31,2023-03-30,-6.29,-6.8,0.51,7.5,post-market
2023-03-31,2023-05-11,-10.86,-6.85,-4.01,-58.5401,post-market
2023-06-30,2023-08-10,-2.65,-4.8,2.15,44.7917,post-market
2023-09-30,2023-11-09,-1.44,-3.19,1.75,54.8589,post-market
2023-12-31,2024-03-28,-2.52,-2.58,0.06,2.3256,post-market
2024-03-31,2024-05-22,-1.78,-2.21,0.43,19.457,post-market
2024-06-30,2024-08-13,0.78,1.55,-0.77,-49.6774,post-market
2024-09-30,2024-11-12,-0.87,-0.81,-0.06,-7.4074,post-market
2024-12-31,2025-03-26,-2.99,-0.89,-2.1,-235.9551,pre-market
2025-03-31,2025-05-07,1.9,-0.98,2.88,293.8776,pre-market
2025-06-30,2025-08-14,-3.26,-1.22,-2.04,-167.2131,pre-market
2025-09-30,2025-11-07,0.62,-0.94,1.56,165.9574,pre-market
2025-12-31,2026-03-27,-0.9759,None,0,None,pre-market
