fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2020-06-30,2020-08-12,-0.27,0,-0.27,None,pre-market
2020-09-30,2020-11-12,-0.19,0,-0.19,None,pre-market
2020-12-31,2021-01-13,-0.08,0,-0.08,None,pre-market
2021-03-31,2021-04-01,-3.24,-0.73,-2.51,-343.8356,pre-market
2021-06-30,2021-08-12,-0.28,-0.23,-0.05,-21.7391,pre-market
2021-09-30,2021-11-10,-0.47,-0.475,0.005,1.0526,pre-market
2021-12-31,2022-03-23,-0.6,-0.28,-0.32,-114.2857,pre-market
2022-03-31,2022-05-11,-0.36,-0.3275,-0.0325,-9.9237,pre-market
2022-06-30,2022-08-15,-3.51,-0.4325,-3.0775,-711.5607,pre-market
2022-09-30,2022-11-09,-17.33,-76.07,58.74,77.2184,pre-market
2022-12-31,2023-03-30,0,-0.32,0.32,100,pre-market
2023-09-30,2023-12-12,-65.8689,None,0,None,pre-market
2023-12-31,2024-01-03,-19.0212,None,0,None,pre-market
2024-03-31,2024-05-21,3.4065,None,0,None,pre-market
2024-06-30,2024-08-15,-2.142,None,0,None,pre-market
2024-09-30,2024-11-14,-17.31,None,0,None,pre-market
2024-12-31,2025-02-26,-12.4788,None,0,None,pre-market
2025-03-31,2025-05-09,-1.68,None,0,None,pre-market
2025-06-30,2025-08-08,-3.67,None,0,None,pre-market
2025-09-30,2025-11-07,-5.31,None,0,None,pre-market
2025-12-31,2026-03-19,-6.6234,None,0,None,pre-market
