fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
1997-06-30,None,-25900000,None,None,None,None,10500000,18500000,None,-13300000,None,-35200000,61800000,None,None,None,None,200000,200000,None,None,None,None,None,None,None,None,None,-6500000
1997-09-30,None,48600000,None,None,None,None,11100000,32600000,None,-23600000,None,-32400000,-7200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15500000
1997-12-31,None,54200000,None,None,None,None,12000000,29200000,None,45700000,None,-20200000,-33000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23700000
1998-06-30,None,-52400000,None,None,None,None,13900000,43800000,None,-21600000,None,-46100000,75900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5300000
1998-09-30,None,64900000,None,None,None,None,15100000,86100000,None,-20000000,None,-83100000,16000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18500000
1998-12-31,None,93400000,None,None,None,None,19800000,43400000,None,57700000,None,-42900000,-57900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54900000
1999-06-30,None,14400000,None,None,None,None,26000000,33700000,None,-16500000,None,-30400000,12200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6900000
1999-09-30,None,-6700000,None,None,None,None,28300000,19200000,None,None,None,-59800000,67000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22200000
1999-12-31,None,112700000,None,None,None,None,32000000,48800000,None,None,None,-60200000,-10400000,None,None,None,None,None,None,None,None,None,None,-38000000,None,None,None,None,17500000
2000-06-30,None,59859000,None,None,None,None,33897000,30506000,None,None,None,-76041000,12500000,None,None,None,None,None,None,None,None,None,None,-7992000,None,None,None,None,44569000
