fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2020-03-31,USD,None,3243000,-3243000,-3243000,None,None,-3243000,None,None,None,None,None,None,None,6486000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18068000,None,None,None,64530938
2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64530938
2020-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64530938
2020-12-31,USD,49956000,44172000,14936000,14936000,20800000,6944000,5784000,None,None,3939000,3939000,None,None,None,None,1492000,None,246768000,14073000,8971000,None,None,623000,232695000,861000,None,None,None,861000,4479000,None,-196812000,None,-197778000,966000,64530938
2021-03-31,USD,50267000,44609000,12361000,12361000,20066000,9361000,5658000,1702000,None,3888000,3888000,None,None,None,None,2821000,None,246785000,14258000,8927000,None,None,641000,232527000,711000,None,None,None,711000,4690000,None,-196518000,None,-197531000,976000,64530938
2021-06-30,USD,51391000,44320000,6380000,6380000,22544000,9417000,7071000,2653000,None,3838000,3838000,None,None,1,None,5979000,None,251291000,18824000,10806000,None,None,548000,232467000,558000,None,None,None,558000,7470000,10000,-199900000,None,-200949000,976000,36300484
2021-09-30,USD,130142000,123255000,78720000,78720000,24927000,14507000,6887000,2740000,None,3788000,3788000,None,None,None,None,5101000,None,19770000,19766000,11925000,None,None,396000,4000,400000,None,None,None,400000,7445000,None,117054000,None,-25823000,64000,34440982
2021-12-31,USD,124993000,117079000,43110000,43110000,31501000,9047000,7914000,3875000,None,3738000,3738000,None,None,None,30000000,3421000,None,20434000,20433000,13492000,None,None,236000,1000,237000,None,None,None,237000,6705000,None,128482000,None,-45986000,64000,34457684
2022-03-31,USD,116480000,107126000,28818000,28818000,32421000,13423000,9354000,4069000,None,3688000,3688000,None,None,None,30000000,2464000,None,22619000,22135000,15278000,None,None,608000,484000,1092000,None,None,None,1092000,6249000,None,122442000,None,-56884000,67000,36883037
2022-06-30,USD,112738000,102766000,49648000,49648000,33924000,17115000,9972000,4710000,None,3638000,3638000,None,None,None,0,2079000,None,25539000,25171000,16539000,None,None,685000,368000,1053000,None,None,None,1053000,7947000,None,115333000,None,-67974000,68000,40167570
2022-09-30,USD,113370000,103413000,49236000,49236000,37283000,13538000,9957000,5811000,None,3588000,3588000,None,None,None,0,3356000,None,28519000,28333000,19685000,None,None,698000,186000,884000,None,None,None,884000,7950000,None,114037000,None,-75458000,69000,44072985
2022-12-31,USD,98932000,88659000,47399000,47399000,27576000,11077000,10273000,4641000,None,4385000,4385000,None,None,None,0,2607000,None,17146000,17146000,8023000,None,None,715000,8738000,715000,None,None,None,715000,8408000,None,109951000,None,-79843000,70000,45731318
2023-03-31,USD,113222000,103441000,55957000,55957000,28950000,14316000,9781000,2655000,None,4222000,4222000,None,None,None,None,4218000,None,31945000,30137000,22177000,None,None,577000,1808000,2385000,None,None,None,2385000,7383000,None,109539000,None,-81934000,71000,49372874
2023-06-30,USD,115542000,105690000,47030000,47030000,37596000,16937000,9852000,5119000,None,4082000,4082000,None,None,None,None,4127000,None,36916000,35250000,27711000,None,None,578000,1666000,2244000,None,None,None,2244000,6961000,None,107958000,None,-85865000,71000,50094096
2023-09-30,USD,116355000,107221000,38542000,38542000,49398000,16372000,9134000,4575000,None,3929000,3929000,None,None,None,None,2909000,None,47102000,45581000,37831000,None,None,576000,1521000,2097000,None,None,None,2097000,7174000,None,101257000,None,-94082000,71000,50754470
2023-12-31,USD,90857000,82687000,31955000,31955000,34550000,11119000,8170000,None,None,3523000,3523000,None,None,None,None,5063000,None,29090000,27717000,21169000,None,None,575000,1373000,1948000,None,None,None,1948000,5973000,None,89878000,None,-101337000,71000,52220804
2024-03-31,USD,85063000,77354000,28720000,28720000,30621000,14048000,7709000,None,None,3435000,3435000,None,None,None,None,3965000,None,29006000,27790000,19045000,None,None,592000,1216000,1808000,None,None,None,1808000,8153000,None,80277000,None,-107161000,72000,55890168
2024-06-30,USD,72774000,65499000,28942000,28942000,22254000,11351000,7275000,None,None,3363000,3363000,None,None,None,None,2952000,None,22251000,21195000,12129000,None,None,610000,1056000,1666000,None,None,None,1666000,8456000,None,74990000,None,-113052000,73000,58653413
2024-09-30,USD,72859000,66062000,32688000,32688000,20690000,10008000,6797000,None,None,3276000,3276000,None,None,None,None,2676000,None,24144000,23194000,14865000,None,None,629000,950000,1521000,None,None,None,1521000,7700000,58000,72508000,None,-115579000,73000,59490258
2024-12-31,USD,67951000,61909000,30653000,30653000,18618000,10795000,6042000,None,None,3179000,3179000,None,None,None,None,1843000,None,25006000,24222000,15295000,None,None,587000,784000,1313000,None,None,None,1313000,8340000,58000,64879000,None,-121342000,73000,60612525
2025-03-31,USD,61974000,56334000,27717000,27717000,17105000,8797000,5640000,None,None,3114000,3114000,None,None,None,None,2715000,None,24669000,24031000,13876000,None,None,666000,638000,1246000,None,None,None,1246000,9489000,58000,53730000,None,-126568000,74000,76496102
2025-06-30,USD,62450000,56914000,26301000,26301000,15740000,13120000,5536000,None,None,3053000,3053000,None,None,None,None,1753000,None,24755000,24297000,14383000,None,None,686000,458000,1086000,None,None,None,1086000,9228000,58000,53019000,None,-127265000,75000,66332702
2025-09-30,USD,60009000,54508000,26029000,26029000,14128000,12608000,5501000,None,None,3150000,3150000,None,None,None,None,1743000,None,24212000,23967000,13860000,None,None,643000,245000,830000,None,None,None,830000,9464000,58000,51250000,None,-129951000,75000,67326383
2025-12-31,USD,63620000,58220000,25354000,25354000,20393000,11106000,5400000,None,None,3135000,3135000,None,None,None,None,1367000,None,28019000,28019000,17565000,None,None,668000,0,668000,None,None,None,668000,9786000,None,51039000,None,-131262000,75000,66016155
