fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2010-12-31,USD,27774000,30839000,3065000,3065000,-15546000,5094000,None,23505000,None,None,None,3000,None,None,None,14903000,-35361000,-19812000,None,None,None,4269000,19172000,-15543000
2011-03-31,USD,37631000,41755000,4124000,4124000,-16140000,3951000,None,25175000,None,None,None,8000,None,None,None,18618000,-44736000,-28588000,None,None,None,12456000,31074000,-16132000
2011-06-30,USD,48817000,54187000,5370000,5370000,23679000,10641000,None,35615000,None,None,None,134000,None,None,None,21266000,23549000,134000,None,None,None,23683000,44949000,23549000
2011-09-30,USD,51898000,51898000,None,None,49110000,17064000,None,43348000,None,None,None,601000,None,None,None,21756000,48512000,1592000,None,None,None,50104000,71860000,48512000
2011-12-31,USD,61653000,66438000,4785000,4785000,-55000000,53525000,None,89367000,None,None,None,1359000,None,None,None,30059000,-82286000,28637000,None,None,None,-27714000,2345000,-56351000
2012-03-31,USD,49533000,54909000,5376000,5376000,-15824000,6198000,None,40692000,None,None,None,1690000,None,None,None,28027000,-40489000,26348000,None,None,None,-15817000,12210000,-17507000
2012-06-30,USD,96310000,102582000,6272000,6272000,57387000,4956000,None,38923000,None,None,None,990000,None,None,None,27882000,56540000,168917000,None,None,None,57530000,85412000,-112377000
2012-09-30,USD,-11329000,25932000,37261000,37261000,-28567000,7948000,None,51824000,None,None,None,908000,None,None,None,30692000,-29395000,-11592000,None,None,None,-28487000,2205000,-17803000
2012-12-31,USD,39322000,89825000,50503000,50503000,7547000,11573000,None,18656000,None,None,None,9411000,None,None,None,38960000,-1849000,561000,None,None,None,7563000,46523000,-2410000
2013-03-31,USD,35299000,91146000,55847000,55847000,-2060000,11026000,None,17235000,None,None,None,10867000,None,None,None,41976000,-12922000,-4973000,None,None,None,-2055000,39921000,-7949000
2013-06-30,USD,33182000,103587000,70405000,70405000,21947000,15272000,None,22164000,None,None,None,16621000,None,None,None,52830000,5331000,1993000,None,None,None,21952000,74782000,3338000
2013-09-30,USD,57645000,156801000,99156000,99156000,-10871000,13911000,None,23026000,None,None,None,25950000,None,None,None,74789000,-36814000,-13208000,None,None,None,-10864000,63925000,-23606000
2013-12-31,USD,58399000,162256000,103857000,103857000,-416425000,13041000,None,20112000,None,None,None,29700000,None,None,None,80801000,-446109000,-130341000,None,None,None,-289627000,-208826000,-315768000
2014-03-31,USD,77452000,167335000,89883000,89883000,-51978000,11684000,None,20158000,None,None,None,33947000,None,None,None,66901000,-85915000,-2270000,None,None,None,-47805000,19096000,-83645000
2014-06-30,USD,85722000,179457000,93735000,93735000,31665000,13434000,None,20107000,None,None,None,33813000,None,None,None,71074000,-2139000,-41000,None,None,None,31674000,102748000,-2098000
2014-09-30,USD,79807000,173783000,93976000,93976000,111091000,9879000,None,18411000,None,None,None,34288000,None,None,None,73109000,76813000,2216000,None,None,None,111101000,184210000,74597000
2014-12-31,USD,49076000,134419000,85343000,85343000,170055000,13736000,None,21137000,None,None,None,35500000,None,None,None,58851000,134565000,6490000,None,None,None,170065000,228916000,128075000
2015-03-31,USD,4698000,89826000,85128000,85128000,-166101000,11654000,None,15761000,None,None,None,36503000,None,None,None,58428000,-202595000,-9041000,None,None,None,-166101000,-107673000,-193554000
2015-06-30,USD,13103000,94047000,80944000,80944000,-553584000,11461000,None,14356000,None,None,None,44880000,None,None,None,55255000,-598437000,44880000,None,None,None,-553584000,-498329000,-598437000
2015-09-30,USD,9461000,76995000,67534000,67534000,-453790000,6677000,None,9719000,None,None,None,40595000,None,None,None,44714000,-494342000,40595000,None,None,None,-534937000,-490223000,-494342000
2015-12-31,USD,1294000,63350000,62056000,62056000,-470330000,8911000,None,-3710000,None,None,None,56118000,None,None,None,40246000,-511465000,-600000,None,None,None,-455347000,-415101000,-510865000
2016-03-31,USD,6944000,51961000,45017000,45017000,-135119000,11288000,None,13212000,None,None,None,44212000,None,None,None,24835000,-179274000,44212000,None,None,None,-128786000,-103951000,-179274000
2016-06-30,USD,23101000,62559000,39458000,39458000,-52759000,4497000,None,6425000,None,None,None,18839000,None,None,None,18638000,8962000,18839000,None,None,None,29772000,48410000,8766000
2016-09-30,USD,26491000,64193000,37702000,37702000,-12944000,3308000,None,5548000,None,None,None,2668000,None,None,None,15756000,-38384000,2668000,None,None,None,-35264000,-19508000,-38384000
2016-12-31,USD,43448000,81426000,37978000,37978000,-256671000,9514000,None,311229000,None,None,None,65719000,None,None,None,217092000,-321908000,-23000,None,None,None,-256671000,-39579000,-321885000
2017-03-31,USD,25269000,60150000,34881000,34881000,19462000,8275000,None,10672000,None,None,None,897000,None,None,None,15342000,18485000,897000,None,None,None,19382000,34724000,17939000
2017-06-30,USD,17027000,53186000,36159000,36159000,14970000,7572000,None,9550000,None,None,None,1139000,None,None,None,15959000,13742000,1139000,None,None,None,14881000,30840000,13382000
2017-09-30,USD,18784000,53306000,34522000,34522000,5312000,7255000,None,9881000,None,None,None,1541000,None,None,None,15170000,3663000,1541000,None,None,None,5204000,20374000,3581000
2017-12-31,USD,20388000,58452000,38064000,38064000,-119238000,6250000,None,9218000,None,None,None,1738000,None,None,None,19361000,-120967000,-17623000,None,None,None,-119238000,-99877000,-120967000
2018-03-31,USD,22766000,52844000,30078000,30078000,5812000,9857000,None,13015000,None,None,None,1827000,None,None,None,15213000,4004000,1719000,None,None,None,5723000,20936000,3905000
2018-06-30,USD,20169000,53672000,33503000,33503000,-245000,5190000,None,8216000,None,None,None,1302000,None,None,None,16484000,-1542000,1302000,None,None,None,-245000,16239000,-1542000
2018-09-30,USD,26948000,54348000,27400000,27400000,12170000,4688000,None,8195000,None,None,None,550000,None,None,None,15485000,11516000,550000,None,None,None,12066000,27551000,11165000
2018-12-31,USD,18729000,44218000,25489000,25489000,36515000,4805000,None,7639000,None,None,None,713000,None,None,None,14818000,35807000,-14105000,None,None,None,36368000,51186000,34813000
2019-03-31,USD,9038000,29841000,20803000,20803000,-16875000,6438000,None,8528000,None,None,None,763000,None,None,None,11794000,-17807000,763000,None,None,None,-17044000,-5250000,-17807000
2019-06-30,USD,2393000,23240000,20847000,20847000,-35593000,5238000,None,6970000,None,None,None,4422000,None,None,None,12285000,-36948000,1185000,None,None,None,23063000,35348000,-36948000
2019-09-30,USD,19906000,72959000,53053000,53053000,14807000,27034000,None,33824000,None,None,None,5276000,None,None,None,15617000,5157000,5172000,None,None,None,10433000,26050000,5029000
2019-12-31,USD,21075000,77929000,56854000,56854000,-23054000,8380000,None,44129000,None,-3068000,None,3068000,None,None,None,16147000,-27518000,2055000,None,-27518000,None,-24450000,-8303000,-27518000
2020-03-31,USD,1804000,58136000,56332000,56332000,-359382000,8353000,None,361186000,None,-7647000,None,7647000,None,None,None,15556000,-367199000,7663000,None,-367199000,None,-359552000,-343996000,-367199000
2020-06-30,USD,-4969000,35171000,40140000,40140000,-34626000,6755000,None,29657000,None,-6209000,None,6209000,None,None,None,7623000,-41251000,85000,None,-41336000,None,-35042000,-27419000,-41336000
2020-09-30,USD,11900000,52745000,40845000,40845000,-14339000,6443000,None,26239000,None,-3362000,None,3362000,None,None,None,7950000,-17505000,3445000,None,-17685000,None,-14143000,-6193000,-17505000
2020-12-31,USD,11883000,56092000,44209000,44209000,-33542000,6238000,None,45425000,None,-3304000,None,3304000,None,-934000,None,9139000,-37780000,30000,None,-37810000,None,-34476000,-25337000,-37810000
2021-03-31,USD,31637000,72469000,40832000,40832000,-16184000,6921000,None,47821000,None,-3112000,None,3112000,None,-32000,None,7347000,-19322000,3018000,None,-19328000,None,-16210000,-8863000,-19328000
2021-06-30,USD,39301000,80393000,41092000,41092000,-37348000,6030000,None,76649000,None,-3137000,None,3137000,None,5462000,None,7389000,-35023000,3071000,None,-35023000,None,-31886000,-24497000,-35023000
2021-09-30,USD,50468000,97001000,46533000,46533000,-10331000,6448000,None,60799000,None,-3078000,None,3078000,None,-61000,None,7000000,-13470000,3008000,None,-13470000,None,-10392000,-3392000,-13470000
2021-12-31,USD,51237000,93053000,41816000,41816000,38254000,5886000,None,12983000,None,-2772000,None,2772000,None,269000,None,6332000,35745000,-3229000,None,35751000,None,38517000,44849000,35745000
2022-03-31,USD,64868000,111433000,46565000,46565000,-46195000,7771000,None,111063000,None,-2441000,None,2441000,None,22000,None,5635000,-48614000,2428000,None,-48614000,None,-46173000,-40538000,-48614000
2022-06-30,USD,75347000,121777000,46430000,46430000,32278000,8628000,None,43069000,None,-3084000,None,3084000,None,26000,None,5864000,29220000,2704000,None,29220000,None,32304000,38168000,29220000
2022-09-30,USD,80472000,126299000,45827000,45827000,51183000,6965000,None,29289000,None,-3974000,None,3974000,None,25000,None,6296000,47234000,3949000,None,47234000,None,51208000,57504000,47234000
2022-12-31,USD,53034000,98947000,45913000,45913000,34723000,6800000,None,18311000,None,-4602000,None,4602000,None,25000,None,6155000,30146000,111000,None,30035000,None,34748000,40903000,30035000
2023-03-31,USD,35500000,79870000,44370000,44370000,26605000,8514000,None,8895000,None,-5737000,None,5737000,None,84948000,None,5808000,105816000,-246943000,None,352759000,None,111553000,117361000,352759000
2023-06-30,USD,24847000,71971000,47124000,47124000,6590000,7778000,None,18257000,None,-3701000,None,3701000,None,122000,None,7072000,3011000,-6805000,None,9816000,None,6712000,13784000,9816000
2023-09-30,USD,27804000,76770000,48966000,48966000,-12324000,8255000,None,40128000,None,-4470000,None,4470000,None,None,None,7489000,-16670000,-3267000,None,-13403000,None,-12200000,-4711000,-13403000
2023-12-31,USD,31636000,78985000,47349000,47349000,55345000,8437000,None,-23709000,None,-3811000,None,3811000,None,None,None,7635000,51614000,8036000,None,43578000,None,55425000,63060000,43578000
2024-03-31,USD,25002000,76299000,51297000,51297000,-9082000,9800000,None,34084000,None,-3527000,None,3527000,None,None,None,8239000,-12704000,-3308000,None,-9396000,None,-9177000,-938000,-9396000
2024-06-30,USD,30470000,79503000,49033000,49033000,13552000,8358000,None,16918000,None,-3632000,None,3632000,None,None,None,7827000,9811000,2692000,None,7119000,None,13443000,21270000,7119000
2024-09-30,USD,65568000,69858000,4290000,4290000,32600000,8251000,None,32968000,None,-3756000,None,3756000,None,None,None,8102000,28714000,6062000,None,22652000,None,32470000,40572000,22652000
2024-12-31,USD,64553000000,69021000000,4468000000,4468000000,-6650000000,9486000000,None,71203000000,None,-3684000,None,3684000,None,None,None,8418000,-10447000,-3018000,None,-7429000,None,-6763000,1655000,-7429000
2025-03-31,USD,67764000,72050000,4286000,4286000,-3994000,10815000,None,71758000,None,-3519000,None,3519000,None,None,None,8494000,-7398000,-1537000,None,-5861000,None,-3879000,4615000,-5861000
2025-06-30,USD,15251000,68361000,53110000,53110000,12559000,11197000,None,2692000,None,-3594000,None,3594000,None,None,None,9765000,8299000,1915000,None,6384000,None,11893000,21658000,6384000
2025-09-30,USD,61159000,66396000,5237000,5237000,-26522000,11764000,None,87681000,None,-3860000,None,3860000,None,None,None,11223000,-30310000,-9344000,None,-20966000,None,-26450000,-15227000,-20966000
2025-12-31,USD,18112000,56554000,38442000,38442000,-5950000,18280000,None,24062000,None,-4604000,None,4604000,None,None,None,5221000,90248000,25837000,None,64411000,None,94852000,100073000,64411000
