fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-09-30,USD,104555000,25338000,11972000,11972000,4173000,8535000,79217000,79167000,None,None,None,None,None,None,None,4831000,None,53950000,22112000,3628000,None,None,None,31838000,None,11735000,None,None,11735000,18484000,None,50605000,None,43524000,4085000,8698405
2007-09-30,USD,124565000,21479000,10107000,10107000,2171000,8769000,103086000,95688000,None,None,None,None,None,None,None,2603000,None,69254000,20730000,5983000,None,None,354000,48524000,None,22104000,None,None,22458000,14393000,None,54604000,-195000,44988000,4140000,8608759
2008-09-30,USD,132362000,25662000,13618000,13618000,2134000,9383000,106700000,99016000,None,None,None,None,None,None,None,3545000,None,70031000,22833000,6516000,None,None,None,47198000,None,26217000,None,None,26217000,-3489683000,None,61264000,-2165000,54862000,4202000,8438914
2009-09-30,USD,86104000,27361000,6879000,6879000,1675000,4907000,58743000,52225000,None,None,None,None,None,None,None,15575000,None,52884000,24005000,3277000,None,None,14335000,28879000,None,16665000,None,None,31000000,5774000,None,32318000,-2262000,30500000,4202000,8240444
2010-09-30,USD,89888000,34367000,10674000,10674000,13676000,9433000,55521000,50626000,None,None,None,None,None,None,218000,14918000,None,51280000,24806000,1442000,None,None,13650000,26474000,None,12350000,None,None,26000000,8642000,None,37615000,-2286000,34340000,4223000,8273848
2011-09-30,USD,88772000,29530000,9834000,9834000,12938000,5803000,59242000,54619000,None,0,0,0,None,4623000,0,13449000,None,50058000,24089000,2750000,None,None,12314000,25969000,None,11400000,None,None,23714000,8826000,10088000,37747000,-2286000,34231000,4223000,8277160
2012-09-30,USD,69890000,18885000,8845000,8845000,5670000,3600000,51005000,48624000,None,0,0,0,None,2381000,0,1131000,None,39765000,14315000,2680000,None,None,5764000,25450000,None,11400000,None,None,17164000,5871000,10743000,29643000,-2286000,24095000,4223000,8277160
2013-09-30,USD,62714000,19027000,7828000,7828000,5678000,3287000,43687000,41306000,None,0,0,0,None,2381000,0,2464000,None,40394000,16447000,4415000,None,None,5240000,23947000,None,11400000,None,None,16640000,6792000,10657000,21749000,-2286000,15532000,4223000,8277160
2014-09-30,USD,54770000,26520000,16104000,16104000,5669000,2910000,28250000,22350000,None,0,0,0,None,5900000,1139000,919000,None,34825000,14523000,3453000,None,None,4449000,20302000,None,6650000,4449000,None,11099000,6621000,12451000,19198000,-2286000,16204000,4223000,8278292
2015-09-30,USD,41553000,25678000,8471000,8471000,12590000,2300000,15875000,9468000,0,0,0,0,None,6288000,1192000,1125000,None,22291000,10003000,2653000,None,None,3440000,12288000,0,0,3440000,None,3440000,3910000,11839000,18617000,-2286000,17467000,4223000,8277160
2016-09-30,USD,31568000,21114000,15550000,15550000,2210000,1228000,10454000,6902000,0,0,0,0,None,3552000,1192000,934000,None,17824000,4736000,1423000,None,None,165000,13088000,0,0,0,None,None,3148000,12884000,13744000,-2286000,13852000,4223000,8277160
2017-09-30,USD,33020000,25142000,16281000,16281000,1036999,2559000,7878000,5369000,0,0,0,0,None,2209000,5450000,852000,None,14837000,4798000,1185000,None,None,40000,10039000,0,0,0,None,None,3573000,9782000,18183000,-2286000,15023000,4223000,8277160
2018-09-30,USD,31378000,12082000,5965000,5965000,0,4426000,19296000,16411000,0,4888000,4888000,0,None,2037000,741000,950000,None,15139000,3629000,1191000,None,None,42000,11510000,0,0,0,None,None,2438000,11088000,16239000,-2286000,13253000,4223000,8277160
2019-09-30,USD,18302000,8704000,4613000,4613000,729000,2270000,9598000,8388000,None,None,None,None,None,1210000,0,1821000,None,16973000,4768000,1223000,None,None,1633000,12205000,None,None,None,None,None,3545000,11844000,1329000,-2286000,859000,4223000,8277160
