fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,721472,743744,22272,22272,624364,62541,0,97108,None,None,None,0,None,None,None,34567,771493,256453,None,0,None,624364,658931,503574
2006-03-31,USD,609734,655466,45732,45732,490731,116019,0,119003,None,None,None,0,None,None,None,2984,538755,167510,None,0,None,487747,490731,371245
2006-06-30,USD,667024,705703,38679,38679,584807,79233,0,82217,None,None,None,0,None,None,None,2984,643972,198753,None,0,None,581823,584807,445219
2006-09-30,USD,583284,623061,39777,39777,502251,70416,0,81033,None,None,None,0,None,None,None,21232,535724,188088,None,0,None,481019,502251,347636
2006-12-31,USD,608628,706887,98259,98259,478679,90321,0,129949,None,None,None,0,None,None,None,41913,524625,155820,None,0,None,478679,520592,368805
2007-03-31,USD,643920,704114,60194,60194,511090,125224,0,132830,None,None,None,0,None,None,None,7606,542291,169443,None,0,None,504689,512295,372848
2007-06-30,USD,706864,802406,95542,95542,609682,95504,0,97182,None,None,None,0,None,None,None,1678,943600,318645,None,0,None,609682,611360,624955
2007-09-30,USD,938336,1038154,99818,99818,752669,154913,0,185667,None,None,None,0,None,None,None,30753,793306,249603,None,0,None,752670,783423,543703
2007-12-31,USD,644510,713450,68940,68940,558956,67049,0,85554,None,None,None,0,None,None,None,18505,2082237,793808,None,0,None,558956,577461,1288429
2008-03-31,USD,749745,827265,77520,77520,605290,143039,0,144455,None,None,None,0,None,None,None,1416,595515,103496,None,0,None,603874,605290,492019
2008-06-30,USD,875319,961694,86375,86375,785729,82801,0,89590,None,None,None,0,None,None,None,6789,772114,269589,None,0,None,785729,792518,502525
2008-09-30,USD,1001765,1091116,89351,89351,914004,83364,0,87761,None,None,None,0,None,None,None,4397,951017,288449,None,0,None,914004,918401,662568
