fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-05-23,1.5,1.47,0.03,2.0408,pre-market
1996-06-30,1996-08-22,2.13,2.13,0,0,pre-market
1996-09-30,1996-12-12,2.58,2.49,0.09,3.6145,pre-market
1996-12-31,1997-02-25,1.53,1.62,-0.09,-5.5556,pre-market
1997-03-31,1997-05-27,1.53,1.7,-0.17,-10,pre-market
1997-06-30,1997-08-26,2.35,2.33,0.02,0.8584,pre-market
1997-09-30,1997-12-11,2.8,2.74,0.06,2.1898,pre-market
1997-12-31,1998-02-26,1.75,1.81,-0.06,-3.3149,pre-market
1998-03-31,1998-05-27,1.83,1.89,-0.06,-3.1746,pre-market
1998-06-30,1998-08-27,3.25,2.82,0.43,15.2482,pre-market
1998-09-30,1998-12-10,3.65,3.5,0.15,4.2857,pre-market
1998-12-31,1999-02-24,1.95,1.62,0.33,20.3704,pre-market
1999-03-31,1999-05-27,2.45,2.11,0.34,16.1137,pre-market
1999-06-30,1999-08-25,3.55,3.5,0.05,1.4286,pre-market
1999-09-30,1999-12-08,4.45,4.41,0.04,0.907,pre-market
1999-12-31,2000-02-24,2.4,2.31,0.09,3.8961,pre-market
2000-03-31,2000-05-24,2.75,2.71,0.04,1.476,pre-market
2000-06-30,2000-08-23,4.1,4.1,0,0,pre-market
2000-09-30,2000-12-05,5,5.03,-0.03,-0.5964,pre-market
2000-12-31,2001-02-28,1.1,2.6,-1.5,-57.6923,pre-market
2001-03-31,2001-05-23,0.35,0.17,0.18,105.8824,pre-market
2001-06-30,2001-08-28,1.95,2.38,-0.43,-18.0672,pre-market
2001-09-30,2001-12-13,1.95,2.05,-0.1,-4.878,pre-market
2001-12-31,2002-02-28,0.85,0.8,0.05,6.25,pre-market
2002-03-31,2002-05-29,1.3,1.29,0.01,0.7752,pre-market
2002-06-30,2002-08-28,3.2,3.03,0.17,5.6106,pre-market
2002-09-30,2002-12-11,3.1,2.9,0.2,6.8966,pre-market
2002-12-31,2003-02-26,1,1.05,-0.05,-4.7619,pre-market
2003-03-31,2003-05-28,0.55,0.55,0,0,pre-market
2003-06-30,2003-08-27,1.8,1.7,0.1,5.8824,pre-market
2003-09-30,2003-12-10,2.15,2.02,0.13,6.4356,pre-market
2003-12-31,2004-02-25,1.45,1.01,0.44,43.5644,pre-market
2004-03-31,2004-05-26,1.95,1.79,0.16,8.9385,pre-market
2004-06-30,2004-08-25,3.45,2.97,0.48,16.1616,pre-market
2004-09-30,2004-12-08,5.65,5.3,0.35,6.6038,pre-market
2004-12-31,2005-03-04,2.3,2.2,0.1,4.5455,pre-market
2005-03-31,2005-06-01,2.55,2.63,-0.08,-3.0418,pre-market
2005-06-30,2005-09-01,3.5,3.63,-0.13,-3.5813,pre-market
2005-09-30,2005-12-07,4.8,4.95,-0.15,-3.0303,pre-market
2005-12-31,2006-03-01,3.1,2.74,0.36,13.1387,pre-market
2006-03-31,2006-05-31,2.55,2.64,-0.09,-3.4091,pre-market
2006-06-30,2006-08-30,5.3,5.06,0.24,4.7431,pre-market
2006-09-30,2006-12-06,6.65,6.71,-0.06,-0.8942,pre-market
2006-12-31,2007-02-28,2.45,2.66,-0.21,-7.8947,pre-market
2007-03-31,2007-05-31,1.55,1.49,0.06,4.0268,pre-market
2007-06-30,2007-09-04,5.1,4.98,0.12,2.4096,pre-market
2007-09-30,2007-12-10,6.35,7.94,-1.59,-20.0252,pre-market
2007-12-31,2008-03-03,1.95,2.22,-0.27,-12.1622,pre-market
2008-03-31,2008-06-02,3.8,1.52,2.28,150,pre-market
2008-06-30,2008-09-02,8.15,6.16,1.99,32.3052,pre-market
2008-09-30,2008-12-10,6.3,5.59,0.71,12.7013,pre-market
2008-12-31,2009-03-10,-2.1,-2.2,0.1,4.5455,pre-market
2009-03-31,2009-06-09,-1.85,-1.8,-0.05,-2.7778,pre-market
2009-06-30,2009-09-09,1.25,0.57,0.68,119.2982,pre-market
2009-09-30,2009-12-09,-25.8554,None,0,None,pre-market
2009-12-31,2010-03-09,-1.04,-0.1,-0.94,-940,pre-market
2010-03-31,2010-06-08,-0.86,-0.53,-0.33,-62.2642,pre-market
2010-06-30,2010-09-07,-0.9,-0.63,-0.27,-42.8571,pre-market
2010-09-30,2010-12-07,-1.01,-0.77,-0.24,-31.1688,pre-market
2010-12-31,2011-03-08,-1.14,-0.92,-0.22,-23.913,pre-market
2011-03-31,2011-06-07,-0.51,-0.81,0.3,37.037,pre-market
2011-06-30,2011-09-07,-0.71,-0.46,-0.25,-54.3478,pre-market
2011-09-30,2011-12-06,-0.24,-0.21,-0.03,-14.2857,pre-market
2011-12-31,2012-03-06,-0.54,-0.69,0.15,21.7391,pre-market
2012-03-31,2012-05-30,-0.86,-0.39,-0.47,-120.5128,pre-market
2012-06-30,2012-09-05,-0.09,-0.04,-0.05,-125,pre-market
2012-09-30,2012-12-07,0.08,0.08,0,0,pre-market
2012-12-31,2013-03-05,-0.19,None,0,None,pre-market
