fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,23318733,2110000,2110000,2110000,None,None,21204723,None,None,None,None,None,None,None,None,None,None,2114010,2114000,None,None,None,None,None,None,None,None,None,None,2114000,None,21204723,None,None,None,6000000
2006-03-31,USD,23181095,2400000,2400000,2400000,None,None,20778749,None,None,None,None,None,None,None,None,None,None,2402346,2402000,None,None,None,None,None,None,None,None,None,None,2402000,None,20778749,None,None,None,6000000
2006-06-30,USD,22223256,1770000,1770000,1770000,None,None,20452368,None,None,None,None,None,None,None,None,None,None,1770888,1771000,None,None,None,None,None,None,None,None,None,None,1771000,None,20452368,None,None,None,6000000
2006-09-30,USD,22257672,2210000,2210000,2210000,None,None,20035944,None,None,None,None,None,None,None,None,None,None,2221728,2222000,None,None,None,None,None,None,None,None,None,None,2222000,None,20035944,None,None,None,6000000
2006-12-31,USD,21655260,1975758,1970000,1970000,None,4963,19679502,None,None,None,None,None,None,None,None,795,None,1975758,1975758,None,None,None,None,None,None,None,None,None,None,1975758,None,19679502,None,None,None,6000000
2007-03-31,USD,20955621,1610000,1610000,1610000,None,None,19346823,None,None,None,None,None,None,None,None,None,None,1608798,1609000,None,None,None,None,None,None,None,None,None,None,1609000,None,19346823,None,None,None,6000000
2007-06-30,USD,20806175,1780000,1780000,1780000,None,None,19024493,None,None,None,None,None,None,None,None,None,None,1781682,1782000,None,None,None,None,None,None,None,None,None,None,1782000,None,19024493,None,None,None,6000000
2007-09-30,USD,20223755,1490000,1490000,1490000,None,None,18729137,None,None,None,None,None,None,None,None,None,None,1494618,1495000,None,None,None,None,None,None,None,None,None,None,1495000,None,18729137,None,None,None,6000000
2007-12-31,USD,20147900,1760000,1760000,1760000,-1760148,None,18387752,None,None,None,None,None,None,None,None,None,None,1760148,1760148,None,None,None,None,None,None,None,None,None,None,1760000,None,18387752,None,None,None,6000000
2008-03-31,USD,20007962,1910000,1910000,1910000,None,None,18093224,None,None,None,None,None,None,None,None,None,None,1914738,1915000,None,None,None,None,None,None,None,None,None,None,1915000,None,18093224,None,None,None,6000000
2008-06-30,USD,21698807,3867918,3870000,3870000,-3870000,1972,17830889,None,None,None,None,None,None,None,None,3865946,None,3867918,3867918,None,None,None,None,None,None,None,None,None,None,3867918,None,17830889,None,None,None,6000000
2008-09-30,USD,20850319,3325098,3320000,3320000,-3320000,2633,17525221,None,None,None,None,None,None,None,None,3322465,None,3325098,3325098,None,None,None,None,None,None,None,None,None,None,3325098,None,17525221,None,None,None,6000000
