fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,26928656,67760306,40831650,40831650,14399593,2988892,None,12529063,None,None,None,780782,None,None,None,9540171,13618811,5507386,None,None,None,14399593,23939764,8111425
2007-12-31,USD,29950089,90395872,60445783,60445783,13342214,3864810,None,16607875,None,None,None,604616,None,None,None,12743065,12737598,5130165,None,None,None,13342214,26085279,7607433
2008-12-31,USD,30834674,86769742,55935068,55935068,12454667,4468883,None,18380007,None,None,None,929656,None,None,None,13911124,11525011,4626569,None,None,None,12454667,26365791,6898442
2009-12-31,USD,25052287,90431899,65379612,65379612,4908111,5522939,None,20144176,None,None,None,1020681,None,None,None,14621237,3887430,2007811,None,None,None,4908111,19529348,1879619
2010-12-31,USD,22385939,108318801,85932862,85932862,147635,6894500,None,22238304,None,None,None,790417,None,None,None,15343804,-642782,579900,None,None,None,147635,15491439,-1222682
2011-12-31,USD,47005638,151028582,104022944,104022944,18164890,9626679,0,28840748,None,None,None,784425,None,None,None,19214069,17380465,6547250,None,None,None,18164890,37378959,10833215
2012-12-31,USD,35534681,196317215,160782534,160782534,26779411,8755270,0,8755270,None,None,None,1222454,None,None,None,25502597,25556957,9885078,None,None,None,26779411,52282008,15671879
2013-12-31,USD,2214994,134534540,132319546,132319546,-7378074,9593068,0,9593068,None,None,None,1091476,None,None,None,24644190,-8469550,-2153509,None,-6316041,None,-7378074,17266116,-6316041
2014-12-31,USD,42917238,143935099,101017861,101017861,-12193732,12153970,0,55110970,None,None,None,599296,None,None,None,24375933,-12619028,-3866251,None,-9528330,None,5580864067,5605240000,-8752777
2015-12-31,USD,187613000,234685000,47072000,47072000,-40682000,22729000,0,228295000,None,None,450000,609000,None,1098000,None,47072000,-40034000,-13755000,None,-26279000,None,-39425000,7647000,-26279000
2016-12-31,USD,89047000,133330000,44283000,44283000,-49436000,16822000,0,138483000,None,87000,347000,260000,None,3108000,None,44283000,-46241000,-6449000,None,-39792000,None,-45981000,-1698000,-39792000
2017-12-31,USD,117913000,157148000,39235000,39235000,-37440000,16189000,0,155353000,None,148000,306000,158000,None,712000,None,39235000,-36580000,-5314000,None,-31266000,None,-36946000,2289000,-31266000
2018-12-31,USD,124197000,154156000,29959000,29959000,-25027000,16287000,0,149224000,None,-8000,400000,408000,None,None,None,29959000,-25205000,-798000,None,-24407000,None,-24797000,5162000,-24407000
2019-12-31,USD,123947000,145773000,21826000,21826000,-16246000,17169000,None,140193000,None,113000,548000,435000,None,1229000,None,23027000,-15452000,-239000,None,-15213000,None,-15017000,8010000,-15213000
2020-12-31,USD,68926000,86100000,17174000,17174000,-13992000,13920000,None,82918000,None,319000,402000,83000,None,903000,None,17174000,-13172000,24000,None,-13196000,None,-13089000,4085000,-13196000
2021-12-31,USD,11832000,24695000,12863000,12863000,-29230000,12046000,None,41062000,None,199000,220000,21000,None,None,None,12863000,-29117000,-26000,None,-29091000,None,-29096000,-16233000,-29091000
2022-12-31,USD,-6746000,51630000,58376000,58376000,-22201000,15455000,None,15455000,None,285000,316000,31000,None,None,None,11830000,-18538000,107000,None,-20451000,None,-18507000,-6677000,-18645000
2023-12-31,USD,1697000,96846000,95149000,95149000,-13070000,14767000,None,14767000,None,545000,605000,103000,None,None,None,8492000,-12243000,-96000,None,-14616000,None,-12140000,-3648000,-12147000
2024-12-31,USD,5397000,74154000,68757000,68757000,-4549000,9946000,None,9946000,None,149000,308000,159000,None,None,None,5736000,-4112000,7000,None,-4119000,None,-3953000,1783000,-4119000
2025-12-31,USD,7346000,75625000,68279000,68279000,-1136000,9010000,None,8482000,None,-419000,117000,-536000,None,None,None,5670000,-1935000,-6000,None,-1941000,None,-1136000,4534000,-1941000
