fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1998-03-31,1998-03-31,-0.0251,None,0,None,pre-market
1998-06-30,1998-06-30,-0.0197,None,0,None,pre-market
1998-09-30,1998-09-30,-0.0072,None,0,None,pre-market
1999-03-31,1999-03-31,-0.0312,None,0,None,pre-market
1999-06-30,1999-06-30,-0.0416,None,0,None,pre-market
1999-09-30,1999-09-30,-0.0123,None,0,None,pre-market
2000-03-31,2000-03-31,-0.1435,None,0,None,pre-market
2000-06-30,2000-06-30,-0.0294,None,0,None,pre-market
2000-09-30,2000-09-30,-0.0272,None,0,None,pre-market
2000-12-31,2000-12-31,-0.02,None,0,None,pre-market
2001-03-31,2001-03-31,-0.0061,None,0,None,pre-market
2001-06-30,2001-06-30,-0.0104,None,0,None,pre-market
2001-09-30,2001-09-30,-0.016,None,0,None,pre-market
2001-12-31,2001-12-31,-0.1169,None,0,None,pre-market
2002-03-31,2002-03-31,-0.0233,None,0,None,pre-market
2002-06-30,2002-06-30,-0.0021,None,0,None,pre-market
2002-09-30,2002-09-30,-0.033,None,0,None,pre-market
2002-12-31,2002-12-31,0.0392,None,0,None,pre-market
2003-03-31,2003-05-16,0.0574,None,0,None,pre-market
2003-06-30,2003-08-14,0.0087,None,0,None,pre-market
2003-09-30,2003-11-13,0.0085,None,0,None,pre-market
2003-12-31,2004-03-30,0.0752,None,0,None,pre-market
2004-03-31,2004-05-14,0.0575,None,0,None,pre-market
2004-06-30,2004-08-13,0.1,0.1,0,0,pre-market
2004-09-30,2004-11-01,0.16,0.12,0.04,33.3333,pre-market
2004-12-31,2005-03-07,0.08,0.08,0,0,pre-market
2005-03-31,2005-05-02,0.12,0.08,0.04,50,pre-market
2005-06-30,2005-08-10,0.0861,None,0,None,pre-market
2005-09-30,2005-11-03,0.2,0.18,0.02,11.1111,pre-market
2005-12-31,2006-03-08,0.09,0.17,-0.08,-47.0588,pre-market
2006-03-31,2006-05-09,0.18,0.16,0.02,12.5,pre-market
2006-06-30,2006-08-10,0.17,0.18,-0.01,-5.5556,pre-market
2006-09-30,2006-11-09,0.22,0.19,0.03,15.7895,pre-market
2006-12-31,2007-03-05,0.09,0.13,-0.04,-30.7692,pre-market
2007-03-31,2007-05-09,0.08,0.12,-0.04,-33.3333,pre-market
2007-06-30,2007-08-09,0.06,0.12,-0.06,-50,pre-market
2007-09-30,2007-11-09,0.15,0.12,0.03,25,pre-market
2007-12-31,2008-03-13,0.17,0.18,-0.01,-5.5556,pre-market
2008-03-31,2008-05-09,0.03,0.19,-0.16,-84.2105,pre-market
2008-06-30,2008-08-11,0.22,0.31,-0.09,-29.0323,pre-market
2008-09-30,2008-11-10,0.38,0.32,0.06,18.75,pre-market
2008-12-31,2009-03-16,-0.13,0.08,-0.21,-262.5,pre-market
2009-03-31,2009-05-12,-0.22,-0.13,-0.09,-69.2308,pre-market
2009-06-30,2009-08-10,-0.03,-0.12,0.09,75,pre-market
2009-09-30,2009-11-09,0.07,0.11,-0.04,-36.3636,pre-market
2009-12-31,2010-03-16,0.04,0.1,-0.06,-60,pre-market
2010-03-31,2010-05-10,0.11,0.12,-0.01,-8.3333,pre-market
2010-06-30,2010-08-09,0.18,0.19,-0.01,-5.2632,pre-market
2010-09-30,2010-11-08,0.22,0.19,0.03,15.7895,pre-market
2010-12-31,2011-03-14,0.15,0.26,-0.11,-42.3077,pre-market
2011-03-31,2011-05-09,0.19,0.18,0.01,5.5556,pre-market
2011-06-30,2011-08-08,0.2,0.19,0.01,5.2632,pre-market
2011-09-30,2011-11-07,0.11,0.23,-0.12,-52.1739,pre-market
2011-12-31,2012-03-12,0.15,0.2,-0.05,-25,pre-market
2012-03-31,2012-05-08,0.16,0.15,0.01,6.6667,pre-market
2012-06-30,2012-08-07,0.18,0.22,-0.04,-18.1818,pre-market
2012-09-30,2012-11-08,0.13,0.22,-0.09,-40.9091,pre-market
2012-12-31,2013-03-15,-0.32,None,0,None,pre-market
2013-03-31,2013-05-09,0.12,0.25,-0.13,-52,pre-market
2013-06-30,2013-08-08,0.12,0.19,-0.07,-36.8421,pre-market
2013-09-30,2013-11-07,0.04,0.27,-0.23,-85.1852,pre-market
2013-12-31,2014-03-13,0.46,0.34,0.12,35.2941,pre-market
2014-03-31,2014-05-07,-0.12,0.15,-0.27,-180,pre-market
2014-06-30,2014-08-06,0.43,0.3,0.13,43.3333,pre-market
2014-09-30,2014-11-10,0.05,0.1,-0.05,-50,post-market
2014-12-31,2015-03-16,-1.7015,0.09,-1.7915,-1990.5556,post-market
2015-03-31,2015-05-07,-0.11,-0.04,-0.07,-175,post-market
2015-06-30,2015-08-06,0.01,0.01,0,0,post-market
2015-09-30,2015-11-09,-0.11,-0.02,-0.09,-450,post-market
2015-12-31,2016-03-16,-0.23,-0.1,-0.13,-130,post-market
2016-03-31,2016-05-05,-0.13,-0.09,-0.04,-44.4444,post-market
2016-06-30,2016-08-08,0.02,-0.01,0.03,300,post-market
2016-09-30,2016-11-08,0.01,0.02,-0.01,-50,post-market
2016-12-31,2017-03-13,-0.06,0.01,-0.07,-700,post-market
2017-03-31,2017-05-08,0.07,-0.01,0.08,800,post-market
2017-06-30,2017-08-08,0.04,0.04,0,0,post-market
2017-09-30,2017-11-08,-0.01,0.01,-0.02,-200,post-market
2017-12-31,2018-03-07,-0.01,0.05,-0.06,-120,post-market
2018-03-31,2018-05-07,0.1491,None,0,None,post-market
2018-06-30,2018-08-06,0.0228,None,0,None,post-market
2018-09-30,2018-11-07,0.15,None,0,None,post-market
2018-12-31,2019-03-06,0.32,None,0,None,post-market
2019-03-31,2019-05-08,0.1,None,0,None,pre-market
2019-06-30,2019-08-08,-0.01,None,0,None,pre-market
2019-09-30,2019-11-06,-0.01,None,0,None,post-market
2019-12-31,2020-03-09,-0.01,None,0,None,post-market
2020-03-31,2020-05-11,0.12,None,0,None,pre-market
2020-06-30,2020-08-07,0.09,None,0,None,pre-market
2020-09-30,2020-11-06,0.04,None,0,None,pre-market
2020-12-31,2021-03-10,-0.1,None,0,None,pre-market
2021-03-31,2021-05-12,0.15,0.2,-0.05,-25,post-market
2021-06-30,2021-08-11,0.14,0.21,-0.07,-33.3333,post-market
2021-09-30,2021-11-03,0.17,0.09,0.08,88.8889,post-market
2021-12-31,2022-03-09,0.58,0.2,0.38,190,post-market
2022-03-31,2022-05-03,0.36,0.3,0.06,20,post-market
2022-06-30,2022-08-10,0.52,0.69,-0.17,-24.6377,post-market
2022-09-30,2022-11-08,0.11,0.16,-0.05,-31.25,post-market
2022-12-31,2023-03-31,0.17,0.3,-0.13,-43.3333,pre-market
2023-03-31,2023-05-09,0.07,0.17,-0.1,-58.8235,post-market
2023-06-30,2023-08-09,0.11,0.14,-0.03,-21.4286,post-market
2023-09-30,2023-11-07,0.07,0.14,-0.07,-50,post-market
2023-12-31,2024-03-13,0.37,0.12,0.25,208.3333,post-market
2024-03-31,2024-05-07,0.06,0.04,0.02,50,post-market
2024-06-30,2024-08-06,0.22,0.12,0.1,83.3333,post-market
2024-09-30,2024-11-11,0.08,0.14,-0.06,-42.8571,post-market
2024-12-31,2025-03-11,0.07,0.04,0.03,75,post-market
2025-03-31,2025-05-05,0.06,0.25,-0.19,-76,post-market
2025-06-30,2025-08-11,0.08,0.02,0.06,300,pre-market
2025-09-30,2025-11-10,-0.1,-0.02,-0.08,-400,pre-market
2025-12-31,2026-03-18,-0.02,-0.01,-0.01,-100,pre-market
