fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,1950603,150931,60786,60786,None,90145,1799672,None,None,None,None,None,None,None,None,None,None,510325,492325,274682,None,None,106121,18000,None,None,None,None,106121,111522,None,1440278,None,-9096978,50080,954376
2007-12-31,USD,1460774,487457,384630,384630,None,91769,973317,None,None,None,None,None,None,None,None,11058,None,352172,299972,274682,None,None,None,52200,None,None,None,None,None,25290,None,1108602,None,-10478654,55080,1119000
2008-12-31,USD,1115197,145355,124122,124122,None,12158,969842,None,None,None,None,None,None,None,None,9075,None,71592,19392,19392,None,None,None,52200,None,None,None,None,None,None,None,1043605,None,-10915310,57193,1186000
2009-12-31,USD,2137695,1217480,1171565,1171565,None,45915,920215,None,None,None,None,None,None,None,None,None,None,44783,10583,10583,None,None,None,34200,None,None,None,None,None,10583,None,2092912,None,-11131219,74553,1267000
2010-12-31,USD,377155,121940,68689,68689,None,45915,255215,None,None,None,None,None,None,None,None,7336,None,149065,149065,149065,None,None,None,None,None,None,None,None,None,149065,None,228090,None,-13759121,83069,1677000
2011-12-31,USD,326930,13273,4978,4978,None,7195,313657,None,None,None,None,None,None,None,None,1100,None,111487,111487,11487,None,None,100000,None,None,None,None,None,100000,11487,None,215443,None,-14006553,85564,1754419
2012-12-31,USD,324397,23236,20766,20766,None,1370,301161,None,None,None,None,None,None,None,None,2200,None,10135,10135,10135,None,None,None,None,None,None,None,None,None,10135,None,314262,None,-14259901,91564,1908000
2013-12-31,USD,228591,5126,2926,2926,None,None,223465,None,None,None,None,None,None,None,None,4400,None,92152,92152,572,None,None,91580,None,None,None,None,None,91580,572,None,136439,None,-14487724,7630,1908000
2014-12-31,USD,82,82,82,82,None,None,None,None,None,None,None,None,None,None,None,None,None,228,228,228,None,None,None,None,None,None,None,None,None,228,None,-146,None,-14724309,7630,1908000
2015-12-31,USD,199580,18105,18105,18105,None,None,181475,None,None,None,None,None,None,None,None,None,None,8175,8175,8175,None,None,None,None,None,None,None,None,None,8175,None,191405,None,-14899233,8710,2178000
2016-12-31,USD,382743,82743,68743,68743,None,None,300000,None,None,None,None,None,None,None,None,14000,None,81362,22518,22518,None,None,0,58844,None,58840,None,None,58844,22518,None,301381,None,-15281148,8710,2182000
2017-12-31,USD,377780,77780,77780,77780,None,None,300000,None,None,None,None,None,None,None,None,None,None,249586,202220,64964,None,None,137256,47366,None,47370,None,None,184626,64964,None,128194,None,-16111215,8803,2714767
2018-12-31,USD,1997273,367503,84631,84631,None,124577,1629770,1629770,None,None,None,None,None,0,113081,158295,None,2147456,740986,320749,None,None,279204,1406470,None,1175820,279204,None,1455024,141033,None,-150183,None,-17128346,17345,3288000
2019-12-31,USD,11014580,1706837,0,0,476305,982814,9307743,9307743,None,None,None,None,None,None,None,247718,None,15953235,2238066,1025585,None,None,96704,13715169,None,7715118,96704,None,7811824,11861,None,-4938655,None,-23782948,20367,4966819
2020-12-31,USD,11249601,2222533,157695,157695,531309,1251634,9027068,8225018,None,None,None,None,None,0,None,281895,None,29690639,6072710,1937743,None,None,1391387,23617929,623778,7719703,1301618,None,9645099,45749,None,-18441038,None,-40618381,24892,5677000
2021-12-31,USD,50089651,13118020,3611871,3611871,1037880,7733905,36971631,30677020,None,None,None,None,None,4810000,None,734364,None,40255498,12054487,4329535,None,None,1880768,28201011,826416,6914101,1700663,None,9441180,5844184,-1000000,9834153,None,-59233343,79362,3658000
2022-12-31,USD,71545075,22734973,11944442,11944442,1840274,7780239,48810102,45311170,None,None,None,None,None,2779000,None,1170018,None,48309194,17620660,5843366,None,None,2316284,30688534,804667,5140102,2059309,None,8004078,9461010,None,23235881,None,-52149213,81615,23822000
2023-12-31,USD,92615616,18744904,7792508,7792508,1433454,8354635,73870712,72396210,None,None,None,None,None,0,None,1164307,None,57659156,25049572,16437218,None,None,1537051,32609584,977204,4596775,1104229,None,6678208,7075303,None,34956460,None,-64618818,85025,22732000
2024-12-31,USD,123868471,12350945,2251464,2251464,1304699,8154433,111517526,110092330,None,None,None,None,None,None,None,640349,None,61103287,21270471,10452237,None,None,470244,39832816,544381,11266127,69552,None,11880060,10347990,None,62765184,None,-80816807,93188,30065000
2025-12-31,USD,65873000,8180000,1189000,1189000,1262000,5122000,57693000,56299000,None,None,None,None,None,None,None,607000,None,70479000,24342000,10799000,None,None,927000,46137000,298000,15438000,641000,None,15354000,12616000,None,-4606000,None,-152891000,94000,34056054
