fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,8730760,1403997,433465,433465,455247,316162,7326763,6141000,None,None,None,None,None,None,None,199123,None,4208511,784972,400161,None,None,None,3423539,None,2977000,None,None,2976224,384811,None,4522249,None,-4871100,24788,24780405
2006-03-31,USD,9794147,993449,207831,207831,348225,266230,8800698,7796000,None,None,None,None,None,None,None,171163,None,5356233,4901592,565975,None,None,4062946,454641,None,None,None,None,4062946,272671,None,4437914,None,-5479233,25210,25309557
2006-06-30,USD,48957958,10321359,9893547,9893547,76917,132371,38636599,3568000,None,None,None,None,None,None,None,218524,None,17825287,3809758,310272,None,None,None,14015529,None,None,None,None,None,3499486,None,31132671,None,21096983,26300,25309557
2006-09-30,USD,45527914,6609386,5977209,5977209,103932,350367,38918528,3530000,None,None,None,None,None,None,None,177878,None,14372429,352781,241849,None,None,None,14019648,None,None,None,None,None,110932,None,31155485,None,20636947,26300,26651999
2006-12-31,USD,44692369,40677699,40129711,40129711,177420,153583,4014670,3635000,None,None,None,None,None,None,None,216985,None,13595506,12672951,123752,None,None,None,922555,None,None,None,None,None,12549199,None,31096863,None,20215290,26350,26685151
2007-03-31,USD,37239398,32881553,32273816,32273816,219518,168797,4357845,3980000,None,None,None,None,None,None,None,219422,None,6221052,5282277,302839,None,None,None,938775,None,None,None,None,None,4979438,None,31018346,None,19760705,26408,26720444
2007-06-30,USD,34905992,28921518,27746942,27746942,274813,633910,5984474,5614000,None,None,None,None,None,None,None,265853,None,2122846,1596558,993894,None,None,None,526288,None,None,None,None,None,602664,None,32783146,None,20358997,26776,26720444
2007-09-30,USD,35223897,27266789,25301272,25301272,241085,1574558,7957108,7588000,None,None,None,None,None,None,None,149874,None,2706125,2151183,1107539,None,None,None,554942,None,None,None,None,None,1043644,None,32517772,None,19717616,26776,26776234
2007-12-31,USD,35238480,23553619,21476116,21476116,None,1622098,11684861,11312000,None,None,None,None,None,None,None,455405,None,3049975,2489238,1887719,None,None,None,560737,None,None,None,None,None,-388792,None,32188505,None,18946759,26807,26777366
2008-03-31,USD,36263918,21690159,19875284,19875284,None,1739996,14573759,14216000,None,None,None,None,None,None,None,74879,None,4117476,3531681,3020560,None,None,None,585795,None,None,None,None,None,-793044,None,32146442,None,18410774,26860,26784473
