fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,928737000,None,None,None,None,110946000,164651000,None,None,None,-95300000,-79085000,None,None,None,None,37894000,37894000,None,None,None,None,-12852000,None,None,None,None,46334000
2006-03-31,USD,120060000,None,None,None,None,40101000,38889000,None,None,None,3029000,-110610000,None,None,None,None,None,None,None,None,None,None,-80928000,None,None,None,None,30651000
2006-06-30,USD,398581000,None,None,None,None,45956000,52538000,None,None,None,-50980000,-360463000,None,None,None,None,116289000,116289000,None,None,None,None,-204861000,None,None,None,None,67553000
2006-09-30,USD,379469000,None,None,None,None,44400000,53990000,None,None,None,-45866000,-3465000,None,None,None,None,992000,992000,None,None,None,None,-14046000,None,None,None,None,75611000
2006-12-31,USD,351477000,None,None,None,None,80447000,62056000,None,4091000,None,-64427000,-166489000,None,None,None,None,71646000,71646000,None,None,None,None,-185719000,None,None,None,None,92653000
2007-03-31,USD,179892000,None,None,None,None,47944000,47143000,None,None,None,42736000,-96824000,None,None,None,None,None,None,None,None,None,None,-114987000,None,None,None,None,90948000
2007-06-30,USD,253260401,None,None,None,None,48567769,41923962.65,None,-27600000,None,-40299517.74,-378019320.65,None,None,None,None,371395000,371395000,None,None,None,None,-1693428.28,None,9200000,None,None,108978905
2007-09-30,USD,530644564,None,None,None,None,56462815,113709982.71,None,None,None,-79922676.02,-223245924.03,None,None,None,None,20163109.25,20163109.25,None,None,None,None,-6327120.56,None,14889613.82,None,None,119436080
2007-12-31,USD,240075487,None,None,None,None,84533980,178928042.47,None,523956000,None,-176789397.83,-31203478.42,None,None,None,None,8515842.47,8515842.47,None,None,None,None,-2672244.71,None,10643416.39,None,None,-132738699.03
2008-03-31,USD,92863121,None,None,None,None,53696362,107550656.2,None,None,None,-106129281.89,75806629,None,None,None,None,None,None,None,None,None,None,None,None,4895844,None,None,141979500
2008-06-30,USD,59155133,None,None,None,None,59294431,125040420.99,None,None,None,-125045476.16,-273461834.89,None,None,None,None,197008000,197008000,None,None,None,None,None,None,4861020,None,None,161584902
2008-09-30,USD,191433463,None,None,None,None,81152480,128202414.71,None,None,None,-147524467.92,-13265882.91,None,None,None,None,20489830.97,20489830.97,None,None,None,None,40979661,None,-9756865.21,None,None,139144297
