fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2013-09-30,2013-10-22,0.53,0.59,-0.06,-10.1695,pre-market
2013-12-31,2014-02-06,0.72,0.65,0.07,10.7692,pre-market
2014-03-31,2014-04-22,0.57,0.5,0.07,14,pre-market
2014-06-30,2014-07-22,0.72,0.63,0.09,14.2857,pre-market
2014-09-30,2014-10-21,0.78,0.8,-0.02,-2.5,pre-market
2014-12-31,2015-02-10,0.88,0.78,0.1,12.8205,pre-market
2015-03-31,2015-04-21,0.63,0.59,0.04,6.7797,pre-market
2015-06-30,2015-07-21,0.52,0.61,-0.09,-14.7541,pre-market
2015-09-30,2015-10-20,0.61,0.58,0.03,5.1724,pre-market
2015-12-31,2016-02-15,0.46,0.48,-0.02,-4.1667,pre-market
2016-03-31,2016-04-28,0.22,0.3,-0.08,-26.6667,pre-market
2016-06-30,2016-07-28,0.35,0.28,0.07,25,pre-market
2016-09-30,2016-10-27,0.35,0.25,0.1,40,pre-market
2016-12-31,2017-01-13,0.36,0.3,0.06,20,post-market
2017-03-31,2017-04-26,0.71,0.31,0.4,129.0323,post-market
2017-06-30,2017-07-26,0.45,0.37,0.08,21.6216,post-market
2017-09-30,2017-10-25,0.39,0.46,-0.07,-15.2174,post-market
2017-12-31,2018-02-21,0.2,0.43,-0.23,-53.4884,post-market
2018-03-31,2018-05-09,0.28,0.34,-0.06,-17.6471,post-market
2018-06-30,2018-07-25,0.28,0.38,-0.1,-26.3158,post-market
2018-09-30,2018-10-24,0.31,0.39,-0.08,-20.5128,post-market
2018-12-31,2019-02-20,-0.09,0.37,-0.46,-124.3243,post-market
2019-03-31,2019-04-25,0.06,0.29,-0.23,-79.3103,post-market
2019-06-30,2019-07-24,0.39,0.35,0.04,11.4286,post-market
2019-09-30,2019-10-23,0.12,0.5,-0.38,-76,post-market
2019-12-31,2020-02-26,0.03,0.42,-0.39,-92.8571,post-market
2020-03-31,2020-04-22,-0.11,0.22,-0.33,-150,post-market
2020-06-30,2020-07-29,0.09,0.06,0.03,50,post-market
2020-09-30,2020-10-21,0.16,0.22,-0.06,-27.2727,post-market
2020-12-31,2021-02-24,0.05,0.2,-0.15,-75,post-market
2021-03-31,2021-04-27,-0.03,-0.07,0.04,57.1429,post-market
2021-06-30,2021-07-21,-0.06,-0.01,-0.05,-500,post-market
2021-09-30,2021-10-20,-0.06,0.02,-0.08,-400,post-market
2021-12-31,2022-02-23,-0.12,-0.01,-0.11,-1100,post-market
2022-03-31,2022-04-27,-0.03,0.0019,-0.0319,-1678.9474,post-market
2022-06-30,2022-07-27,0.02,0.04,-0.02,-50,post-market
2022-09-30,2022-10-26,0.03,0.1,-0.07,-70,post-market
2022-12-31,2023-02-23,-0.05,0.03,-0.08,-266.6667,pre-market
2023-03-31,2023-04-27,0.0009,0.02,-0.0191,-95.5,pre-market
2023-06-30,2023-07-27,0.1,0.15,-0.05,-33.3333,pre-market
2023-09-30,2023-10-26,0.21,0.19,0.02,10.5263,pre-market
2023-12-31,2024-02-22,0.14,0.12,0.02,16.6667,pre-market
2024-03-31,2024-04-25,0.22,0.16,0.06,37.5,pre-market
2024-06-30,2024-07-25,0.43,0.31,0.12,38.7097,pre-market
2024-09-30,2024-10-24,0.64,0.39,0.25,64.1026,pre-market
2024-12-31,2025-02-27,0.54,0.35,0.19,54.2857,pre-market
2025-03-31,2025-04-25,0.33,0.3666,-0.0366,-9.9836,post-market
2025-06-30,2025-07-24,0.68,0.58,0.1,17.2414,pre-market
2025-09-30,2025-10-23,0.75,0.66,0.09,13.6364,pre-market
2025-12-31,2026-02-19,0.7,0.508,0.192,37.7953,pre-market
2026-03-31,2026-04-23,0,0.5129,-0.5129,-100,pre-market
