fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,11262000,None,None,None,None,8277000,1260000,None,-4664000,None,-6842000,-5201000,None,None,None,None,10408000,10408000,None,None,None,None,None,None,None,None,None,8381000
2007-12-31,USD,33929000,None,None,None,None,40404000,8235000,None,-143000,None,-321342000,296946000,None,None,None,None,17175000,17175000,None,None,None,None,None,None,3434000,None,None,-13550000
2008-12-31,USD,94808000,None,None,None,None,71370000,266245000,None,-5557000,None,-333724000,246050000,None,None,None,None,50534000,50534000,None,None,None,None,-16667000,None,-2063000,None,None,26089000
2009-12-31,USD,90079000,None,None,None,None,67586000,30332000,None,-16559000,None,-29233000,-75683000,None,None,None,None,60080000,60080000,None,None,None,None,None,None,4248000,None,None,6178000
2010-12-31,USD,90463000,None,None,None,None,53557000,12400000,None,-16870000,None,-340738000,251889000,None,None,None,None,67824000,67824000,None,None,None,None,941829000,None,81629000,None,None,-50541000
2011-12-31,USD,58307000,None,None,None,None,61926000,27992000,21852000,-46151000,None,-172297000,119045000,None,None,None,None,112844000,112844000,None,None,None,None,777600000,None,-15000,5055000,None,51249000
2012-12-31,USD,189304000,None,None,None,None,61166000,146456000,21804000,14074000,None,-401607000,212768000,None,None,None,None,142383000,142383000,None,None,None,None,1775400000,None,7197000,465000,None,96319000
2013-12-31,USD,138386000,None,None,None,None,64796000,343119000,21262000,1720000,None,-655830000,515028000,None,None,None,None,168441000,168441000,None,None,None,None,1943300000,None,12473000,-2416000,None,86109000
2014-12-31,USD,291054000,None,None,None,None,90908000,443482000,21235000,38501000,None,-623987000,333529000,None,None,None,None,200461000,200461000,None,None,None,None,2189900000,None,4494000,596000,None,106202000
2015-12-31,USD,289536000,None,None,None,None,150140000,495774000,20664000,3811000,None,-1989459000,1701356000,None,None,None,None,256389000,256389000,None,None,None,None,2664768000,None,5014000,1433000,None,421585000
2016-12-31,USD,298338000,None,None,None,None,222196000,463100000,20672000,-54361000,None,-450309000,148105000,None,None,None,None,310039000,310039000,None,None,None,None,1115800000,None,6558000,-3866000,None,111082000
2017-12-31,USD,338858000,None,None,None,None,15905000,250593000,20668000,49055000,None,-1474873000,1138027000,None,None,None,None,321875000,321875000,None,None,None,None,2458700000,None,-5775000,2012000,None,82079000
2018-12-31,USD,390039000,None,None,None,None,16490000,195367000,20668000,20963000,None,140693000,-529473000,None,None,None,None,257416000,257416000,None,None,None,None,2592000,None,3941000,1259000,None,-11792000
2019-12-31,USD,382287000,None,None,None,None,331989000,163248000,20668000,7659000,None,-140811000,-195371000,None,None,None,None,313180000,313180000,None,None,None,None,815100000,None,8496000,46105000,None,100066000
2020-12-31,USD,296745000,None,None,None,None,571784000,144133000,None,-34740000,None,-103756000,-222376000,None,None,None,None,197316000,197316000,None,None,None,None,2354000,None,-3693000,-29387000,None,-400314000
2021-12-31,USD,337951000,None,None,None,None,339628000,301395000,None,20370000,None,-274117000,-65860000,None,None,None,None,148284000,148284000,None,None,None,None,1035675000,None,8783000,-2026000,None,-138032000
2022-12-31,USD,334395000,None,None,None,None,296205000,424195000,None,2087000,None,-374519000,41699000,None,None,None,None,148284000,148284000,None,None,None,None,-288629000,None,17810000,1575000,None,129135000
2023-12-31,USD,521126000,None,None,None,None,292229000,620019000,None,-37566000,None,-593648000,73993000,None,None,None,None,167460000,167460000,None,None,None,None,-76044000,None,25379000,None,None,117720000
2024-12-31,USD,391934000,None,None,None,None,313158000,587145000,None,38824000,None,-552164000,161744000,None,None,None,None,162893000,162893000,None,None,None,None,0,None,5234000,None,None,-33007000
2025-12-31,USD,275219000,None,None,None,None,243383000,186888000,None,-23018000,None,878355000,-1176689000,None,None,None,None,152400000,152400000,None,None,None,None,-262500000,None,-15251000,None,None,-16658000
