fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2005-09-30,2005-11-14,-0.18,-0.29,0.11,37.931,pre-market
2005-12-31,2006-02-28,0.85,0.89,-0.04,-4.4944,pre-market
2006-03-31,2006-05-11,1.1,1.07,0.03,2.8037,pre-market
2006-06-30,2006-08-10,0.3,-0.07,0.37,528.5714,pre-market
2006-09-30,2006-11-09,0.54,0.04,0.5,1250,pre-market
2006-12-31,2007-03-15,0.97,0.98,-0.01,-1.0204,pre-market
2007-03-31,2007-05-10,1.75,1.29,0.46,35.6589,pre-market
2007-06-30,2007-08-08,0.05,0.2,-0.15,-75,pre-market
2007-09-30,2007-11-08,0.19,0.25,-0.06,-24,pre-market
2007-12-31,2008-03-13,0.72,0.89,-0.17,-19.1011,pre-market
2008-03-31,2008-05-08,0.63,0.55,0.08,14.5455,pre-market
2008-06-30,2008-08-07,-0.09,None,0,None,pre-market
2008-09-30,2008-11-06,0.08,0.11,-0.03,-27.2727,pre-market
2008-12-31,2009-03-12,0.78,0.73,0.05,6.8493,pre-market
2009-03-31,2009-05-07,1.4,0.81,0.59,72.8395,pre-market
2009-06-30,2009-08-06,0.07,0.02,0.05,250,pre-market
2009-09-30,2009-11-05,0.15,1.84,-1.69,-91.8478,pre-market
2009-12-31,2010-03-11,0.8,0.8,0,0,pre-market
2010-03-31,2010-05-06,1.06,1.43,-0.37,-25.8741,pre-market
2010-06-30,2010-08-05,-0.07,0.06,-0.13,-216.6667,pre-market
2010-09-30,2010-11-04,0.03,-0.1,0.13,130,pre-market
2010-12-31,2011-03-10,0.32,0.53,-0.21,-39.6226,pre-market
2011-03-31,2011-05-05,0.39,0.45,-0.06,-13.3333,pre-market
2011-06-30,2011-08-04,-0.04,-0.06,0.02,33.3333,pre-market
2011-09-30,2011-11-03,0.16,-0.11,0.27,245.4545,pre-market
2011-12-31,2012-03-08,0.45,0.39,0.06,15.3846,pre-market
2012-03-31,2012-05-08,0.11,0.22,-0.11,-50,pre-market
2012-06-30,2012-08-08,0.66,0.2,0.46,230,pre-market
2012-09-30,2012-11-08,0.24,0.39,-0.15,-38.4615,pre-market
2012-12-31,2013-03-14,0.81,0.5,0.31,62,pre-market
2013-03-31,2013-05-09,0.51,0.46,0.05,10.8696,pre-market
2013-06-30,2013-08-08,0.29,0.76,-0.47,-61.8421,pre-market
2013-09-30,2013-11-07,0.09,0.38,-0.29,-76.3158,pre-market
2013-12-31,2014-03-31,1.2,0.48,0.72,150,pre-market
2014-03-31,2014-05-08,2.03,0.55,1.48,269.0909,pre-market
2014-06-30,2014-08-07,-0.5,-0.1,-0.4,-400,pre-market
2014-09-30,2014-11-06,1.5,0.15,1.35,900,pre-market
2014-12-31,2015-03-12,0.93,0.46,0.47,102.1739,pre-market
2015-03-31,2015-05-07,0.92,0.57,0.35,61.4035,pre-market
2015-06-30,2015-08-06,0.15,0.12,0.03,25,pre-market
2015-09-30,2015-11-05,0.16,0.35,-0.19,-54.2857,pre-market
2015-12-31,2016-02-29,-0.07,-0.1,0.03,30,pre-market
2016-03-31,2016-05-09,-0.21,-0.13,-0.08,-61.5385,pre-market
2016-06-30,2016-08-08,-0.22,-0.18,-0.04,-22.2222,pre-market
2016-09-30,2016-11-07,0.87,0.01,0.86,8600,pre-market
2016-12-31,2017-03-09,0.46,-1.35,1.81,134.0741,pre-market
2017-03-31,2017-05-09,0.68,-0.05,0.73,1460,pre-market
2017-06-30,2017-08-09,0.07,0.06,0.01,16.6667,pre-market
2017-09-30,2017-11-08,0.44,0.24,0.2,83.3333,pre-market
2017-12-31,2018-03-08,0.2,0.16,0.04,25,pre-market
2018-03-31,2018-05-09,0.18,0.15,0.03,20,pre-market
2018-06-30,2018-08-09,0.19,0.12,0.07,58.3333,pre-market
2018-09-30,2018-11-08,-0.41,0.27,-0.68,-251.8519,pre-market
2018-12-31,2019-03-07,1.47,0.06,1.41,2350,pre-market
2019-03-31,2019-05-09,0.15,0.07,0.08,114.2857,pre-market
2019-06-30,2019-08-08,0.36,0.02,0.34,1700,pre-market
2019-09-30,2019-11-07,0.74,0.2,0.54,270,pre-market
2019-12-31,2020-03-06,-0.08,-0.1,0.02,20,pre-market
2020-03-31,2020-05-08,0.05,0.12,-0.07,-58.3333,pre-market
2020-06-30,2020-08-06,2.21,-0.79,3,379.7468,pre-market
2020-09-30,2020-11-05,0.47,0.12,0.35,291.6667,pre-market
2020-12-31,2021-03-05,0.06,-0.17,0.23,135.2941,pre-market
2021-03-31,2021-05-07,-0.2,-0.05,-0.15,-300,pre-market
2021-06-30,2021-08-06,0.23,0.52,-0.29,-55.7692,pre-market
2021-09-30,2021-11-05,0.86,0.64,0.22,34.375,pre-market
2021-12-31,2022-02-28,0.44,0.23,0.21,91.3043,pre-market
2022-03-31,2022-05-06,0.76,-0.11,0.87,790.9091,pre-market
2022-06-30,2022-08-05,4.61,1.21,3.4,280.9917,pre-market
2022-09-30,2022-11-04,3.12,1.33,1.79,134.5865,pre-market
2022-12-31,2023-02-27,1.54,1.4,0.14,10,pre-market
2023-03-31,2023-05-05,0.7,0.65,0.05,7.6923,pre-market
2023-06-30,2023-08-04,1.05,1.28,-0.23,-17.9688,pre-market
2023-09-30,2023-11-09,0.6,0.69,-0.09,-13.0435,pre-market
2023-12-31,2024-02-28,1.41,0.96,0.45,46.875,pre-market
2024-03-31,2024-05-08,-0.37,0.1,-0.47,-470,pre-market
2024-06-30,2024-08-07,1.17,1.5,-0.33,-22,pre-market
2024-09-30,2024-11-08,1.17,1.57,-0.4,-25.4777,pre-market
2024-12-31,2025-02-26,0.52,0.24,0.28,116.6667,pre-market
2025-03-31,2025-05-06,0.36,-0.03,0.39,1300,pre-market
2025-06-30,2025-08-07,0.55,0.42,0.13,30.9524,pre-market
2025-09-30,2025-11-07,0.66,0.85,-0.19,-22.3529,pre-market
2025-12-31,2026-02-27,0.54,0.96,-0.42,-43.75,pre-market
