fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,4290187000,923900000,206264000,206264000,3660000,376091000,3366287000,2212458000,None,27705000,27705000,822556000,None,None,285395000,52490000,None,2704437000,613376000,240067000,None,None,25887000,2091061000,None,1454469000,None,None,1480356000,199650000,None,1525948000,None,752784000,745928000,89874000
2007-12-31,USD,5452353000,727269000,89555000,89555000,29925000,527703000,4725084000,3244688000,None,29238000,29238000,1089758000,None,None,None,80086000,None,3341861000,678979000,382767000,None,None,74846000,2662882000,None,1725541000,None,None,1800387000,221366000,None,1846566000,None,1069546000,755758000,95938000
2008-12-31,USD,5070338000,950307000,223613000,223613000,32195000,600469000,4120031000,3419590000,None,381760000,381760000,366218000,None,None,None,94030000,None,3577066000,672798000,346235000,None,None,93540000,2904268000,None,1968502000,None,None,2062042000,233023000,None,1170645000,None,435506000,768835000,90650000
2009-12-31,USD,3779533000,565560000,270673000,270673000,25755000,189160000,3213973000,2863706000,None,79411000,79411000,78643000,None,None,None,79972000,None,2352071000,368488000,155457000,None,None,12424000,1983583000,None,1348315000,None,None,1360739000,200607000,None,1427462000,None,519807000,907691000,105720000
2010-12-31,USD,3592020000,740854000,391085000,391085000,25333000,234050000,2851166000,2527080000,-1958997000,636000,636000,62494000,None,187031000,0,90386000,None,2306376000,367797000,159381000,None,None,10179000,1938579000,None,1347753000,None,None,1357932000,198237000,176187000,1285644000,0,392705000,906957000,103857000
2011-12-31,USD,3582347000,944242000,546465000,546465000,18066000,185892000,2638105000,2331327000,-2059737000,531000,531000,62215000,None,175656000,0,98459000,None,2132806000,396176000,147043000,None,None,7877000,1736630000,None,1147444000,None,None,1155321000,239963000,170576000,1449541000,0,522644000,908776000,104953000
2012-12-31,USD,3386580000,804107000,437100000,437100000,2480000,201360000,2582473000,1485875000,565921000,491000,491000,62935000,None,167599000,0,163167000,None,1967166000,453046000,92398000,None,None,16607000,1514120000,None,1002621000,None,None,1019228000,332740000,5025000,1393385000,0,476310000,932742000,104449000
2013-12-31,USD,2544280000,743647000,478200000,478200000,1038000,184950000,1800633000,1528294000,-431489000,622000,622000,63230000,None,157919000,157919000,71870000,None,1020170000,190220000,72602000,None,None,20376000,829950000,None,545776000,None,None,566152000,76874000,18295000,1524110000,None,586232000,933507000,105184000
2014-12-31,USD,2700698000,694273000,476492000,476492000,1857000,162549000,2006425000,1735384000,-506060000,696000,696000,62146000,None,149623000,149623000,53375000,None,1047224000,225613000,83403000,None,None,28144000,821611000,None,523228000,28705000,None,551372000,93462000,38108000,1653474000,None,781279000,934447000,105045000
2015-12-31,USD,2411952000,684035000,494192000,494192000,4985000,114594000,1727917000,1603009000,-941848000,781000,781000,45107000,None,26613000,0,70264000,None,1132989000,210912000,65370000,None,None,71640000,922077000,None,677695000,73113000,None,761328000,58800000,51415000,1278963000,0,404299000,945565000,105416000
2016-12-31,USD,2246941000,522782000,356647000,356647000,2548000,112153000,1724159000,1651610000,-799280000,0,0,0,None,0,0,41434000,None,965127000,186395000,60210000,None,None,67571000,778732000,None,558396000,67571000,None,625967000,48489000,52985000,1281814000,0,322854000,1055934000,111612000
2017-12-31,USD,2362837000,451643000,266592000,266592000,-311000,143283000,1911194000,1805989000,-889783000,0,0,0,None,655000,311000,41768000,None,795444000,265639000,81299000,None,None,109861000,529805000,None,385766000,109861000,None,495627000,59071000,40690000,1567393000,0,352906000,1284274000,145300000
