fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,1742851000,331191000,37833000,37833000,3495000,233880000,1411660000,1019825000,None,101731000,101731000,106251000,None,None,None,59478000,None,1037898000,248631000,115314000,None,None,6438000,789267000,None,438256000,None,None,444694000,126879000,None,704953000,-3900000,464136000,242056000,83803000
2006-06-30,USD,1880587000,380661000,38278000,38278000,3512000,284278000,1499926000,1094303000,None,21463000,21463000,105012000,None,None,None,58105000,None,1096085000,279955000,138006000,None,None,6316000,816130000,None,437970000,None,None,444286000,135633000,None,784502000,-3977000,533276000,245483000,83965000
2006-09-30,USD,3709947000,514908000,127785000,127785000,3441000,299980000,3195039000,2046494000,None,833398000,833398000,805706000,None,None,None,87143000,None,2158774000,400317000,208398000,None,None,14727000,1758457000,None,1262098000,None,None,1276825000,177192000,None,1407878000,-4017000,590305000,802046000,96918000
2006-12-31,USD,4290187000,923900000,206264000,206264000,3660000,376091000,3366287000,2212458000,None,27705000,27705000,822556000,None,None,285395000,52490000,None,2704437000,613376000,240067000,None,None,25887000,2091061000,None,1454469000,None,None,1480356000,199650000,None,1525948000,None,752784000,745928000,89994000
2007-03-31,USD,4159771000,651332000,183134000,183134000,36790000,393020000,3508439000,2341552000,None,26604000,26604000,824137000,None,None,19575000,55603000,None,2514203000,437344000,210688000,None,None,25993000,2076859000,None,1420764000,None,None,1446757000,190694000,None,1577043000,None,808604000,748756000,94312000
2007-06-30,USD,4267149000,551448000,96390000,96390000,8773000,385453000,3715701000,2537396000,None,24347000,24347000,828228000,None,None,10000000,50832000,None,2545208000,483190000,268877000,None,None,26165000,2062018000,None,1386011000,None,None,1412176000,188148000,None,1648789000,None,866306000,752623000,95991000
2007-09-30,USD,4546040000,613213000,50436000,50436000,6431000,463513000,3932827000,2751842000,None,21510000,21510000,835073000,None,None,None,92833000,None,2734570000,589915000,261569000,None,None,25978000,2144655000,None,1444649000,None,None,1470627000,238110000,None,1731379000,None,949134000,749227000,95649000
2007-12-31,USD,5452353000,727269000,89555000,89555000,29925000,527703000,4725084000,3244688000,None,29238000,29238000,1089758000,None,None,None,80086000,None,3341861000,678979000,382767000,None,None,74846000,2662882000,None,1725541000,None,None,1800387000,199823000,None,1846566000,None,1069546000,755758000,90413000
2008-03-31,USD,5587970000,702847000,176119000,176119000,35399000,413088000,4885123000,3394770000,None,27271000,27271000,1087904000,None,None,None,78241000,None,3394414000,617837000,321595000,None,None,54301000,2776577000,None,1835878000,None,None,1890179000,213412000,None,1925578000,None,1143881000,762075000,95086000
2008-06-30,USD,5734445000,698084000,23148000,23148000,36445000,512737000,5036361000,3536052000,None,1110322000,1110322000,1084711000,None,None,None,162199000,None,3437505000,830872000,324961000,None,None,163656000,2606633000,None,1697797000,None,None,1861453000,246567000,None,2021819000,None,1234783000,769834000,95718000
2008-09-30,USD,5819494000,761015000,35761000,35761000,36686000,576876000,5058479000,3607670000,None,21907000,21907000,1077411000,None,None,None,148378000,None,3450724000,651183000,344088000,None,None,93540000,2799541000,None,1815083000,None,None,1908623000,213555000,None,2072522000,None,1295370000,772306000,94583000
2008-12-31,USD,5070338000,950307000,223613000,223613000,32195000,600469000,4120031000,3419590000,None,381760000,381760000,366218000,None,None,None,94030000,None,3577066000,672798000,346235000,None,None,93540000,2904268000,None,1968502000,None,None,2062042000,233023000,None,1170645000,None,435506000,768835000,95052000
2009-03-31,USD,5062688000,965819000,251585000,251585000,31754000,443704000,4096869000,3419350000,None,5598000,5598000,365641000,None,None,None,238776000,None,3408292000,608238000,271969000,None,None,93644000,2800054000,None,1912357000,None,None,2006001000,199330000,None,1321427000,None,471390000,891809000,105863000
2009-06-30,USD,4023137000,649191000,261930000,261930000,28826000,247268000,3373946000,2823216000,None,888000,888000,77515000,None,None,None,113520000,None,2556117000,478724000,165342000,None,None,11150000,2077393000,None,1348713000,None,None,1362443000,214517000,None,1467020000,None,571609000,895305000,105995000
2009-09-30,USD,3971090000,765753000,410506000,410506000,26856000,218563000,3205337000,2856332000,None,842000,842000,78220000,None,None,4945000,109828000,None,2495537000,497342000,177118000,None,None,13135000,1998195000,None,1347395000,None,None,1360531000,190951000,None,1475553000,None,575504000,905455000,101334000
2009-12-31,USD,3779533000,565560000,270673000,270673000,25755000,180668000,3213973000,2863706000,None,768000,768000,78643000,None,None,None,79972000,None,2352071000,368488000,155457000,None,None,12424000,1983583000,None,1348315000,None,None,1360739000,196935000,None,1405257000,None,519807000,907691000,103090000
2010-03-31,USD,3730947000,528783000,212178000,212178000,25108000,187115000,3202164000,2851515000,None,754000,754000,77771000,None,None,10000000,84973000,None,2317614000,350300000,135985000,None,None,11834000,1967314000,None,1347007000,None,None,1358841000,198864000,None,1413333000,None,501916000,907362000,103090000
2010-06-30,USD,3606573000,595048000,270001000,270001000,25808000,214538000,3011525000,2665560000,-1789416000,713000,713000,76134000,None,187694000,0,84701000,None,2281079000,377525000,163975000,None,None,11396000,1903554000,None,1347994000,None,None,1359390000,192966000,170908000,1302016000,0,416365000,906153000,104125000
2010-09-30,USD,3645259000,669276000,325480000,325480000,25294000,224375000,2975983000,2630778000,-1863609000,729000,729000,79093000,None,187112000,None,94127000,None,2291583000,374295000,165484000,None,None,10845000,1917288000,None,1346698000,None,None,1357543000,194911000,170941000,1329422000,None,442526000,905880000,105307000
2010-12-31,USD,3592020000,740854000,391085000,391085000,25333000,234050000,2851166000,2527080000,-1958997000,636000,636000,62494000,None,187031000,0,90386000,None,2306376000,367797000,159381000,None,None,10179000,1938579000,None,1347753000,None,None,1357932000,196420000,176187000,1260604000,0,392705000,906957000,104471000
2011-03-31,USD,3577069000,767612000,440531000,440531000,23742000,225423000,2809457000,2489221000,-2046613000,628000,628000,62956000,None,186831000,0,77916000,None,2271577000,335481000,126364000,None,None,9638000,1936096000,None,1346469000,None,None,1356107000,189885000,173315000,1305492000,0,418562000,908632000,104903000
2011-06-30,USD,3560637000,757232000,414189000,414189000,21850000,232709000,2803405000,2475310000,-2111273000,602000,602000,62902000,None,188772000,0,78571000,None,2190731000,346127000,148142000,None,None,7759000,1844604000,None,1239893000,None,None,1247652000,181722000,171890000,1369906000,0,459875000,911393000,105140000
2011-09-30,USD,3552009000,748627000,375355000,375355000,21602000,237807000,2803382000,2473753000,-1961043000,559000,559000,62344000,None,186423000,0,113863000,None,2097228000,316521000,145112000,None,None,7877000,1780707000,None,1163914000,None,None,1171791000,151776000,174273000,1454781000,0,505892000,913976000,105154000
2011-12-31,USD,3582347000,944242000,546465000,546465000,18066000,185892000,2638105000,2331327000,-2059737000,531000,531000,62215000,None,175656000,0,210210000,None,2132806000,396176000,73919000,None,None,7877000,1736630000,None,1147444000,None,None,1155321000,276594000,170576000,1449541000,0,522644000,908776000,104697000
2012-03-31,USD,3664943000,992111000,620449000,620449000,16614000,266764000,2672832000,2361687000,-2041405000,520000,520000,62667000,None,173440000,0,88284000,None,2135215000,380419000,145631000,None,None,12997000,1754796000,None,1167486000,None,None,1180483000,189090000,163212000,1529728000,0,588371000,932097000,104989000
2012-06-30,USD,3688805000,1006931000,649503000,649503000,15697000,241569000,2681874000,2359293000,-2007490000,62735000,62735000,62252000,None,173543000,0,100162000,None,2108817000,350025000,156738000,None,None,12997000,1758792000,None,1167908000,None,None,1180905000,169576000,144067000,1579988000,0,633012000,927085000,105042000
2012-09-30,USD,3711957000,963336000,583794000,583794000,15324000,258348000,2748621000,2431827000,-1946358000,471000,471000,62769000,None,169318000,169318000,105870000,None,2134372000,373519000,164110000,None,None,13120000,1760853000,None,1159958000,None,None,1173078000,182336000,144629000,1551318000,0,647877000,929397000,104729000
2012-12-31,USD,3386580000,804107000,437100000,437100000,2480000,201360000,2582473000,1485875000,565921000,491000,491000,62935000,None,167599000,0,163167000,None,1967166000,453046000,92398000,None,None,16607000,1514120000,None,1002621000,None,None,1019228000,276295000,5025000,1393385000,0,476310000,932742000,104256000
2013-03-31,USD,2666331000,864462000,625650000,625650000,2589000,178360000,1801869000,1532727000,-582594000,469000,469000,61732000,None,165452000,0,57863000,None,1261160000,268621000,100553000,None,None,10247000,992539000,None,687461000,None,None,697708000,60435000,14976000,1405171000,0,477925000,935463000,105165000
