fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1998-03-31,1998-03-31,0.0171,None,0,None,pre-market
1998-06-30,1998-06-30,-0.0056,None,0,None,pre-market
1998-09-30,1998-09-30,-0.0372,None,0,None,pre-market
1999-03-31,1999-03-31,-0.0017,None,0,None,pre-market
1999-06-30,1999-06-30,-0.0227,None,0,None,pre-market
1999-09-30,1999-09-30,0.0228,None,0,None,pre-market
2000-03-31,2000-03-31,0.0503,None,0,None,pre-market
2000-06-30,2000-06-30,0.0467,None,0,None,pre-market
2000-09-30,2000-09-30,0.042,None,0,None,pre-market
2001-03-31,2001-03-31,0.0028,None,0,None,pre-market
2001-06-30,2001-06-30,0.1243,None,0,None,pre-market
2001-09-30,2001-09-30,-0.032,None,0,None,pre-market
2001-12-31,2001-12-31,-0.0741,None,0,None,pre-market
2002-03-31,2002-03-31,-0.0424,None,0,None,pre-market
2002-06-30,2002-06-30,-0.1117,None,0,None,pre-market
2002-09-30,2002-09-30,-0.0777,None,0,None,pre-market
2002-12-31,2002-12-31,-0.0158,None,0,None,pre-market
2003-03-31,2003-03-31,0.0492,None,0,None,pre-market
2003-06-30,2003-06-30,0.0069,None,0,None,pre-market
2003-09-30,2003-09-30,0.0364,None,0,None,pre-market
2003-12-31,2003-12-31,0.0014,None,0,None,pre-market
2004-03-31,2004-03-31,0.0629,None,0,None,pre-market
2004-06-30,2004-06-30,0.0324,None,0,None,pre-market
2004-09-30,2004-09-30,1.3601,None,0,None,pre-market
2004-12-31,2004-12-31,-0.0609,None,0,None,pre-market
2005-03-31,2005-03-31,0,None,0,None,pre-market
2005-06-30,2005-06-30,0.0078,None,0,None,pre-market
2005-09-30,2005-09-30,0.0252,None,0,None,pre-market
2005-12-31,2005-12-31,0.003,None,0,None,pre-market
2006-03-31,2006-03-31,0.0138,None,0,None,pre-market
2006-06-30,2006-06-30,0.0155,None,0,None,pre-market
2006-09-30,2006-09-30,-0.0069,None,0,None,pre-market
2006-12-31,2006-12-31,-0.0913,None,0,None,pre-market
2007-03-31,2007-03-31,-0.0667,None,0,None,pre-market
2007-06-30,2007-06-30,-0.0235,None,0,None,pre-market
2007-09-30,2007-09-30,-0.0346,None,0,None,pre-market
2007-12-31,2007-12-31,-0.0569,None,0,None,pre-market
2008-03-31,2008-03-31,-0.0206,None,0,None,pre-market
2008-06-30,2008-06-30,0.229,None,0,None,pre-market
2008-09-30,2008-12-03,0.1416,None,0,None,pre-market
2008-12-31,2009-02-25,0.11,None,0,None,pre-market
2009-03-31,2009-06-03,0.314,None,0,None,pre-market
2009-06-30,2009-08-06,0.16,0.33,-0.17,-51.5152,pre-market
2009-09-30,2009-11-10,0.17,0.25,-0.08,-32,pre-market
2009-12-31,2010-03-05,0.2,0.21,-0.01,-4.7619,pre-market
2010-03-31,2010-04-30,0.24,0.17,0.07,41.1765,pre-market
2010-06-30,2010-08-06,0.1675,0.18,-0.0125,-6.9444,pre-market
2010-09-30,2010-12-01,0.2268,None,0,None,pre-market
2010-12-31,2011-03-02,0.15,None,0,None,pre-market
2011-03-31,2011-06-01,0.2901,None,0,None,pre-market
2011-06-30,2011-08-31,0.2258,None,0,None,pre-market
2011-09-30,2011-11-30,0.4392,None,0,None,pre-market
2011-12-31,2012-03-02,0.3,0.19,0.11,57.8947,pre-market
2012-03-31,2012-05-07,0.21,0.28,-0.07,-25,pre-market
2012-06-30,2012-08-01,0.23,0.23,0,0,pre-market
2012-09-30,2012-11-09,0.22,0.2,0.02,10,pre-market
2012-12-31,2013-03-01,0.18,0.19,-0.01,-5.2632,pre-market
2013-03-31,2013-05-15,0.19,0.13,0.06,46.1538,pre-market
2013-06-30,2013-08-02,0.19,0.19,0,0,pre-market
2013-09-30,2013-11-01,0.17,0.29,-0.12,-41.3793,pre-market
2013-12-31,2014-03-05,0.16,0.21,-0.05,-23.8095,pre-market
2014-03-31,2014-05-02,0.12,0.2,-0.08,-40,pre-market
2014-06-30,2014-08-01,0.1,0.16,-0.06,-37.5,pre-market
2014-09-30,2014-11-10,0.1,0.05,0.05,100,post-market
2014-12-31,2015-03-06,0.34,0.15,0.19,126.6667,post-market
2015-03-31,2015-05-08,0.25,0.37,-0.12,-32.4324,post-market
2015-06-30,2015-08-07,0.23,0.28,-0.05,-17.8571,post-market
2015-09-30,2015-11-06,0.17,0.37,-0.2,-54.0541,post-market
2015-12-31,2016-03-11,0.02,0.18,-0.16,-88.8889,post-market
2016-03-31,2016-05-06,0.21,0.08,0.13,162.5,post-market
2016-06-30,2016-08-05,0.19,-0.02,0.21,1050,post-market
2016-09-30,2016-11-04,0.14,0.1,0.04,40,post-market
2016-12-31,2017-03-10,0.43,0.12,0.31,258.3333,post-market
2017-03-31,2017-05-08,0.25,0.09,0.16,177.7778,post-market
2017-06-30,2017-08-08,0.1,0.14,-0.04,-28.5714,post-market
2017-09-30,2017-11-07,0.13,0.12,0.01,8.3333,pre-market
2017-12-31,2018-03-13,0.11,0.06,0.05,83.3333,pre-market
2018-03-31,2018-05-07,0.07,-0.01,0.08,800,post-market
2018-06-30,2018-08-06,-0.0007,0.09,-0.0907,-100.7778,post-market
2018-09-30,2018-11-05,0.09,0.13,-0.04,-30.7692,post-market
2018-12-31,2019-03-11,0.09,0.1,-0.01,-10,post-market
2019-03-31,2019-05-06,0.23,0.06,0.17,283.3333,post-market
2019-06-30,2019-08-05,-0.11,0.12,-0.23,-191.6667,post-market
2019-09-30,2019-11-04,-0.12,0.08,-0.2,-250,post-market
2019-12-31,2020-03-09,0.6,-0.01,0.61,6100,post-market
2020-03-31,2020-05-11,0.01,0.02,-0.01,-50,post-market
2020-06-30,2020-08-03,0.01,0.02,-0.01,-50,post-market
2020-09-30,2020-11-02,0.1,0.17,-0.07,-41.1765,post-market
2020-12-31,2021-03-09,-0.15,0.02,-0.17,-850,pre-market
2021-03-31,2021-05-03,-0.03,0.04,-0.07,-175,post-market
2021-06-30,2021-08-09,-0.1,0.06,-0.16,-266.6667,pre-market
2021-09-30,2021-11-08,0.26,0.01,0.25,2500,post-market
2021-12-31,2022-03-28,-0.25,-0.02,-0.23,-1150,post-market
2022-03-31,2022-05-23,-0.33,-0.06,-0.27,-450,post-market
2022-06-30,2022-08-15,-0.11,-0.11,0,0,post-market
2022-09-30,2022-11-08,0.05,0.08,-0.03,-37.5,post-market
2022-12-31,2023-03-16,0.93,0.2,0.73,365,post-market
2023-03-31,2023-05-08,0.61,0.16,0.45,281.25,post-market
2023-06-30,2023-08-07,0.47,0.31,0.16,51.6129,post-market
2023-09-30,2023-11-06,0.44,0.51,-0.07,-13.7255,post-market
2023-12-31,2024-03-13,-0.27,0.29,-0.56,-193.1034,post-market
2024-03-31,2024-05-06,-0.05,-0.18,0.13,72.2222,post-market
2024-06-30,2024-08-06,-0.27,-0.08,-0.19,-237.5,post-market
2024-09-30,2024-11-11,0.04,-0.1,0.14,140,post-market
2024-12-31,2025-03-11,-0.1469,-0.13,-0.0169,-13,pre-market
2025-03-31,2025-05-05,0.23,-0.16,0.39,243.75,post-market
2025-06-30,2025-08-11,0.19,-0.17,0.36,211.7647,pre-market
2025-09-30,2025-11-10,0.55,0.08,0.47,587.5,pre-market
2025-12-31,2026-03-18,-0.01,-0.0325,0.0225,69.2308,pre-market
