fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-09-30,None,79373000,2834000,380000,380000,1,1780000,76539000,None,None,None,None,None,None,None,674000,674000,None,25063000,6897000,3285000,None,None,1360000,18166000,None,None,None,None,17506000,2252000,None,54310000,None,-258260000,289622000,25269574
2021-12-31,None,157016000,9902000,7316000,7316000,795,1999000,147114000,None,None,None,None,None,None,None,None,586205,None,23928000,6079000,3145000,None,None,1043000,17849000,None,None,None,None,16909000,1891000,None,133088000,None,-185920000,296060000,23335483
2022-03-31,None,160882000,7425000,3058000,3058000,None,3868000,153457000,None,None,None,None,None,None,None,499000,499000,None,29948000,10436000,6049000,None,None,275000,19512000,None,None,None,None,16168000,4112000,None,130934000,None,-188376000,296221000,35592100
2022-06-30,None,169193000,10253000,2889000,2889000,2,6342000,158940000,None,None,None,None,None,None,None,1022000,1022000,None,31215000,12283000,8310000,None,None,6000,18932000,None,None,None,None,15913000,3967000,None,137978000,None,-181369000,296221000,35949000
2022-09-30,USD,172634000,10518000,4878000,4878000,None,4233000,162116000,162116000,None,None,None,None,None,None,1407000,1407000,None,25277000,7679000,6883000,None,None,26000,17598000,53000,15855000,None,None,15908000,770000,None,147357000,None,-172070000,296221000,35989000
2022-12-31,USD,184082000,7480000,1037000,1037000,1,5773000,176602000,176602000,None,None,None,None,None,None,670000,670000,None,33884000,14049000,12596000,None,None,32000,19835000,49000,17799000,None,None,17848000,1421000,None,150198000,None,-169277000,296221000,35615921
2023-03-31,USD,188023000,10081000,3771000,3771000,-516,5536000,177942000,None,None,None,None,None,None,None,774000,774000,None,29905000,9968000,8642000,None,None,742000,19937000,1230000,17819000,None,None,19049000,584000,None,158118000,None,-161381000,296227000,36202000
2023-06-30,USD,196655000,5709000,945000,945000,857,4272000,190946000,190740000,None,None,None,None,None,None,369000,123000,None,33848000,13983000,13075000,None,None,908000,19865000,1323000,17746000,None,None,19069000,None,None,162807000,None,-157113000,296227000,36496000
2023-09-30,USD,211745000,7000000,501000,501000,5244,5405000,204745000,None,None,None,None,None,None,None,1094000,1088756,None,46433000,20093000,16995000,None,None,1116000,26340000,1480000,23809000,None,None,25289000,1982000,None,165312000,None,-154794000,296232000,36469000
2023-12-31,USD,224357000,6928000,598000,598000,4288,5492000,217429000,None,None,None,None,None,None,None,838000,833712,None,53943000,18844000,17648000,None,None,2130535,35099000,1230000,29612000,None,None,31904535,-934535,None,170414000,None,-149997000,296232000,36448945
2024-03-31,USD,229191000,10161000,1801000,1801000,861,7525000,219030000,None,None,None,None,None,None,None,835000,834139,None,55281000,16725000,14881000,None,None,965000,38556000,1145000,31667000,None,None,32812000,879000,None,173910000,None,-146652000,296232000,36432000
2024-06-30,USD,230975000,8912000,549000,549000,1,7766000,222063000,None,None,None,None,None,None,None,597000,595774,None,52487000,10797000,9360000,None,None,919000,41690000,1096000,33678000,None,None,34774000,518000,None,178488000,None,-142591000,296458000,36728000
2024-09-30,USD,237438000,8819000,1619000,1619000,None,5623000,228619000,None,None,None,None,None,None,None,None,1577000,None,53578000,13119000,12444000,None,None,675000,40459000,846000,30711000,None,None,31557000,-673933,None,183860000,None,-137525000,296458000,36096000
2024-12-31,USD,248759000,15019000,4314000,4314000,None,9733000,233740000,None,None,None,None,None,None,None,718000,254000,None,59952000,15676000,15090000,None,None,586000,44276000,753000,33240000,None,None,33993000,-585651,None,188807000,None,-131882000,295309000,35268750
2025-03-31,USD,254620000,13479000,4878000,4878000,None,7739000,241141000,None,None,None,None,None,None,None,631000,231000,None,59364000,19132000,17922000,None,None,1210000,40232000,1703000,27277000,None,None,28980000,-1210058,None,195256000,None,-126117000,295379000,36404000
2025-06-30,USD,262817000,8263000,3132000,3132000,None,3660000,254554000,None,None,None,None,None,None,None,646000,825000,None,64424000,21174000,20099000,None,None,1075000,43250000,1369000,29702000,None,None,31071000,None,None,198393000,None,-123264000,295490000,36295000
2025-09-30,USD,282087000,14012000,2953000,2953000,None,9841000,268075000,None,None,None,None,None,None,None,941000,277000,None,80891000,20138000,18878000,None,None,1260000,60753000,1585000,45732000,None,None,47317000,None,None,201196000,None,-119666000,294195000,36206000
2025-12-31,USD,293407069,12007109,2791909,2791909,None,8055313,281399960,None,None,None,None,None,None,None,None,1159887,None,89902093,24557228,23140810,None,None,1416417,65344865,1784000,48757000,None,None,50449022,None,None,203504976,None,-116193160,293764418,35427758
