fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,278100000,None,None,None,None,36700000,44800000,None,176100000,None,-79600000,-286200000,None,None,None,None,None,None,None,None,None,None,None,None,400000,None,None,106200000
2007-12-31,USD,109200000,None,None,None,None,39500000,137200000,None,36200000,None,-170400000,775900000,None,None,None,None,None,None,None,None,None,None,None,None,900000,None,None,96600000
2008-12-31,USD,-104900000,None,None,None,None,34200000,441900000,None,-270600000,None,-477200000,-55500000,None,None,None,None,None,None,None,None,None,None,None,None,900000,None,None,48700000
2009-12-31,USD,443400000,None,None,None,None,31900000,441300000,None,269900000,None,-463800000,-96800000,None,None,None,None,None,None,None,None,None,None,-400000,None,None,None,None,58500000
2010-12-31,USD,22500000,None,None,None,None,43300000,162200000,-117200000,25100000,None,-144600000,141800000,None,None,None,None,8500000,8500000,None,None,None,None,-1800000,None,None,19700000,None,7500000
2011-12-31,USD,56300000,None,None,None,None,50100000,152800000,146600000,-75200000,None,-163200000,-6500000,None,None,None,None,10400000,10400000,None,None,None,None,-1500000,None,537600000,-113400000,None,-540700000
2012-12-31,USD,142900000,None,None,None,None,37500000,4300000,1400000,238700000,None,124800000,-12400000,None,None,None,None,0,0,None,None,None,None,-500000,None,5100000,255300000,None,-1200600000
2013-12-31,USD,81200000,None,None,None,None,27600000,0,-28200000,160100000,None,25700000,-85600000,None,None,None,None,13400000,13400000,None,None,None,None,-200000,None,2000000,21300000,None,-158900000
2014-12-31,USD,-110100000,None,None,None,None,8700000,300000,None,200000000,None,15500000,-800000,None,None,None,None,0,0,None,None,None,None,-100000,None,800000,None,None,297800000
2015-12-31,USD,8500000,None,None,None,None,13800000,300000,29300000,90900000,None,6700000,-9800000,None,None,None,None,0,0,None,None,None,None,0,None,400000,15200000,None,-187400000
2016-12-31,USD,37700000,None,None,None,None,13100000,3000000,6500000,89500000,None,-1200000,-9800000,None,None,None,None,0,0,None,None,None,None,-9800000,None,500000,26700000,None,-67000000
2017-12-31,USD,-25100000,None,None,None,None,12000000,500000,-17600000,44700000,None,4200000,-31000000,None,None,None,None,0,0,None,None,None,None,-27600000,None,500000,-51900000,None,12200000
2018-12-31,USD,-74400000,None,None,None,None,7400000,100000,9700000,61000000,None,400000,-11100000,None,None,None,None,0,0,None,None,None,None,None,None,400000,-85100000,None,-104100000
2019-12-31,USD,11300000,None,None,None,None,7000000,100000,29300000,100000,None,600000,-35000000,None,None,None,None,0,0,None,None,None,None,None,None,1400000,-23100000,None,-16500000
2020-12-31,USD,67100000,None,None,None,None,7300000,1400000,-8600000,25800000,None,-1400000,-44400000,None,None,None,None,0,0,None,None,None,None,-61600000,None,7100000,21300000,None,54400000
2021-12-31,USD,50000000,None,None,None,None,8600000,1200000,500000,-10700000,None,-1200000,-9900000,None,None,None,None,0,0,None,None,None,None,-44400000,None,12100000,38900000,None,175000000
2022-12-31,USD,20600000,None,None,None,None,9600000,700000,-9000000,-88500000,None,-700000,-4300000,None,None,None,None,0,0,None,None,None,None,-1900000,None,1900000,15600000,None,52200000
2023-12-31,USD,9100000,None,None,None,None,7100000,1600000,None,-60300000,None,-1600000,13900000,None,None,None,None,0,0,None,None,None,None,-3000000,None,2300000,None,None,84400000
2024-12-31,USD,37000000,None,None,None,None,10800000,4100000,None,2100000,None,-4100000,437100000,None,None,None,None,0,0,None,None,None,None,55100000,None,1500000,None,None,73200000
2025-12-31,USD,51000000,None,None,None,None,9900000,19700000,None,-53500000,None,-19700000,1224900000,None,None,None,None,0,0,None,None,None,None,523700000,None,5800000,None,None,77800000
