fiscalDateEnding,reportedEPS
1996-12-31,0.63
1997-12-31,0.74
1998-12-31,0.25
1999-12-31,0.57
2000-12-31,1.71
2001-12-31,1.45
2002-12-31,0.59
2003-12-31,1.39
2004-12-31,2.66
2005-12-31,3.88
2006-12-31,3.14
2007-12-31,4.32
2008-12-31,8.72
2009-12-31,3.12
2010-12-31,4.13
2011-12-31,6.02
2012-12-31,5.02
2013-12-31,5.24
2014-12-31,3.4
2015-12-31,-3.07
2016-12-31,-1.36
2017-12-31,-0.12
2018-12-31,1.25
2019-12-31,0.88
2020-12-31,-1.25
2021-12-31,1.29
2022-12-31,5.6
2023-12-31,4.52
2024-12-31,2.74
2025-12-31,1.27
2026-03-31,0
