fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4109
2006-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-680
2006-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1050
2006-12-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1917
2007-03-31,USD,-98529,None,None,None,None,260,850153,None,None,None,-850153,1022895,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-287586
2007-06-30,USD,-119715,None,None,None,None,260,112884,None,None,None,-112884,-110744,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1094810
2007-09-30,USD,-106227,None,None,None,None,260,2612132,None,None,None,-2972132,13937902,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-53548
2007-12-31,USD,-167038,None,None,None,None,2666,1503589,None,None,None,-1143589,-17061,None,None,None,None,None,None,None,None,None,None,2662812,None,388500,None,None,-2869349
2008-03-31,USD,-125546,None,None,None,None,49200,6320368,None,-148427,None,-9756602,1737228,None,None,None,None,None,None,None,None,None,None,1047048,None,None,None,None,-187277
2008-06-30,USD,729838,None,None,None,None,203103,18897594,None,None,None,None,10226386,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,871819
2008-09-30,USD,729838,None,None,None,None,203103,18897594,None,None,None,-16551230,10226386,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,871819
2008-12-31,USD,1370385,None,None,None,None,444564,7028688,None,None,None,None,5517691,None,None,None,None,None,None,None,None,None,None,None,None,49885,None,None,-307325
2009-03-31,USD,1370385,None,None,None,None,444564,7028688,None,None,None,-7028688,5517691,None,None,None,None,None,None,None,None,None,None,None,None,49885,None,None,-307325
2009-06-30,USD,997940,None,None,None,None,870932,10302604,None,None,None,-10484485,22480959,None,None,None,None,None,None,None,None,None,None,None,None,36302,None,None,315924
2009-09-30,USD,1974176,None,None,None,None,851394,8488262,None,None,None,-7506381,-7814271,None,None,None,None,None,None,None,None,None,None,None,None,110771,None,None,1739170
2009-12-31,USD,5470409,None,None,None,None,2175887,22722853,None,None,None,-46829147,47304068,None,None,None,None,1115738,1115738,None,None,None,None,1115738,None,1016334,None,None,1051183
2010-03-31,USD,12148566,None,None,None,None,1908235,22107700,None,None,None,-18725240,1496885,None,None,None,None,None,None,None,None,None,None,None,None,813297,None,None,1559630
2010-06-30,USD,11324907,None,None,None,None,3828012,36400309,None,None,None,None,-6779,None,None,None,None,None,None,None,None,None,None,None,None,724410,None,None,987226
2010-09-30,USD,11324907,None,None,None,None,3828012,36400309,None,-46492009,None,-41999090,-6779,None,None,None,None,None,None,None,None,None,None,None,None,724410,None,None,987226
2010-12-31,USD,46994606,None,None,None,None,-8186755,87671735,None,None,None,-133655084,199284230,None,None,None,None,None,None,None,None,None,None,None,None,835354,None,None,-1750422
2011-03-31,USD,-7160821,None,None,None,None,68313,59187774,None,None,None,-46744720,1500000,None,None,None,None,None,None,None,None,None,None,None,None,1858171,None,None,-7057842
2011-06-30,USD,42655509,None,None,None,None,70295,95260260,None,None,None,-64981293,1500000,None,None,None,None,None,None,None,None,None,None,None,None,1505174,None,None,20432900
2011-09-30,USD,13891178,None,None,None,None,75597,85495081,None,None,None,-97755758,14750853,None,None,None,None,None,None,None,None,None,None,None,None,2188900,None,None,28617222
2011-12-31,USD,35763660,None,None,None,None,83932,101871662,None,None,None,-91386030,53636308,None,None,None,None,1120838998,1120838998,None,None,None,None,-1081132000,None,612079,None,None,-1380788
2012-03-31,USD,38613432,None,None,None,None,97089,145106890,None,None,None,-145106890,104048759,None,None,None,None,None,None,None,None,None,None,-1173315,None,2204927,None,None,8805911
2012-06-30,USD,46948017,None,None,None,None,102307,138934530,None,None,None,-138934530,113323300,None,None,None,None,None,None,None,None,None,None,None,None,2091972,None,None,43626396
2012-09-30,USD,51135483,None,None,None,None,104830,135830994,None,None,None,-135830994,67758402,None,None,None,None,None,None,None,None,None,None,None,None,6998765,None,None,300161
2012-12-31,USD,61829682,None,None,None,None,105662,112339008,None,None,None,-112300008,55623758,None,None,None,None,311610000,311610000,None,None,None,None,-372833,None,1086093,None,None,19552156
2013-03-31,USD,56356933,None,None,None,None,94275,76958814,None,None,None,-76050814,14788049,None,None,None,None,None,None,None,None,None,None,-27867,None,1122274,None,None,8951519
2013-06-30,USD,54079500,None,None,None,None,92867,110372180,None,None,None,-110372180,65905951,None,None,None,None,None,None,None,None,None,None,-20258,None,1185596,None,None,25011673
2013-09-30,USD,58482780,None,None,None,None,32165062,82314928,None,None,None,-82314928,17605309,None,None,None,None,None,None,None,None,None,None,-26129312,None,1239623,None,None,1702906
2013-12-31,USD,53855194,None,None,None,None,38927949,90801522,None,None,None,-89798497,29761871,None,None,None,None,None,None,None,None,None,None,-188890,None,1251484,None,None,17400938
2014-03-31,USD,72747620,None,None,None,None,36100921,119200454,None,None,None,-119200454,48874618,None,None,None,None,None,None,None,None,None,None,-13900382,None,557865,None,None,6589763
2014-06-30,USD,56142879,None,None,None,None,42212250,109715594,None,None,None,-109715594,59715949,None,None,None,None,None,None,None,None,None,None,-274115,None,574851,None,None,-4412449
2014-09-30,USD,80480210,None,None,None,None,45646231,116433464,None,None,None,-116433464,29750237,None,None,None,None,None,None,None,None,None,None,-49763,None,889527,None,None,57985310
2014-12-31,USD,64886832,None,None,None,None,48924152,131690333,None,None,None,-131690333,68091846,None,None,None,None,None,None,None,None,None,None,-1908154,None,736890,None,None,103583321
2015-03-31,USD,66876452,None,None,None,None,45213039,110557463,None,7099113,None,-110396519,39923638,None,None,None,None,None,None,None,None,None,None,-76362,None,1695873,None,None,-229738572
2015-06-30,USD,44822513,None,None,None,None,36745805,77769846,None,-7980789,None,-77769846,34318304,None,None,None,None,None,None,None,None,None,None,-115565,None,248601,None,None,-250060615
2015-09-30,USD,63122045,None,None,None,None,31670479,45058178,None,15225831,None,-45058178,-18133663,None,None,None,None,None,None,None,None,None,None,-12686,None,967241,None,None,-323242031
2015-12-31,USD,72194708,None,None,None,None,24140489,55760704,None,None,None,-55711124,-20135453,None,None,None,None,None,None,None,None,None,None,-134965,None,2322400,None,None,-172313323
2016-03-31,USD,55214150,None,None,None,None,17846089,20067820,None,11503333,None,-20057820,-34158577,None,None,None,None,None,None,None,None,None,None,-1158577,None,1741434,None,None,-126565754
2016-06-30,USD,3308788,None,None,None,None,16176863,18363990,None,-14823118,None,-18373990,14344174,None,None,None,None,None,None,None,None,None,None,-227311,None,1558879,None,None,-108978661
2016-09-30,USD,39195766,None,None,None,None,13698020,28557864,None,14354110,None,-27602416,-11941443,None,None,None,None,None,None,None,None,None,None,58557,None,-792310,None,None,-45618895
2016-12-31,USD,4172867,None,None,None,None,13523186,26160916,None,None,None,-24929861,23924071,None,None,None,None,None,None,None,None,None,None,-75929,None,956037,None,None,-12330398
2017-03-31,USD,29716382,None,None,None,None,12828143,20271464,None,11677093,None,-20271464,-10412217,None,None,None,None,None,None,None,None,None,None,-412217,None,613578,None,None,16940523
2017-06-30,USD,27453,None,None,None,None,13682452,22476710,None,-13263947,None,-22305259,20567836,None,None,None,None,None,None,None,None,None,None,-134772,None,883605,None,None,13801859
2017-09-30,USD,35837184,None,None,None,None,15357685,32869346,None,15978769,None,-32869346,-6000000,None,None,None,None,None,None,None,None,None,None,546989,None,3768685,None,None,-16087465
