fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,1216700000,None,None,None,None,160600000,200400000,None,-619900000,None,-530100000,41100000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,684000000
2007-12-31,USD,1188000000,None,None,None,None,214100000,251800000,None,-757600000,None,-574900000,149600000,None,None,None,None,None,None,None,None,None,None,None,None,43100000,None,None,1337100000
2008-12-31,USD,2294100000,None,None,None,None,401600000,378500000,None,-643000000,None,-2473300000,-74000000,None,None,None,None,112700000,112700000,None,None,None,None,None,None,66800000,None,None,1952000000
2009-12-31,USD,2095000000,None,None,None,None,490000000,250000000,911000000,468000000,None,-552000000,-491000000,None,None,None,None,460000000,460000000,None,None,None,None,8000000,None,68000000,1079000000,27000000,1473000000
2010-12-31,USD,1542000000,None,None,None,None,507000000,232000000,-193000000,39000000,None,-743000000,-102000000,None,None,None,None,172000000,172000000,None,None,None,None,73000000,None,66000000,711000000,14000000,1659000000
2011-12-31,USD,2143000000,None,None,None,None,555000000,483000000,-474000000,-591000000,None,-1458000000,-464000000,None,None,None,None,191000000,191000000,None,None,None,None,96000000,None,73000000,202000000,-19000000,1985000000
2012-12-31,USD,620000000,None,None,None,None,628000000,583000000,-1149000000,-1061000000,None,-3428000000,2583000000,None,None,None,None,209000000,209000000,None,None,None,None,113000000,None,80000000,-216000000,9000000,2483000000
2013-12-31,USD,3397000000,None,None,None,None,755000000,669000000,-807000000,396000000,None,-2964000000,-305000000,None,None,None,None,389000000,389000000,None,None,None,None,58000000,None,92000000,117000000,-11000000,2328000000
2014-12-31,USD,2614000000,None,None,None,None,778000000,699000000,-415000000,-710000000,None,-1104000000,-1343000000,None,None,None,None,703000000,703000000,None,None,None,None,-779000000,None,101000000,100000000,-67000000,2455000000
2015-12-31,USD,1332000000,None,None,None,None,747000000,453000000,1639000000,410000000,None,-514000000,-2163000000,None,None,None,None,710000000,710000000,None,None,None,None,-2221000000,None,109000000,-1456000000,-111000000,-767000000
2016-12-31,USD,960000000,None,None,None,None,703000000,284000000,1491000000,782000000,None,-488000000,-1141000000,None,None,None,None,230000000,230000000,None,None,None,None,4000000,None,107000000,-672000000,-3000000,-2416000000
2017-12-31,USD,832000000,None,None,None,None,698000000,192000000,242000000,229000000,None,-245000000,-595000000,None,None,None,None,76000000,76000000,None,None,None,None,-3000000,None,124000000,29000000,37000000,-236000000
2018-12-31,USD,521000000,None,None,None,None,690000000,244000000,-72000000,-7000000,None,-457000000,-30000000,None,None,None,None,76000000,76000000,None,None,None,None,54000000,None,110000000,34000000,None,-22000000
2019-12-31,USD,714000000,None,None,None,None,533000000,233000000,275000000,104000000,None,-315000000,-647000000,None,None,None,None,77000000,77000000,None,None,None,None,-13000000,None,130000000,-248000000,None,-6093000000
2020-12-31,USD,926000000,None,None,None,None,352000000,226000000,574000000,429000000,None,-144000000,-259000000,None,None,None,None,19000000,19000000,None,None,None,None,None,None,105000000,523000000,None,-2537000000
2021-12-31,USD,291000000,None,None,None,None,306000000,201000000,-52000000,17000000,None,-196000000,-189000000,None,None,None,None,20000000,20000000,None,None,None,None,None,None,78000000,-94000000,None,-245000000
2022-12-31,USD,-179000000,None,None,None,None,301000000,214000000,-440000000,-480000000,None,-238000000,-96000000,None,None,None,None,78000000,78000000,None,None,None,None,0,None,67000000,-513000000,None,155000000
2023-12-31,USD,143000000,None,None,None,None,302000000,283000000,None,-361000000,None,-293000000,-103000000,None,None,None,None,79000000,79000000,None,None,None,None,0,None,66000000,None,None,993000000
2024-12-31,USD,1304000000,None,None,None,None,343000000,351000000,None,270000000,None,-471000000,-406000000,None,None,None,None,108000000,108000000,None,None,None,None,-229000000,None,70000000,None,None,635000000
2025-12-31,USD,1239000000,None,None,None,None,355000000,375000000,None,97000000,None,-362000000,-584000000,None,None,None,None,190000000,190000000,None,None,None,None,-315000000,None,67000000,None,None,145000000
