fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,596372,None,None,None,None,-175361,969298,None,None,None,-785609,713500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,224602
2006-03-31,USD,-513942,None,None,None,None,35601,68375,None,None,None,-68375,72210,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-968346
2006-06-30,USD,-474674,None,None,None,None,31835,22143,None,None,None,-22143,394175,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1009371
2006-09-30,USD,-1066012,None,None,None,None,884442,336948,None,None,None,-48393098,53105414,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3161763
2006-12-31,USD,-1591414,None,None,None,None,12989810,727923,None,None,None,None,-663712,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-32933047
2007-03-31,USD,-986947,None,None,None,None,1384417,727923,None,None,None,-49804,-208779,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3529340
2007-06-30,USD,-374162,None,None,None,None,22907,0,None,None,None,113989,72155,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3336704
2007-09-30,USD,-145698,None,None,None,None,-1337002,0,None,None,None,-1634,69191,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-605947
2007-12-31,USD,-611359,None,None,None,None,23044,40015,None,None,None,None,617347,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2402181
2008-03-31,USD,-2023128,None,None,None,None,2150,40015,None,None,None,-29873,3546530,None,None,None,None,None,None,None,None,None,None,-900,None,None,None,None,-666284
2008-06-30,USD,-718496,None,None,None,None,2467,82306,None,None,None,-82306,-30211,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,676648
2008-09-30,USD,-344888,None,None,None,None,2416,63727,None,None,None,-63727,-20210,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-383369
