fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,-21241,None,None,None,None,None,0,None,None,None,None,43090,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-28267
2007-12-31,USD,-119898,None,None,None,None,None,7917,None,None,None,-7917,106700,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-127081
2008-12-31,USD,-181716,None,None,None,None,None,0,None,None,None,-1250000,1518278,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-124078
2009-12-31,USD,-9963,None,None,None,None,1099,276032,None,None,None,973582,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-334055
2010-12-31,USD,-62757,None,None,None,None,2662,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-78419
2011-12-31,USD,-322355,None,None,None,None,1199,0,None,0,None,-850000,4665165,None,None,None,None,0,0,None,None,None,None,4665165,None,None,3492810,None,-320248
2012-12-31,USD,-31851,None,None,None,None,506786,10377549,-326943,87845,None,-10377549,15802195,None,None,None,None,0,0,None,None,None,None,13009062,None,944681,5392795,None,-1669283
2013-12-31,USD,8116408,None,None,None,None,2284091,34378638,None,0,None,-34439182,73269190,None,None,None,None,0,0,None,None,None,None,73201690,None,3489022,46946416,None,-452209
2014-12-31,USD,33748065,None,None,None,None,11807794,106166783,-2412061,0,None,-106206099,28729686,None,None,None,None,0,0,None,None,None,None,28729686,None,2517211,-43728348,None,8420500
2015-12-31,USD,9843744,None,None,None,None,15175791,109663090,2163440,0,None,-110109282,96074653,None,None,None,None,0,0,None,None,None,None,50174653,None,2566716,-4190885,None,-9052771
2016-12-31,USD,11214397,None,None,None,None,11483314,38339845,229324,574768,None,-38339845,93780479,None,None,None,None,0,0,None,None,None,None,139680479,None,2267053,66655031,None,-37637687
2017-12-31,USD,42806204,None,None,None,None,20517780,157912960,-9980206,1034675,None,-157912960,59026956,None,None,None,None,0,0,None,None,None,None,59026956,None,3685079,-56079800,None,1753869
2018-12-31,USD,70357321,None,None,None,None,39024886,203526850,666283,259634,None,-203421314,121421138,None,None,None,None,None,None,None,None,None,None,81921138,None,3870934,-11642855,None,8999760
2019-12-31,USD,106616221,None,None,None,None,63059736,155525731,-10035648,-582701,None,-423040251,323064926,None,None,None,None,None,None,None,None,None,None,0,None,3082625,6640896,None,29496551
2020-12-31,USD,72159255,None,None,None,None,43010660,43830397,7896517,-5597845,None,-43830397,-34754846,None,None,None,None,None,None,None,None,None,None,19383130,None,5364162,-6425988,None,-253411828
2021-12-31,USD,72731212,None,None,None,None,114845921,53239400,-9483639,-5597845,None,-51239400,-22662130,None,None,None,None,385330,385330,None,None,None,None,-385330,None,2418323,-1170318,None,3322892
2022-12-31,USD,196976729,None,None,None,None,55740,131215803,-17214150,-5597845,None,-308881290,113208771,None,None,None,None,521198,521198,None,None,None,None,-521198,None,7162231,1304210,None,138635025
2023-12-31,USD,198170459,None,None,None,None,88610291,155214216,None,3113782,None,-222573288,20986687,None,None,None,None,None,None,None,None,None,None,-520153,None,8833425,None,None,104864641
2024-12-31,USD,194423712,None,None,None,None,100083141,156341806,None,2089116,None,-150854367,-41999334,None,None,None,None,None,None,None,None,None,None,-919249,None,5506017,None,None,67470314
2025-12-31,USD,150849407,None,None,None,None,96414150,97915727,None,-1264896,None,-179501253,27688364,None,None,None,None,None,None,None,None,None,None,0,None,6135957,None,None,-34731199
