fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-05-08,0.09,0.1,-0.01,-10,pre-market
1996-06-30,1996-08-08,0.1,0.1,0,0,pre-market
1996-09-30,1996-11-07,0.09,0.1,-0.01,-10,pre-market
1996-12-31,1997-02-06,0.17,0.13,0.04,30.7692,pre-market
1997-03-31,1997-05-13,0.23,0.23,0,0,pre-market
1997-06-30,1997-08-07,0.06,0.06,0,0,pre-market
1997-09-30,1997-11-28,0.07,0.07,0,0,pre-market
1997-12-31,1998-02-19,0.13,0.12,0.01,8.3333,pre-market
1998-03-31,1998-05-06,0.07,0.09,-0.02,-22.2222,pre-market
1998-06-30,1998-08-14,-0.05,-0.02,-0.03,-150,pre-market
1998-09-30,1998-11-12,-0.1,-0.11,0.01,9.0909,pre-market
1998-12-31,1999-03-11,0.15,-0.14,0.29,207.1429,pre-market
1999-03-31,1999-05-13,-0.17,-0.15,-0.02,-13.3333,pre-market
1999-06-30,1999-08-12,-0.08,-0.08,0,0,pre-market
1999-09-30,1999-11-10,0.02,-0.06,0.08,133.3333,pre-market
1999-12-31,2000-03-08,-0.18,-0.03,-0.15,-500,pre-market
2000-03-31,2000-05-08,0.01,None,0,None,pre-market
2000-06-30,2000-08-08,0.04,-0.01,0.05,500,pre-market
2000-09-30,2000-11-06,0.06,0.01,0.05,500,pre-market
2000-12-31,2001-03-06,0.28,0.07,0.21,300,pre-market
2001-03-31,2001-03-31,0.2519,None,0,None,pre-market
2001-06-30,2001-08-06,0.18,0.16,0.02,12.5,pre-market
2001-09-30,2001-11-05,0.09,0.07,0.02,28.5714,pre-market
2001-12-31,2002-03-05,-0.43,0.06,-0.49,-816.6667,pre-market
2002-03-31,2002-05-06,0.04,0.05,-0.01,-20,pre-market
2002-06-30,2002-08-01,0.09,0.11,-0.02,-18.1818,pre-market
2002-09-30,2002-11-12,0.11,0.08,0.03,37.5,pre-market
2002-12-31,2003-03-04,0.06,0.11,-0.05,-45.4545,pre-market
2003-03-31,2003-05-06,0.06,0.09,-0.03,-33.3333,pre-market
2003-06-30,2003-08-05,0.07,0.06,0.01,16.6667,pre-market
2003-09-30,2003-11-04,0.07,0.08,-0.01,-12.5,pre-market
