fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,46487000,46487000,0,0,48421000,531556,0,46487000,None,None,None,0,None,None,None,2117000,-107554000,-46013000,None,0,None,46304000,48421000,46013000
2006-03-31,USD,50875000,50875000,0,0,50392000,482550,0,482550,None,None,None,0,None,None,None,-604000,50490000,505820,None,0,None,50603000,49999000,50490000
2006-06-30,USD,28532000,28532000,0,0,27890000,642612,0,642612,None,None,None,0,None,None,None,None,27933000,-27933000,None,0,None,0,27890000,27933000
2006-09-30,USD,30780000,30780000,0,0,30486000,293291,0,293291,None,None,None,0,None,None,None,None,31087000,-31088000,None,0,None,0,30486000,31088000
2006-12-31,USD,26519000,26519000,0,0,27938000,233474,0,-1418000,None,None,None,0,None,None,None,603557,-50996000,-26357000,None,0,None,27334443,27938000,26357000
2007-03-31,USD,23949000,23949000,0,0,23383000,565648,0,1000000,None,None,None,0,None,None,None,-375000,24008000,315581,None,0,None,23758000,23383000,24008000
2007-06-30,USD,26377000,26377000,0,0,25796000,581795,0,581795,None,None,None,0,None,None,None,-445000,25795000,444556,None,0,None,26241000,25796000,25796000
2007-09-30,USD,37087000,37087000,0,0,36823000,263629,0,825495,None,None,None,0,None,None,None,-606000,37386000,43682,None,0,None,37991000,37385000,37385000
2007-12-31,USD,26479000,26479000,0,0,25906000,572881,0,572881,None,None,None,0,None,None,None,1425000,-87992000,-26033000,None,0,None,24481000,25906000,26033000
2008-03-31,USD,25576000,25576000,0,0,24966000,610074,0,774453,None,None,None,0,None,None,None,-443000,25131000,278447,None,0,None,25574000,25131000,25131000
2008-06-30,USD,35632000,35632000,0,0,35039000,592778,0,592778,None,None,None,0,None,None,None,None,35039000,-35039000,None,0,None,0,35039000,35039000
2008-09-30,USD,52574000,52574000,0,0,52223000,351221,0,351221,None,None,None,0,None,None,None,None,52223000,-52223000,None,0,None,0,52223000,52223000
2008-12-31,USD,31030000,31030000,0,0,30688000,341291,0,341291,None,None,None,0,None,None,None,442826,-25409000,-30688000,None,0,None,30245174,30688000,30688000
2009-03-31,USD,9553000,9553000,0,0,8969000,583745,0,583745,None,None,None,0,None,None,None,None,8969000,-8969000,None,0,None,0,8969000,8969000
2009-06-30,USD,2475000,2475000,0,0,1788000,686688,0,686688,None,None,None,0,None,None,None,None,1789000,-1788000,None,0,None,0,1788000,1788000
2009-09-30,USD,7427000,7427000,0,0,6992000,435690,0,435690,None,None,None,0,None,None,None,None,6991000,-6992000,None,0,None,0,6992000,6992000
2009-12-31,USD,12736000,12736000,0,0,12424000,312708,0,312708,None,None,None,0,None,None,None,None,12424000,-12424000,None,0,None,0,12424000,12424000
2010-03-31,USD,22211000,22211000,0,0,21529000,681511,0,681511,None,None,None,0,None,None,None,None,21529000,-21529000,None,0,None,0,21529000,21529000
2010-06-30,USD,22455000,22455000,0,0,21681000,774334,0,774334,None,None,None,0,None,None,None,None,21681000,-21681000,None,0,None,0,21681000,21681000
2010-09-30,USD,19037000,19037000,0,0,18838000,198836,0,198836,None,None,None,0,None,None,None,None,18838000,-18838000,None,0,None,0,18838000,18838000
2010-12-31,USD,16579000,16579000,0,0,16308000,270672,0,16579000,None,None,None,0,None,None,None,None,16308000,-16308000,None,0,None,0,16308000,16308000
2011-03-31,USD,15391000,15391000,0,0,14869000,521685,0,15389000,None,None,None,0,None,None,None,None,14869000,-14869000,None,0,None,0,14869000,14869000
2011-06-30,USD,15568000,15568000,0,0,15041000,526817,0,8649000,None,None,None,0,None,None,None,None,15724000,-15724000,None,0,None,0,15041000,15724000
2011-09-30,USD,17886000,17886000,0,0,17659000,227539,0,9089000,None,None,None,0,None,None,None,None,17660000,-17660000,None,0,None,0,17659000,17660000
2011-12-31,USD,19186000,19186000,0,0,18942000,1276000,0,19186000,None,None,None,5903,None,None,None,None,18937000,-18937000,None,0,None,0,18942000,18937000
2012-03-31,USD,14850000,14850000,0,0,14277000,573491,0,573491,None,None,None,0,None,None,None,None,14625000,-14625000,None,0,None,0,15198000,14625000
2012-06-30,USD,10583000,10583000,0,0,10169000,414016,0,414016,None,None,None,0,None,None,None,None,10378000,-10379000,None,0,None,0,10793000,10379000
2012-09-30,USD,4926000,4926000,0,0,4605000,320679,0,320679,None,None,None,0,None,None,None,-4617000,4617000,-4617000,None,0,None,9555000,4938000,4617000
2012-12-31,USD,4127000,4127000,0,0,3860000,266194,0,266194,None,None,None,0,None,None,None,605,3861000,-605,None,0,None,3859395,3860000,3861000
2013-03-31,USD,3829000,3829000,466,466,3396000,433125,0,433125,None,None,None,0,None,None,None,433125,3396000,-466,None,0,None,3395875,3829000,3396000
2013-06-30,USD,6238000,6238000,198,198,5537000,514941,0,701184,None,None,None,0,None,None,None,701184,5537000,-186000,None,0,None,5536816,6238000,5537000
2013-09-30,USD,13744000,13745000,1240,1240,13456000,288883,0,288883,None,None,None,0,None,None,None,288883,13456000,-1240,None,0,None,13456117,13745000,13456000
2013-12-31,USD,14389000,14390000,1509,1509,14133000,286956,0,254025,None,None,None,0,None,None,None,257438,14103000,0,None,0,None,14132562,14390000,14103000
2014-03-31,USD,14526000,14527000,1454,1454,14090000,437337,0,437337,None,None,None,0,None,None,None,437337,14090000,-1454,None,0,None,14089663,14527000,14090000
2014-06-30,USD,18125000,18196000,70713,70713,17712000,483252,0,483252,None,None,None,0,None,None,None,483252,17712000,-70713,None,0,None,17712748,18196000,17712000
2014-09-30,USD,16078000,16078000,0,0,16078000,385623,0,385623,None,None,None,0,None,None,None,-15693000,15693000,-15693000,None,0,None,31771000,16078000,15693000
2014-12-31,USD,12781000,12782000,1768,1768,12378000,404170,0,404170,None,None,None,0,None,None,None,404170,12378000,-1768,None,59873115,None,12377830,12782000,12378000
2015-03-31,USD,7345000,7425000,79947,79947,6763000,661738,0,581791,None,None,None,0,None,None,None,661738,6763000,-79947,None,0,None,6763262,7425000,6763000
2015-06-30,USD,2265000,2265000,497,497,1766000,498750,0,498750,None,None,None,0,None,None,None,498750,1416000,0,None,0,None,1766250,2265000,1416000
2015-09-30,USD,5415000,5416000,614,614,5014000,401966,0,401966,None,None,None,0,None,None,None,401966,5014000,-614,None,0,None,5014034,5416000,5014000
2015-12-31,USD,4413000,4414000,-81057,-81057,3808000,1562000,0,605982,None,None,None,0,None,None,None,-928,3808000,350071,None,17000247,None,3807673,3806745,3808000
2016-03-31,USD,3034000,3034000,0,0,2012000,1022000,0,1022000,None,None,None,0,None,None,None,224342,1787000,0,None,1786734,None,1786658,2011000,1787000
2016-06-30,USD,1542000,1542000,0,0,656160,886134,0,886134,None,None,None,0,None,None,None,886134,431160,0,None,-4929042,None,655866,1542000,431160
2016-09-30,USD,4543000,4543000,0,0,4044000,499461,0,336892,None,None,None,0,None,None,None,499461,4030000,0,None,8097014,None,4043539,4543000,4030000
2016-12-31,USD,8407000,8407000,0,0,7681000,725691,0,725691,None,None,None,0,None,None,None,725691,7681000,463687,None,8974329,None,7681309,8407000,7681000
2017-03-31,USD,8608000,8608000,0,0,8147000,462593,0,462593,None,None,None,0,None,None,None,462593,8147000,-1383,None,8147010,None,8147407,8610000,8147000
2017-06-30,USD,6451000,6451000,0,0,5981000,471025,0,471025,None,None,None,0,None,None,None,471025,5981000,-1476,None,-18459598,None,5980975,6452000,5981000
2017-09-30,USD,15120000,15120000,0,0,14836000,286756,0,286756,None,None,None,0,None,None,None,286756,14836000,-2446,None,21332722,None,14836244,15123000,14836000
2017-12-31,USD,10558000,10558000,0,0,10166000,1220000,0,391941,None,None,None,0,None,None,None,386636,10166000,-9777,None,28110122,None,10165364,10552000,10166000
2018-03-31,USD,6647000,6647000,0,0,6227000,424702,0,424702,None,None,None,0,None,None,None,-6227000,6227000,6227000,None,6227399,None,12449000,6222000,6227000
2018-06-30,USD,2991000,2991000,0,0,2528000,462585,0,462585,None,None,None,0,None,None,None,-2532000,2532000,2532000,None,2531889,None,5060000,2528000,2532000
2018-09-30,USD,3001000,3001000,0,0,2732000,273736,0,273736,None,None,None,0,None,None,None,-97909,2830000,0,None,2829974,None,2922909,2825000,2830000
2018-12-31,USD,6829000,6829000,0,0,-12379000,736321,0,22914539000,None,None,None,0,None,None,None,18765000,-11589000,-17976000,None,6386706,None,-12378000,6387000,6387000
2019-03-31,USD,6550000,6550000,None,None,6007000,542778,None,6550000,None,8051,8051,None,None,None,None,-6015000,6015000,6015000,None,6014837,None,12022000,6007000,6015000
2019-06-30,USD,2503000,2408000,-84943,-84943,1987000,506109,None,2408000,None,9664,9664,None,None,None,None,-1912000,1997000,1912000,None,1996703,None,3899000,1987000,1997000
