fiscalDateEnding,reportedEPS
1998-12-31,-194.9631
1999-12-31,86.7582
2000-12-31,255.572
2001-12-31,-156.3912
2002-12-31,118.8849
2003-12-31,287.3844
2004-12-31,284.5162
2005-12-31,302.6432
2006-12-31,-523.877
2007-12-31,371.504
2008-12-31,-1544.4401
2009-12-31,-319.119
2010-12-31,118.4296
2011-12-31,225.0053
2012-12-31,171.7426
2013-12-31,133.7316
2014-12-31,-193.336
2015-12-31,-1120.2358
2016-12-31,-460.769
2017-12-31,-6.6949
2018-12-31,4.68
2019-12-31,1.08
2020-12-31,-2.35
2021-12-31,-2.25
2022-12-31,1.34
2023-12-31,0.22
2024-12-31,0.4683
2025-12-31,-0.84
2026-03-31,0
