fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2008-12-31,USD,108830000,None,3681000,3681000,None,None,None,91012000,None,None,None,None,None,None,None,3047000,None,None,3947000,876000,None,None,None,None,None,33214000,None,None,None,1268000,None,None,None,None,None,None
2009-12-31,USD,101279505,9713511,4931842,4931842,None,4712841,91565994,89073000,None,None,None,None,None,None,None,68828,None,33767650,5452963,1332408,None,None,1531276,28314687,None,25661000,None,None,27192287,2211239,None,89400706,None,None,None,17000000
2010-09-30,USD,109626385,15939746,10041005,10041005,127200,4859850,93686639,None,None,None,None,None,None,None,None,1038891,None,29694445,2929580,1427812,None,None,267193,26764865,None,None,None,None,24267193,343944,None,107208401,None,None,None,None
2010-12-31,USD,1000,16598661,11594345,11594345,84627,4736872,92439049,91675000,None,None,None,None,None,None,None,267444,None,38101598,11861097,839367,None,None,None,26240501,None,24000000,None,None,24000000,10522134,None,1000,None,None,None,17000000
2011-03-31,USD,1000,1000,1000,1000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000,None,None,None,None
2011-06-30,USD,140200000,1000,1000,1000,None,None,140200000,None,None,140200000,140200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,140200000,None,None,140200000,17000000
2011-09-30,USD,136351468,242526,242526,242526,None,None,136108942,None,None,136100000,136100000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,136351468,None,None,136400000,17000000
2011-12-31,USD,133619263,298147,298147,298147,None,None,133321116,None,None,133300000,133300000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,133619263,None,None,133600000,17000000
2012-03-31,USD,130738712,234805,234805,234805,None,None,130503907,None,None,130500000,130500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,130738712,None,None,130700000,17000000
2012-06-30,USD,127684467,222475,222475,222475,None,None,127461992,None,None,127500000,127500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,127684467,None,None,127700000,17000000
2012-09-30,USD,125015000,442558,442558,442558,None,None,124572000,None,None,124600000,124600000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,125015000,None,None,125000000,17000000
2012-12-31,USD,122350000,474600,474600,474600,None,None,121875000,None,None,121900000,121900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,122350000,None,None,122300000,17000000
2013-03-31,USD,119352000,243197,243197,243197,None,None,119109000,None,None,119100000,119100000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,119352000,None,None,119400000,17000000
2013-06-30,USD,116752000,306832,306832,306832,None,None,116445000,None,None,116400000,116400000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,116752000,None,None,116800000,17000000
2013-09-30,USD,114152000,532582,532582,532582,None,None,113620000,None,None,113600000,113600000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,114152000,None,None,114200000,17000000
2013-12-31,USD,111440000,451270,451270,451270,None,None,110988000,None,None,111000000,111000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,111440000,None,None,111400000,17000000
2014-03-31,USD,108616000,265942,265942,265942,None,None,108351000,None,None,108400000,108400000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,108616000,None,None,108600000,17000000
2014-06-30,USD,106374000,432357,432357,432357,None,None,105941000,None,None,105900000,105900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,106374000,None,None,106400000,17000000
2014-09-30,USD,104057000,556037,556037,556037,None,None,103501000,None,None,103500000,103500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,104057000,None,None,104100000,17000000
2014-12-31,USD,101603000,415099,415099,415099,None,None,101188000,None,None,101200000,101200000,None,None,101187730,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,101603000,None,None,101600000,17000000
2015-03-31,USD,99317000,194233,194233,194233,None,None,99123000,None,None,99100000,99100000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99317000,None,None,99300000,17000000
2015-06-30,USD,97332000,177639,177639,177639,None,None,97155000,None,None,97200000,97200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,97332000,None,None,97300000,17000000
2015-09-30,USD,95407000,149600,149600,149600,None,None,95257000,None,None,95300000,95300000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95407000,None,None,95400000,17000000
2015-12-31,USD,93456000,251537,251537,251537,None,None,93204000,None,None,93200000,93200000,None,None,93204008,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93456000,None,None,93500000,17000000
2016-03-31,USD,91394000,164879,164879,164879,None,None,91229000,None,None,91200000,91200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,91394000,None,None,91400000,17000000
2016-06-30,USD,89450000,273494,273494,273494,None,None,89176000,None,None,89200000,89200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,89450000,None,None,89400000,17000000
2016-09-30,USD,87502000,268616,268616,268616,None,None,87234000,None,None,87200000,87200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,87502000,None,None,87500000,17000000
2016-12-31,USD,85467000,238640,238640,238640,None,None,85228000,None,None,85200000,85200000,None,None,85227891,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85467000,None,None,85500000,17000000
2017-03-31,USD,83525000,215474,215474,215474,None,None,83310000,None,None,83300000,83300000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,83525000,None,None,83500000,17000000
2017-06-30,USD,81682000,331759,331759,331759,None,None,81351000,None,None,81400000,81400000,None,None,81350723,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,81682000,None,None,81700000,17000000
2017-09-30,USD,79802000,386774,386774,386774,None,None,79415000,None,None,79400000,79400000,None,None,79414820,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,79802000,None,None,79800000,17000000
2017-12-31,USD,77711000,316520,316520,316520,None,None,77395000,None,None,77400000,77400000,None,None,77394666,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,77711000,None,None,77700000,17000000
2018-03-31,USD,75509000,190912,190912,190912,None,None,75318000,None,None,75300000,75300000,None,None,75317625,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,75509000,None,None,75500000,17000000
2018-06-30,USD,73579000,236676,236676,236676,None,None,73343000,None,None,73300000,73300000,None,None,73342646,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,73579000,None,None,73600000,17000000
2018-09-30,USD,71700000,391787,391787,391787,None,None,71308000,None,None,71300000,71300000,None,None,71308268,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,71700000,None,None,71700000,17000000
2018-12-31,USD,70013000,360165,360165,360165,None,None,69653000,None,None,69700000,69700000,None,None,69652990,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,70013000,None,None,70000000,17000000
