fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,3376738000,None,None,None,None,542090000,712190000,None,-38237236000,None,-7126701000,4339192000,None,None,None,None,32324000,32324000,None,None,None,None,-21615000,None,211117000,None,None,2414493000
2007-12-31,USD,13010430000,None,None,None,None,678757000,437545000,None,-37869594000,None,-10465173000,-2384344000,None,None,None,None,42055000,42055000,None,None,None,None,-3024969000,None,338778000,None,None,1570332000
2008-12-31,USD,3482975000,None,None,None,None,691430000,356327000,None,-34021557000,None,-15609401000,14796360000,None,None,None,None,568255000,568255000,None,None,None,None,-12501000,None,111646000,None,None,-45998000
2009-12-31,USD,2796947000,None,None,None,None,682603000,231624000,None,-31014621000,None,10446422000,-12050088000,None,None,None,None,318844000,318844000,None,None,None,None,-14000000,None,145831000,None,None,883781000
2010-12-31,USD,8142000000,None,None,None,None,582000000,340000000,-137000000,84126000000,None,4463000000,-16041000000,None,None,None,None,91000000,91000000,None,None,None,None,-22000000,None,149000000,-3436000000,None,2743000000
2011-12-31,USD,7455000000,None,None,None,None,600000000,315000000,None,93883000000,None,-10363000000,3497000000,None,None,None,None,91000000,91000000,None,None,None,None,-42000000,None,189000000,None,None,3147000000
2012-12-31,USD,9060000000,None,None,None,None,1862000000,560000000,-495000000,146791000000,None,-17987000000,14147000000,None,None,None,None,126000000,126000000,None,None,None,None,-43000000,None,199000000,5220000000,None,3517000000
2013-12-31,USD,9984000000,None,None,None,None,2065000000,818000000,276000000,187709000000,None,3721000000,-18472000000,None,None,None,None,608000000,608000000,None,None,None,None,-1033000000,None,240000000,-4767000000,None,4159000000
2014-12-31,USD,9304000000,None,None,None,None,2002000000,502000000,-17000000,184929000000,None,-15991000000,6998000000,None,None,None,None,746000000,746000000,None,None,None,None,-2045000000,None,205000000,951000000,None,4428000000
2015-12-31,USD,10127000000,None,None,None,None,2100000000,532000000,-72000000,200065000000,None,-29726000000,20380000000,None,None,None,None,974000000,974000000,None,None,None,None,-2441000000,None,161000000,781000000,None,4050000000
2016-12-31,USD,11856000000,None,None,None,None,2428000000,779000000,-159000000,225351000000,None,-25630000000,15727000000,None,None,None,None,1026000000,1026000000,None,None,None,None,-3661000000,None,239000000,1953000000,None,3751000000
2017-12-31,USD,14182000000,None,None,None,None,2440000000,1018000000,-157000000,220766000000,None,-15541000000,3218000000,None,None,None,None,1045000000,1045000000,None,None,None,None,-240000000,None,244000000,1859000000,None,1982000000
2018-12-31,USD,12978000000,None,None,None,None,2396000000,874000000,-74000000,221750000000,None,-15618000000,1777000000,None,None,None,None,1038000000,1038000000,None,None,None,None,-2284000000,None,170000000,-863000000,None,6015000000
2019-12-31,USD,16639000000,None,None,None,None,3339000000,887000000,-63000000,None,None,-22998000000,6619000000,None,None,None,None,1035000000,1035000000,None,None,None,None,-2481000000,None,239000000,260000000,None,5546000000
2020-12-31,USD,16699000000,None,None,None,None,3501000000,710000000,287000000,None,None,-14841000000,25164000000,None,None,None,None,740000000,740000000,None,None,None,None,-1768000000,None,203000000,27022000000,None,2714000000
2021-12-31,USD,12310000000,None,None,None,None,3481000000,698000000,17000000,None,None,-31501000000,474000000,None,None,None,None,1422000000,1422000000,None,None,None,None,-9705000000,None,331000000,-18717000000,None,12390000000
2022-12-31,USD,13809000000,None,None,None,None,3210000000,934000000,-641000000,None,None,-29738000000,25131000000,None,None,None,None,1178000000,1178000000,None,None,None,None,-4948000000,None,314000000,9202000000,None,7360000000
2023-12-31,USD,20575000000,None,None,None,None,3226000000,961000000,None,None,None,-21920000000,13844000000,None,None,None,None,1159000000,1159000000,None,None,None,None,-718000000,None,513000000,None,None,4887000000
2024-12-31,USD,18159000000,None,None,None,None,3237000000,1204000000,None,None,None,-26410000000,8167000000,None,None,None,None,1160000000,1160000000,None,None,None,None,-734000000,None,569000000,None,None,4750000000
2025-12-31,USD,27718000000,None,None,None,None,5260000000,1578000000,None,None,None,-444000000,-8852000000,None,None,None,None,1768000000,1768000000,None,None,None,None,-4099000000,None,776000000,None,None,2453000000
