fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,35329019000,4180203000,1154331000,1154331000,319909000,2860606000,31148816000,401103000,None,59487000,59487000,570876000,None,None,165266000,25746701000,None,32314693000,27802075000,25047770000,None,None,1676189000,4512618000,None,4212618000,None,None,6188807000,26125886000,None,3014326000,-506946000,1015769000,2560569000,239920000
2007-12-31,USD,54697468000,4950440000,1756687000,1756687000,569650000,2666297000,49747028000,557565000,None,427970000,427970000,3059333000,None,None,527456000,40169244000,None,48748328000,41793419000,37742921000,None,None,2843638000,6954909000,None,6704889000,None,None,9798547000,38949781000,None,5949140000,-480129000,771689000,3670000,303455000
2008-12-31,USD,54352859000,4974375000,1099254000,1099254000,41257000,3427883000,49378484000,519500000,None,356703000,356703000,3054985000,None,None,447238000,40974162000,None,47123953000,40253248000,37943286000,None,None,1309157000,6870705000,None,6370705000,None,None,8179862000,38944091000,None,7228906000,-15530000,367364000,3670000,366155000
2009-12-31,USD,51554665000,5066938000,1840719000,1840719000,265000,2630824000,46487727000,496021000,None,289098000,289098000,444268000,None,None,595395000,36340504000,None,46218663000,42415993000,40493927000,None,None,876241000,3802670000,None,3576526000,None,None,4678911000,41539752000,None,5336002000,-11465000,-2922026000,7167000,532802000
2010-12-31,USD,53819642000,4123042000,982926000,982926000,860087000,2440393000,49696600000,491602000,None,228620000,228620000,444268000,None,37836188000,699723000,38409285000,None,48839100000,45025273000,41853898000,None,None,2040732000,3813827000,None,3641308000,None,None,5854559000,42984541000,1130643000,4980542000,-8771000,-2814433000,8642000,729532000
2011-12-31,USD,54450652000,3819268000,1206911000,1206911000,1656815000,2168149000,50631384000,564429000,None,175302000,175302000,444268000,None,None,444208000,40682921000,None,49032552000,45934695000,43279625000,None,None,1441092000,3097857000,None,2082737000,None,None,4538949000,44493603000,None,5418100000,-10255000,-2389639000,8656000,867624000
2012-12-31,USD,56153185000,3624435000,1333727000,1333727000,792406000,1904805000,52528750000,617257000,None,132157000,132157000,444268000,None,42558740000,385903000,41933812000,None,50362974000,47998140000,46252683000,None,None,589814000,2364834000,None,1355875000,None,None,2954648000,47408326000,1155643000,5790211000,-10921000,-1917933000,8441000,863402000
2013-12-31,USD,59467174000,3268765000,1058175000,1058175000,353876000,1609876000,56198409000,634657000,None,93193000,93193000,444268000,None,46671082000,600714000,43845298000,None,53377021000,50918749000,47506718000,None,None,2352143000,2458272000,None,2449979000,None,None,4810415000,48566606000,1059888000,6090153000,-9643000,-1479324000,8322000,843974000
2014-12-31,USD,66298010000,3796786000,1285124000,1285124000,451366000,1807208000,62501224000,616407000,None,74671000,74671000,522541000,None,50888953000,704454000,48480839000,None,59969840000,55633878000,51732151000,None,None,2397101000,4335962000,None,4335962000,1325000000,None,6733063000,53236777000,1504626000,6328170000,-13382000,-1052324000,8131000,833081000
2015-12-31,USD,71018301000,3206268000,898994000,898994000,27342000,1630110000,67812033000,620540000,None,244215000,244215000,676869000,None,56414464000,677164000,51298381000,None,64423695000,57382331000,55294979000,None,None,615279000,7041364000,None,7067614000,951116000,None,7656643000,56767052000,1472073000,6594606000,-17932000,-594067000,7970000,817129000
