fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,330759000,584119000,253360000,253360000,186636000,107960000,0,144123000,None,None,None,22831000,None,None,None,36685000,171697000,63430000,None,0,None,30223000,186636000,107571000
2006-03-31,USD,330759000,584119000,253360000,253360000,186636000,107960000,0,144123000,None,None,None,17256000,None,None,None,36685000,171697000,63430000,None,0,None,138559000,186636000,107571000
2006-06-30,USD,588100000,588052000,379851000,379851000,191700000,0,0,396400000,None,None,None,19318000,None,None,None,-6226000,184200000,66800000,None,0,None,191700000,191700000,117100000
2006-09-30,USD,587100000,587100000,413653000,413653000,156800000,0,0,430300000,None,None,None,19726000,None,None,None,80600000,150500000,48300000,None,0,None,156800000,237400000,102000000
2006-12-31,USD,670700000,670700000,387300000,387300000,232100000,0,0,433500000,None,None,None,25000000,None,None,None,16300000,232700000,81900000,None,0,None,232100000,248400000,155200000
2007-03-31,USD,900200000,670700000,651800000,651800000,232100000,0,0,668100000,None,None,None,18600000,None,None,None,16300000,232700000,81900000,None,0,None,232100000,248400000,155200000
2007-06-30,USD,979000000,722500000,701100000,701100000,262000000,0,0,717000000,None,None,None,18600000,None,None,None,15900000,261500000,91400000,None,0,None,262000000,277900000,175500000
2007-09-30,USD,976600000,720300000,704000000,704000000,256500000,343100000,0,720100000,None,None,None,16400000,None,None,None,109700000,263300000,92700000,None,0,None,256500000,366200000,167000000
2007-12-31,USD,1765400000,1765400000,733600000,733600000,216400000,295800000,0,1549000000,None,None,None,17700000,None,None,None,-77800000,486300000,-618000000,None,0,None,294200000,216400000,180200000
2008-03-31,USD,910400000,910400000,665700000,665700000,228100000,638400000,0,682300000,None,None,None,21500000,None,None,None,16600000,185200000,73800000,None,0,None,206700000,223300000,155200000
2008-06-30,USD,935600000,935600000,678500000,678500000,240000000,657400000,0,695600000,None,None,None,19300000,None,None,None,17100000,280000000,77200000,None,0,None,299300000,316400000,162800000
2008-09-30,USD,827200000,827200000,615300000,615300000,195200000,597200000,0,632000000,None,None,None,18300000,None,None,None,16700000,185300000,49200000,None,0,None,203600000,220300000,131800000
2008-12-31,USD,634400000,634400000,532700000,532700000,84500000,266000000,0,549900000,None,None,None,17800000,None,None,None,12200000,6500000,35800000,None,0,None,70600000,82800000,31900000
2009-03-31,USD,548600000,548600000,480300000,480300000,61800000,459900000,0,486800000,None,None,None,15900000,None,None,None,16000000,-37500000,20300000,None,0,None,-21600000,-5600000,30700000
2009-06-30,USD,625100000,625100000,498000000,498000000,110400000,490800000,0,514700000,None,None,None,16500000,None,-29700000,None,16700000,64200000,36000000,None,28200000,None,80700000,97400000,75700000
