fiscalDateEnding,reportedEPS
1996-12-31,1.86
1997-12-31,2.09
1998-12-31,2.26
1999-12-31,2.38
2000-12-31,2.32
2001-12-31,0.75
2002-12-31,2.27
2003-12-31,2.12
2004-12-31,2.48
2005-12-31,2.73
2006-12-31,2.97
2007-12-31,2.16
2008-12-31,-3.39
2009-12-31,-2.59
2010-12-31,0.44
2011-12-31,0.86
2012-12-31,0.89
2013-12-31,0.88
2014-12-31,1.01
2015-12-31,1.06
2016-12-31,1.12
2017-12-31,1.31
2018-12-31,1.75
2019-12-31,1.76
2020-12-31,1.27
2021-12-31,2.64
2022-12-31,1.92
2023-12-31,1.11
2024-12-31,0.38
2025-12-31,1.5
2026-03-31,0.44
